,シーズン,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送,match_card_id
0,1992,ＹＮＣ,第１節第１日,92/09/05(土),15:00,鹿島,4-2,横浜Ｆ,笠松,5226,,1
1,1992,ＹＮＣ,第１節第１日,92/09/05(土),15:30,名古屋,3-0,清水,瑞穂球,8029,,3
2,1992,ＹＮＣ,第１節第１日,92/09/05(土),18:02,浦和,2-3,市原,大宮,4934,,4
3,1992,ＹＮＣ,第１節第１日,92/09/05(土),19:00,Ｇ大阪,2-0,横浜M,神戸中央,4728,,2
4,1992,ＹＮＣ,第１節第２日,92/09/06(日),19:00,広島,2-3,Ｖ川崎,広島ス,13861,,5
5,1992,ＹＮＣ,第２節第１日,92/09/09(水),18:30,広島,2-3,浦和,広島ス,3128,,9
6,1992,ＹＮＣ,第２節第１日,92/09/09(水),19:00,鹿島,4-3,Ｖ川崎,国立,18009,,8
7,1992,ＹＮＣ,第２節第１日,92/09/09(水),19:00,清水,2-1,横浜M,日本平,8032,,10
8,1992,ＹＮＣ,第２節第１日,92/09/09(水),19:00,名古屋,2-1,横浜Ｆ,瑞穂球,5165,,6
9,1992,ＹＮＣ,第２節第１日,92/09/09(水),19:00,Ｇ大阪,1-0,市原,神戸中央,2760,,7
10,1992,ＹＮＣ,第３節第１日,92/09/12(土),15:00,横浜Ｆ,3-2,Ｇ大阪,長崎,5262,,12
11,1992,ＹＮＣ,第３節第１日,92/09/12(土),16:00,清水,0-1,広島,日本平,5699,,14
12,1992,ＹＮＣ,第３節第１日,92/09/12(土),18:00,横浜M,1-0,名古屋,平塚,7047,,11
13,1992,ＹＮＣ,第３節第１日,92/09/12(土),19:00,Ｖ川崎,1-0,浦和,等々力,9022,,13
14,1992,ＹＮＣ,第３節第２日,92/09/13(日),14:02,市原,1-0,鹿島,太田陸,6829,,15
15,1992,ＹＮＣ,第４節第１日,92/09/18(金),19:01,市原,0-1,名古屋,平塚,4049,,16
16,1992,ＹＮＣ,第４節第２日,92/09/19(土),14:30,横浜M,3-2,広島,愛媛陸,3262,,19
17,1992,ＹＮＣ,第４節第２日,92/09/19(土),15:37,横浜Ｆ,0-3,清水,鴨池,4687,,20
18,1992,ＹＮＣ,第４節第２日,92/09/19(土),18:00,浦和,3-2,鹿島,大宮,8948,,18
19,1992,ＹＮＣ,第４節第２日,92/09/19(土),19:00,Ｖ川崎,5-2,Ｇ大阪,等々力,7568,,17
20,1992,ＹＮＣ,第５節第１日,92/09/22(火),19:00,横浜Ｆ,1-2,浦和,平塚,5684,,21
21,1992,ＹＮＣ,第５節第２日,92/09/23(水・祝),14:00,横浜M,4-3,鹿島,国立,13145,,23
22,1992,ＹＮＣ,第５節第２日,92/09/23(水・祝),14:04,市原,1-0,Ｖ川崎,千葉,16607,,24
23,1992,ＹＮＣ,第５節第２日,92/09/23(水・祝),15:00,名古屋,3-0,広島,瑞穂球,12070,,22
24,1992,ＹＮＣ,第５節第２日,92/09/23(水・祝),16:00,清水,1-2,Ｇ大阪,草薙陸,12199,,25
25,1992,ＹＮＣ,第６節第１日,92/09/26(土),15:00,Ｖ川崎,3-0,横浜Ｆ,国立,10317,,27
26,1992,ＹＮＣ,第６節第１日,92/09/26(土),15:04,鹿島,1-4,清水,笠松,11333,,28
27,1992,ＹＮＣ,第６節第１日,92/09/26(土),18:00,Ｇ大阪,0-3,名古屋,西京極,14341,,26
28,1992,ＹＮＣ,第６節第２日,92/09/27(日),14:00,浦和,2-1,横浜M,川越,7199,,29
