,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,broadcast,attendance,home_pk,away_pk
0,1994/08/10,1,1,19:01,等々力,Ｖ川崎,1,2,平塚,,10630,,
1,1994/08/10,1,2,19:01,三ツ沢,横浜M,3,0,浦和,,13639,,
2,1994/08/10,1,3,19:02,市原,市原,5,2,Ｇ大阪,,10563,,
3,1994/08/10,1,4,19:03,カシマ,鹿島,2,2,磐田,,16153,2,4
4,1994/08/10,1,5,19:03,広島ス,広島,4,0,名古屋,,11796,,
5,1994/08/10,1,6,19:05,草薙陸,清水,0,3,横浜Ｆ,,18478,,
0,1994/08/13,2,1,18:30,大宮,浦和,2,0,清水,,9488,,
1,1994/08/13,2,2,18:32,平塚,平塚,0,4,横浜M,,15592,,
2,1994/08/13,2,3,18:34,長崎,横浜Ｆ,1,2,市原,,14702,,
3,1994/08/13,2,4,19:00,万博,Ｇ大阪,1,1,広島,,19209,3,4
4,1994/08/13,2,5,19:02,磐田,磐田,2,3,名古屋,,14592,,
5,1994/08/13,2,6,19:04,カシマ,鹿島,2,2,Ｖ川崎,,16041,4,5
0,1994/08/17,3,1,14:03,札幌,清水,1,0,平塚,,18214,,
1,1994/08/17,3,2,19:00,国立,名古屋,2,3,Ｇ大阪,,50375,,
2,1994/08/17,3,3,19:02,市原,市原,3,4,浦和,,10502,,
3,1994/08/17,3,4,19:03,等々力,Ｖ川崎,4,1,磐田,,10629,,
4,1994/08/17,3,5,19:03,三ツ沢,横浜M,2,2,鹿島,,13836,4,3
5,1994/08/17,3,6,19:03,広島ス,広島,4,1,横浜Ｆ,,11782,,
0,1994/08/20,4,1,18:00,国立,鹿島,1,2,清水,,50724,,
1,1994/08/20,4,2,18:30,大宮,浦和,0,2,広島,,9367,,
2,1994/08/20,4,3,18:33,平塚,平塚,3,1,市原,,15334,,
3,1994/08/20,4,4,18:59,磐田,磐田,2,2,Ｇ大阪,,14441,5,4
4,1994/08/20,4,5,19:02,三ツ沢,横浜Ｆ,1,2,名古屋,,13319,,
5,1994/08/20,4,6,19:03,等々力,Ｖ川崎,1,0,横浜M,,10701,,
0,1994/08/27,5,1,18:00,栃木,市原,1,4,鹿島,,18023,,
1,1994/08/27,5,2,18:01,長良川,名古屋,4,2,浦和,,25096,,
2,1994/08/27,5,3,18:33,広島ス,広島,1,6,平塚,,12771,,
3,1994/08/27,5,4,19:01,神戸ユ,Ｇ大阪,1,3,横浜Ｆ,,36270,,
4,1994/08/27,5,5,19:03,博多陸,横浜M,2,1,磐田,,23369,,
5,1994/08/27,5,6,19:05,草薙陸,清水,1,2,Ｖ川崎,,19034,,
0,1994/08/31,6,1,19:00,大宮,浦和,1,0,Ｇ大阪,,9611,,
1,1994/08/31,6,2,19:01,磐田,磐田,0,2,横浜Ｆ,,14736,,
2,1994/08/31,6,3,19:02,等々力,Ｖ川崎,3,1,市原,,10617,,
3,1994/08/31,6,4,19:03,カシマ,鹿島,1,0,広島,,15947,,
4,1994/08/31,6,5,19:03,平塚,平塚,2,0,名古屋,,15486,,
5,1994/08/31,6,6,19:04,国立,横浜M,0,1,清水,,51390,,
0,1994/09/03,7,1,15:30,三ツ沢,横浜Ｆ,0,1,浦和,,14083,,
1,1994/09/03,7,2,18:30,瑞穂陸,名古屋,2,4,鹿島,,21753,,
2,1994/09/03,7,3,18:32,国立,市原,2,3,横浜M,,48935,,
3,1994/09/03,7,4,19:02,神戸ユ,清水,0,1,磐田,,37306,,
4,1994/09/03,7,5,19:03,万博,Ｇ大阪,0,3,平塚,,19505,,
5,1994/09/03,7,6,19:05,広島ビ,広島,3,2,Ｖ川崎,,42505,,
0,1994/09/07,8,1,19:01,磐田,磐田,2,1,浦和,,14163,,
1,1994/09/07,8,2,19:03,三ツ沢,横浜M,3,0,広島,,12971,,
2,1994/09/07,8,3,19:03,国立,平塚,2,1,横浜Ｆ,,44338,,
3,1994/09/07,8,4,19:04,万博,Ｇ大阪,0,1,鹿島,,18887,,
4,1994/09/07,8,5,19:05,瑞穂陸,名古屋,1,2,Ｖ川崎,,21316,,
5,1994/09/07,8,6,19:07,草薙陸,清水,1,1,市原,,17487,1,3
0,1994/09/10,9,1,12:32,札幌,市原,5,1,磐田,,18382,,
1,1994/09/10,9,2,15:02,等々力,Ｖ川崎,2,1,Ｇ大阪,,10641,,
2,1994/09/10,9,3,18:32,大宮,浦和,1,4,平塚,,9230,,
3,1994/09/10,9,4,18:32,広島ス,広島,0,1,清水,,13307,,
4,1994/09/10,9,5,19:02,三ツ沢,横浜M,2,1,名古屋,,13652,,
5,1994/09/10,9,6,19:04,カシマ,鹿島,1,2,横浜Ｆ,,15638,,
0,1994/09/14,10,1,18:32,栃木,市原,0,1,広島,,16875,,
1,1994/09/14,10,2,18:59,磐田,磐田,3,1,平塚,,14256,,
2,1994/09/14,10,3,19:01,博多陸,清水,2,1,名古屋,,20077,,
3,1994/09/14,10,4,19:01,万博,Ｇ大阪,0,0,横浜M,,19060,3,4
4,1994/09/14,10,5,19:03,カシマ,鹿島,2,0,浦和,,15661,,
5,1994/09/14,10,6,19:04,三ツ沢,横浜Ｆ,2,3,Ｖ川崎,,14085,,
0,1994/09/17,11,1,14:00,磐田,磐田,0,0,広島,,13970,4,3
1,1994/09/17,11,2,18:00,長良川,名古屋,3,1,市原,,24157,,
2,1994/09/17,11,3,18:32,国立,浦和,1,3,Ｖ川崎,,55125,,
3,1994/09/17,11,4,18:32,平塚,平塚,3,1,鹿島,,15523,,
4,1994/09/17,11,5,19:01,万博,Ｇ大阪,1,0,清水,,19429,,
5,1994/09/17,11,6,19:02,三ツ沢,横浜Ｆ,1,0,横浜M,,14508,,
0,1994/09/21,12,1,19:02,三ツ沢,横浜M,1,2,平塚,,13448,,
1,1994/09/21,12,2,19:02,草薙陸,清水,5,4,浦和,,19001,,
2,1994/09/21,12,3,19:03,瑞穂陸,名古屋,4,1,磐田,,19137,,
3,1994/09/21,12,4,19:03,福山市,広島,1,1,Ｇ大阪,,8898,4,3
4,1994/09/21,12,5,19:04,等々力,Ｖ川崎,2,1,鹿島,,10640,,
5,1994/09/21,12,6,19:05,富山,市原,0,3,横浜Ｆ,,23258,,
0,1994/10/19,13,1,19:02,平塚,平塚,2,1,清水,,15200,,
1,1994/10/19,13,2,19:03,博多陸,浦和,3,2,市原,,10915,,
