,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,broadcast,attendance,home_pk,away_pk
0,1995/03/18,1,1,15:02,万博,Ｇ大阪,3,1,名古屋,,14007,,
1,1995/03/18,1,2,15:03,市原,市原,1,0,磐田,,13637,,
2,1995/03/18,1,3,15:03,三ツ沢,横浜Ｆ,1,0,浦和,,12236,,
3,1995/03/18,1,4,15:03,草薙陸,清水,3,2,柏,,18017,,
4,1995/03/18,1,5,15:04,カシマ,鹿島,3,4,横浜M,,15584,,
5,1995/03/18,1,6,15:04,広島ビ,広島,0,1,Ｃ大阪,,14175,,
6,1995/03/18,1,7,19:05,国立,Ｖ川崎,0,0,平塚,,48103,7,6
0,1995/03/22,2,1,18:59,磐田,磐田,2,1,Ｇ大阪,,16078,,
1,1995/03/22,2,2,19:01,広島ス,広島,5,0,清水,,7421,,
2,1995/03/22,2,3,19:03,大宮,浦和,1,0,市原,,9704,,
3,1995/03/22,2,4,19:03,三ツ沢,横浜M,6,2,Ｖ川崎,,13033,,
4,1995/03/22,2,5,19:04,国立,柏,0,1,鹿島,,42994,,
5,1995/03/22,2,6,19:04,平塚,平塚,0,3,横浜Ｆ,,13305,,
6,1995/03/22,2,7,19:04,長居２,Ｃ大阪,2,2,名古屋,,9239,4,3
0,1995/03/25,3,1,14:59,万博,Ｇ大阪,2,0,浦和,,13356,,
1,1995/03/25,3,2,15:00,カシマ,鹿島,2,0,広島,,15144,,
2,1995/03/25,3,3,15:01,市原,市原,2,3,平塚,,11895,,
3,1995/03/25,3,4,15:03,国立,横浜Ｆ,0,1,横浜M,,36039,,
4,1995/03/25,3,5,15:03,瑞穂陸,名古屋,2,6,磐田,,20660,,
5,1995/03/25,3,6,16:02,草薙陸,清水,0,1,Ｃ大阪,,16308,,
6,1995/03/25,3,7,19:04,富山,Ｖ川崎,0,1,柏,,22349,,
0,1995/03/29,4,1,19:00,平塚,平塚,3,5,Ｇ大阪,,11540,,
1,1995/03/29,4,2,19:02,日本平,清水,4,2,鹿島,,18118,,
2,1995/03/29,4,3,19:02,長居２,Ｃ大阪,3,4,磐田,,10993,,
3,1995/03/29,4,4,19:03,柏,柏,2,1,横浜Ｆ,,15114,,
4,1995/03/29,4,5,19:03,三ツ沢,横浜M,3,2,市原,,11978,,
5,1995/03/29,4,6,19:04,国立,浦和,0,0,名古屋,,44464,9,10
6,1995/03/29,4,7,19:04,広島ビ,広島,2,0,Ｖ川崎,,17333,,
0,1995/04/01,5,1,14:00,水前寺,横浜Ｆ,1,2,広島,,10481,,
1,1995/04/01,5,2,14:02,磐田,磐田,2,0,浦和,,17621,,
2,1995/04/01,5,3,14:03,瑞穂陸,名古屋,0,1,平塚,,20509,,
3,1995/04/01,5,4,15:00,万博,Ｇ大阪,4,0,横浜M,,17749,,
4,1995/04/01,5,5,15:03,国立,Ｖ川崎,0,1,清水,,50820,,
5,1995/04/01,5,6,15:05,市原,市原,1,0,柏,,14079,,
6,1995/04/01,5,7,19:03,カシマ,鹿島,2,0,Ｃ大阪,,15335,,
0,1995/04/05,6,1,19:00,万博,Ｇ大阪,0,3,広島,,11332,,
1,1995/04/05,6,2,19:01,瑞穂陸,名古屋,1,4,柏,,18819,,
2,1995/04/05,6,3,19:02,大宮,浦和,0,1,平塚,,9630,,
3,1995/04/05,6,4,19:02,磐田,磐田,1,2,横浜M,,17813,,
4,1995/04/05,6,5,19:03,三ツ沢,横浜Ｆ,0,1,鹿島,,13753,,
5,1995/04/05,6,6,19:04,市原,市原,3,1,清水,,13228,,
6,1995/04/05,6,7,19:04,国立,Ｖ川崎,0,1,Ｃ大阪,,44650,,
0,1995/04/08,7,1,14:59,柏,柏,2,4,Ｇ大阪,,14450,,
1,1995/04/08,7,2,15:00,三ツ沢,横浜M,2,0,名古屋,,13254,,
2,1995/04/08,7,3,15:02,平塚,平塚,2,0,磐田,,14630,,
3,1995/04/08,7,4,15:02,広島ビ,広島,1,2,市原,,11266,,
4,1995/04/08,7,5,15:03,長居２,Ｃ大阪,0,1,浦和,,11763,,
5,1995/04/08,7,6,15:04,日本平,清水,2,3,横浜Ｆ,,18409,,
6,1995/04/08,7,7,19:31,カシマ,鹿島,1,0,Ｖ川崎,,15825,,
0,1995/04/12,8,1,19:00,日本平,清水,1,3,Ｇ大阪,,18036,,
1,1995/04/12,8,2,19:00,長居２,Ｃ大阪,1,2,平塚,,9346,,
2,1995/04/12,8,3,19:01,カシマ,鹿島,3,1,市原,,15195,,
3,1995/04/12,8,4,19:01,広島ス,広島,4,0,名古屋,,7012,,
