,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,broadcast,attendance
0,04/12,1,1,15:00,三ツ沢,横浜Ｆ,3,1,福岡,,8019
1,04/12,1,2,15:01,万博,Ｇ大阪,4,1,平塚,,6205
2,04/12,1,3,15:03,瑞穂陸,名古屋,2,3,Ｃ大阪,,17480
3,04/12,1,4,15:04,国立,柏,0,1,清水,,25027
4,04/12,1,5,15:05,カシマ,鹿島,5,2,神戸,,16255
5,04/12,1,6,15:34,磐田,磐田,2,1,広島,,9545
6,04/12,1,7,17:03,駒場,浦和,2,3,横浜M,,20098
7,04/12,1,8,19:04,等々力,Ｖ川崎,0,2,市原,,12169
8,07/30,1,9,19:01,日本平,清水,3,1,横浜Ｆ,,8014
9,07/30,1,10,19:01,長居,Ｃ大阪,3,1,神戸,,5897
10,07/30,1,11,19:01,広島ビ,広島,1,0,名古屋,,4176
11,07/30,1,12,19:01,博多球,福岡,1,3,鹿島,,16354
12,07/30,1,13,19:04,三ツ沢,横浜M,1,4,磐田,,7864
13,07/30,1,14,19:04,平塚,平塚,7,4,柏,,5113
14,07/30,1,15,19:04,鳥取,京都,3,2,Ｇ大阪,,8263
15,07/30,1,16,19:05,市原,市原,1,0,浦和,,3610
0,04/16,2,1,19:00,長居,Ｃ大阪,0,2,横浜Ｆ,,8056
1,04/16,2,2,19:00,広島ビ,広島,2,3,柏,,4156
2,04/16,2,3,19:00,博多球,福岡,0,1,磐田,,7119
3,04/16,2,4,19:01,三ツ沢,横浜M,0,4,Ｇ大阪,,6503
4,04/16,2,5,19:03,市原,市原,2,4,京都,,3057
5,04/16,2,6,19:03,平塚,平塚,0,2,Ｖ川崎,,7503
6,04/16,2,7,19:03,日本平,清水,0,1,浦和,,7118
7,04/16,2,8,19:05,神戸ユ,神戸,2,1,名古屋,,5959
8,08/02,2,9,18:30,市原,市原,3,1,Ｖ川崎,,6209
9,08/02,2,10,18:30,神戸ユ,神戸,0,5,鹿島,,8978
10,08/02,2,11,18:30,広島ビ,広島,1,3,磐田,,5613
11,08/02,2,12,18:34,平塚,平塚,3,4,Ｇ大阪,,7174
12,08/02,2,13,19:00,長居,Ｃ大阪,2,3,名古屋,,6160
13,08/02,2,14,19:04,三ツ沢,横浜M,0,2,浦和,,13269
14,08/02,2,15,19:04,日本平,清水,2,3,柏,,9422
15,08/02,2,16,19:04,博多球,福岡,0,1,横浜Ｆ,,9477
0,04/19,3,1,14:00,万博,Ｇ大阪,4,1,清水,,6604
1,04/19,3,2,14:03,磐田,磐田,1,2,Ｃ大阪,,7186
2,04/19,3,3,15:02,西京極,京都,0,2,平塚,,7193
3,04/19,3,4,15:03,国立,浦和,0,1,広島,,38707
4,04/19,3,5,15:03,等々力,Ｖ川崎,2,4),横浜M,,13568
5,04/19,3,6,16:04,柏,柏,2,1,福岡,,5194
6,04/19,3,7,19:03,瑞穂陸,名古屋,0,2,鹿島,,20425
7,04/19,3,8,19:04,三ツ沢,横浜Ｆ,3,1,神戸,,7251
8,08/06,3,9,19:00,瑞穂陸,名古屋,3,0,神戸,,12854
9,08/06,3,10,19:01,金沢,Ｇ大阪,3,4,横浜M,,12834
10,08/06,3,11,19:03,磐田,磐田,2,1,福岡,,7181
11,08/06,3,12,19:04,駒場,浦和,3,4,清水,,17890
12,08/06,3,13,19:05,等々力,Ｖ川崎,1,2,平塚,,7415
13,08/06,3,14,19:30,三ツ沢,横浜Ｆ,1,2,Ｃ大阪,,5138
14,08/06,3,15,19:32,鴨池,京都,2,3,市原,,13776
15,08/06,3,16,19:35,柏,柏,2,1,広島,,5887
0,04/23,4,1,19:00,カシマ,鹿島,1,0,横浜Ｆ,,15336
1,04/23,4,2,19:00,神戸ユ,神戸,1,2,磐田,,3670
2,04/23,4,3,19:00,博多球,福岡,0,3,浦和,,5317
3,04/23,4,4,19:01,長居,Ｃ大阪,2,4),柏,,6526
4,04/23,4,5,19:03,広島ビ,広島,2,0,Ｇ大阪,,5576
5,04/23,4,6,19:04,三ツ沢,横浜M,3,1,京都,,4541
6,04/23,4,7,19:04,日本平,清水,2,1,Ｖ川崎,,9253
7,04/23,4,8,19:05,平塚,平塚,1,0,市原,,4875
8,08/09,4,9,18:30,神戸ユ,神戸,2,3,横浜Ｆ,,3917
