,年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送,match_card_id
0,2000,ゼロックススーパーカップ,,03/04(土),14:47,磐田,1-1(PK3-2),名古屋,国立,25063,日本テレビ（全）,5637
1,2000,Ｊ１ １ｓｔ,第１節第１日,03/11(土),14:01,鹿島,1-0,名古屋,国立,30794,テレビ朝日（単）,5109
2,2000,Ｊ１ １ｓｔ,第１節第１日,03/11(土),14:02,磐田,0-1,柏,磐田,14056,ＮＨＫ総合,5105
3,2000,Ｊ１ １ｓｔ,第１節第１日,03/11(土),15:01,市原,6-1,京都,市原,6331,千葉テレビ（録）／ディレクＴＶ（録）,5111
4,2000,Ｊ１ １ｓｔ,第１節第１日,03/11(土),15:03,神戸,1-0,広島,神戸ユ,4354,サンテレビ（録）／Ｊ－ＳＰＯＲＴＳ,5110
5,2000,Ｊ１ １ｓｔ,第１節第１日,03/11(土),15:06,福岡,2-1,川崎Ｆ,博多球,10383,ディレクＴＶ,5112
6,2000,Ｊ１ １ｓｔ,第１節第１日,03/11(土),16:03,清水,3-2,Ｃ大阪,日本平,11660,静岡放送／ＢＳ,5106
7,2000,Ｊ１ １ｓｔ,第１節第１日,03/11(土),19:04,Ｖ川崎,2-1,Ｇ大阪,等々力,7287,日本テレビ（録）／ＢＳ,5108
8,2000,Ｊ１ １ｓｔ,第１節第１日,03/11(土),19:07,横浜FM,0-1,Ｆ東京,横浜国,21841,ＴＢＳ（全）,5107
9,2000,Ｊ２,第１節第１日,03/11(土),15:04,浦和,2-0,水戸,駒場,18422,テレビ埼玉／Ｊ－ＳＰＯＲＴＳ（録）,5347
10,2000,Ｊ２,第１節第２日,03/12(日),13:03,鳥栖,0-4,札幌,鳥栖,3800,スカイパーフェクＴＶ！,5351
11,2000,Ｊ２,第１節第２日,03/12(日),14:00,大宮,2-1,新潟,大宮,4213,スカイパーフェクＴＶ！（録）,5350
12,2000,Ｊ２,第１節第２日,03/12(日),14:02,大分,3-1,山形,大分,5843,大分放送／スカイパーフェクＴＶ！（録）,5349
13,2000,Ｊ２,第１節第２日,03/12(日),14:03,湘南,4-1,仙台,平塚,6047,スカイパーフェクＴＶ！（録）,5348
14,2000,サテライトリーグ Ａグループ,第１日,03/12(日),14:01,鹿島,2-1,横浜FM,鹿島Ｇ,556,,
15,2000,サテライトリーグ Ｃグループ,第１日,03/12(日),14:00,Ｃ大阪,0-2,広島,舞洲,55,,
16,2000,Ｊ１ １ｓｔ,第２節第１日,03/18(土),14:02,名古屋,0-1,磐田,瑞穂陸,21071,テレビ朝日（全）,5115
17,2000,Ｊ１ １ｓｔ,第２節第１日,03/18(土),15:00,京都,1-3,Ｃ大阪,西京極,5167,ＫＢＳ京都（録）／ディレクＴＶ（録）,5118
18,2000,Ｊ１ １ｓｔ,第２節第１日,03/18(土),15:04,Ｆ東京,2-0,福岡,国立,10932,東京メトロポリタンテレビ／Ｊ－ＳＰＯＲＴＳ,5120
19,2000,Ｊ１ １ｓｔ,第２節第１日,03/18(土),15:04,清水,1-2,横浜FM,日本平,12466,テレビ静岡,5113
20,2000,Ｊ１ １ｓｔ,第２節第１日,03/18(土),16:01,Ｇ大阪,1-1,神戸,万博,8093,スカイパーフェクＴＶ！（録）,5117
21,2000,Ｊ１ １ｓｔ,第２節第１日,03/18(土),16:03,広島,1-1,市原,広島ビ,11197,テレビ新広島,5116
22,2000,Ｊ１ １ｓｔ,第２節第１日,03/18(土),19:03,柏,1-0,Ｖ川崎,柏,8662,ディレクＴＶ,5114
23,2000,Ｊ１ １ｓｔ,第２節第１日,03/18(土),19:04,川崎Ｆ,0-1,鹿島,等々力,14285,ＢＳ,5119
24,2000,Ｊ２,第２節第１日,03/19(日),13:00,鳥栖,2-1,新潟,鳥栖,1940,スカイパーフェクＴＶ！（録）,5354
