,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,broadcast,attendance
0,2001/03/10,1,1,14:01,長居,Ｃ大阪,1,2,札幌,ＢＳ（録）,11359
1,2001/03/10,1,2,14:02,瑞穂球,名古屋,2,0,浦和,ＮＨＫ総合,12274
2,2001/03/10,1,3,14:03,磐田,磐田,4,1,市原,静岡放送／スカイパーフェクＴＶ！（録）,15246
3,2001/03/10,1,4,15:03,博多球,福岡,2,0,Ｇ大阪,Ｊスカイスポーツ／ＢＳ－ｉ（録）,13125
4,2001/03/10,1,5,16:05,横浜国,横浜FM,0,1,神戸,テレビ神奈川（録）／ＢＳ－ｉ,25341
5,2001/03/10,1,6,17:04,東京,Ｆ東京,2,1,東京Ｖ,ＢＳ／東京メトロポリタンテレビ,44030
6,2001/03/10,1,7,19:04,柏,柏,2,1,清水,ＢＳ／千葉テレビ,13272
7,2001/03/11,1,8,14:00,国立,鹿島,2,1,広島,ＴＢＳ（単）,17385
0,2001/03/17,2,1,14:00,高知陸,札幌,2,1,柏,ＢＳ（録）／高知放送,6276
1,2001/03/17,2,2,15:03,市原,市原,1,2,名古屋,千葉テレビ（録）／スカイパーフェクＴＶ！,7555
2,2001/03/17,2,3,15:03,東京,東京Ｖ,2,1,鹿島,日本テレビ（録）,30930
3,2001/03/17,2,4,15:03,日本平,清水,1,0,福岡,テレビ静岡／スカイパーフェクＴＶ！（録）,11093
4,2001/03/17,2,5,15:04,駒場,浦和,2,2,Ｃ大阪,テレビ埼玉／Ｊスカイスポーツ／ＢＳ－ｉ（録）,19183
5,2001/03/17,2,6,16:05,神戸ユ,神戸,2,0,Ｆ東京,ＢＳ－ｉ,10070
6,2001/03/17,2,7,16:05,広島ビ,広島,1,4,磐田,ＢＳ,10663
7,2001/03/17,2,8,19:04,万博,Ｇ大阪,3,2,横浜FM,ＢＳ,14576
0,2001/03/31,3,1,13:38,東京,東京Ｖ,1,2,清水,日本テレビ（単）,17099
1,2001/03/31,3,2,14:04,長居,Ｃ大阪,0,0,鹿島,ＢＳ,14790
2,2001/03/31,3,3,14:35,瑞穂陸,名古屋,1,1,横浜FM,中部日本放送／ＢＳ－ｉ（録）,22367
3,2001/03/31,3,4,15:03,神戸ユ,神戸,0,1,Ｇ大阪,サンテレビ（録）／Ｊスカイスポーツ,17932
4,2001/03/31,3,5,15:04,広島ビ,広島,1,0,札幌,広島ホームテレビ／スカイパーフェクＴＶ！（録）,6694
5,2001/03/31,3,6,15:33,磐田,磐田,1,0,Ｆ東京,ＴＢＳ（単）／ＢＳ－ｉ（録）,13753
6,2001/03/31,3,7,16:05,市原,市原,2,3,柏,ＢＳ／千葉テレビ（録）,4307
7,2001/03/31,3,8,19:04,駒場,浦和,2,0,福岡,ＢＳ／テレビ埼玉,17631
0,2001/04/07,4,1,14:04,室蘭,札幌,2,0,東京Ｖ,ＢＳ（録）／ＮＨＫ札幌,9289
1,2001/04/07,4,2,15:01,博多球,福岡,2,3,市原,スカイパーフェクＴＶ！（録）,10307
2,2001/04/07,4,3,15:03,万博,Ｇ大阪,2,1,Ｃ大阪,朝日放送（録）／Ｊスカイスポーツ,16003
3,2001/04/07,4,4,15:04,国立,鹿島,1,2,磐田,ＮＨＫ総合,35221
4,2001/04/07,4,5,15:04,日本平,清水,1,0,神戸,テレビ静岡／ＢＳ－ｉ,10775
5,2001/04/07,4,6,18:33,東京,Ｆ東京,0,1,名古屋,東京メトロポリタンテレビ,27392
6,2001/04/07,4,7,19:03,柏,柏,2,1,広島,千葉テレビ／スカイパーフェクＴＶ！,9341
7,2001/04/07,4,8,19:04,横浜国,横浜FM,0,1,浦和,ＢＳ,30759
0,2001/04/14,5,1,14:00,秋田,市原,2,0,横浜FM,秋田放送／スカイパーフェクＴＶ！（録）,8260
1,2001/04/14,5,2,15:01,東京,東京Ｖ,1,0,柏,日本テレビ（録）,18164
