,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,broadcast,attendance
0,2004/08/14,1,1,18:30,カシマ,鹿島,1,0,柏,Ｊ　ＳＰＯＲＴＳ（録）,21864
1,2004/08/14,1,2,18:30,市原,市原,2,1,広島,Ｊ　ＳＰＯＲＴＳ（録）,5467
2,2004/08/14,1,3,18:59,長居,Ｃ大阪,4,3,Ｆ東京,Ｊ　ＳＰＯＲＴＳ（録）,16520
3,2004/08/14,1,4,19:00,味スタ,東京Ｖ,2,0,新潟,日本テレビ（録）／ＢＳ－ｉ（録）／Ｊ　ＳＰＯＲＴＳ（録）,13536
4,2004/08/14,1,5,19:01,瑞穂陸,名古屋,1,2,Ｇ大阪,Ｊ　ＳＰＯＲＴＳ（録）,17032
5,2004/08/14,1,6,19:04,神戸ユ,神戸,2,3,浦和,スカイパーフェクＴＶ！／Ｊ　ＳＰＯＲＴＳ（録）,17261
6,2004/08/14,1,7,19:04,大分ス,大分,1,1,磐田,Ｊ　ＳＰＯＲＴＳ,28314
7,2004/08/15,1,8,18:34,静岡,清水,1,2,横浜FM,ＢＳ－ｉ／Ｊ　ＳＰＯＲＴＳ（録）,19043
0,2004/08/21,2,1,18:02,埼玉,浦和,7,2,東京Ｖ,テレビ埼玉／ＢＳ－ｉ（録）／Ｊ　ＳＰＯＲＴＳ（録）,32296
1,2004/08/21,2,2,18:30,広島ビ,広島,2,1,Ｃ大阪,Ｊ　ＳＰＯＲＴＳ（録）,13257
2,2004/08/21,2,3,18:33,味スタ,Ｆ東京,1,2,清水,ＭＸテレビ／Ｊ　ＳＰＯＲＴＳ（録）,26377
3,2004/08/21,2,4,19:00,柏,柏,0,3,神戸,Ｊ　ＳＰＯＲＴＳ（録）,9253
4,2004/08/21,2,5,19:00,万博,Ｇ大阪,2,1,鹿島,Ｊ　ＳＰＯＲＴＳ（録）,16205
5,2004/08/21,2,6,19:02,ヤマハ,磐田,1,2,名古屋,スカイパーフェクＴＶ！／Ｊ　ＳＰＯＲＴＳ（録）,14879
6,2004/08/21,2,7,19:04,横浜国,横浜FM,2,1,大分,ＢＳ－ｉ／Ｊ　ＳＰＯＲＴＳ（録）,17821
7,2004/08/21,2,8,19:04,新潟ス,新潟,3,3,市原,Ｊ　ＳＰＯＲＴＳ,40202
0,2004/08/29,3,1,18:02,神戸ユ,神戸,3,4,新潟,Ｊ　ＳＰＯＲＴＳ（録）,10600
1,2004/08/29,3,2,18:04,埼玉,浦和,3,2,磐田,テレビ埼玉／ＢＳ－ｉ／Ｊ　ＳＰＯＲＴＳ（録）,43746
2,2004/08/29,3,3,18:30,カシマ,鹿島,0,1,市原,ＢＳ－ｉ（録）／Ｊ　ＳＰＯＲＴＳ（録）,13901
3,2004/08/29,3,4,19:00,柏,柏,2,2,広島,Ｊ　ＳＰＯＲＴＳ（録）,7049
4,2004/08/29,3,5,19:00,日本平,清水,0,1,Ｇ大阪,Ｊ　ＳＰＯＲＴＳ（録）,9298
5,2004/08/29,3,6,19:00,長居,Ｃ大阪,1,2,大分,Ｊ　ＳＰＯＲＴＳ（録）,8722
6,2004/08/29,3,7,19:03,国立,東京Ｖ,0,1,Ｆ東京,スカイパーフェクＴＶ！／日本テレビ（録）／Ｊ　ＳＰＯＲＴＳ（録）,13185
7,2004/08/29,3,8,19:04,瑞穂陸,名古屋,2,1,横浜FM,Ｊ　ＳＰＯＲＴＳ,15602
0,2004/09/11,4,1,15:04,カシマ,鹿島,4,3,Ｃ大阪,ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）,12060
1,2004/09/11,4,2,16:03,国立,横浜FM,3,0,磐田,ＮＨＫ総合／Ｊ　ＳＰＯＲＴＳ（録）,28713
2,2004/09/11,4,3,19:02,日本平,清水,3,0,広島,スカイパーフェクＴＶ！／Ｊ　ＳＰＯＲＴＳ（録）,11480
3,2004/09/11,4,4,19:04,市原,市原,2,1,東京Ｖ,千葉テレビ／ＢＳ－ｉ／Ｊ　ＳＰＯＲＴＳ（録）,6829
4,2004/09/11,4,5,19:04,味スタ,Ｆ東京,3,1,神戸,ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）,16591
5,2004/09/11,4,6,19:04,万博,Ｇ大阪,5,1,柏,Ｊ　ＳＰＯＲＴＳ,10577
6,2004/09/12,4,7,19:04,新潟ス,新潟,0,0,名古屋,ＢＳ－ｉ／Ｊ　ＳＰＯＲＴＳ（録）,40055
7,2004/09/12,4,8,19:04,大分ス,大分,1,4,浦和,ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）,27760
0,2004/09/18,5,1,15:04,広島ビ,広島,2,2,横浜FM,ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）,18056
