,年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
0,2005,ゼロックススーパーカップ,,02/26(土),13:33,横浜FM,2-2(PK4-5),東京Ｖ,横浜国,21104,日本テレビ
1,2005,Ｊ１,第１節第１日,03/05(土),14:05,浦和,0-1,鹿島,埼玉,52789,ＴＢＳ（単）／テレビ埼玉（録）／Ｊ　ＳＰＯＲＴＳ（録）
2,2005,Ｊ１,第１節第１日,03/05(土),14:05,名古屋,2-2,千葉,瑞穂陸,17239,名古屋テレビ／スカイパーフェクＴＶ！／Ｊ　ＳＰＯＲＴＳ（録）
3,2005,Ｊ１,第１節第１日,03/05(土),15:05,清水,1-1,広島,日本平,12208,ＢＳ－ｉ／テレビ静岡（録）／Ｊ　ＳＰＯＲＴＳ（録）
4,2005,Ｊ１,第１節第１日,03/05(土),15:05,Ｇ大阪,0-2,大宮,万博,16168,ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
5,2005,Ｊ１,第１節第１日,03/05(土),16:04,横浜FM,0-1,磐田,日産ス,41868,ＮＨＫ総合／Ｊ　ＳＰＯＲＴＳ（録）
6,2005,Ｊ１,第１節第１日,03/05(土),16:04,大分,1-2,東京Ｖ,大分ス,21630,Ｊ　ＳＰＯＲＴＳ
7,2005,Ｊ１,第１節第１日,03/05(土),19:04,Ｆ東京,4-0,新潟,味スタ,28450,ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
8,2005,Ｊ２,第１節第１日,03/05(土),14:04,草津,0-3,山形,群馬サ,4423,群馬テレビ／スカイパーフェクＴＶ！
9,2005,Ｊ２,第１節第１日,03/05(土),14:04,湘南,2-0,横浜FC,平塚,7721,スカイパーフェクＴＶ！
10,2005,Ｊ２,第１節第１日,03/05(土),14:04,鳥栖,1-1,福岡,鳥栖,13039,スカイパーフェクＴＶ！
11,2005,Ｊ２,第１節第１日,03/05(土),14:05,仙台,0-3,徳島,仙台,17375,ＮＨＫ仙台／Ｊ　ＳＰＯＲＴＳ／ＮＨＫ徳島（録）
12,2005,Ｊ２,第１節第１日,03/05(土),14:05,甲府,2-2,札幌,小瀬,6640,山梨放送／スカイパーフェクＴＶ！
