,group,match_date,start_time,section_no,home_team,home_goal,away_goal,match_status,away_team,stadium,match_index_in_section
0,A,2021-04-16,04:00:00,1,イスティクロル,0,0,試合終了,アルアハリ,キングファハド,0
1,B,2021-04-15,00:00:00,1,パフタコール,3,3,試合終了,トラクター,シャールジャ,0
2,C,2021-04-16,02:45:00,1,アルドゥハイル,2,0,試合終了,アルショルタ,KASC,0
3,D,2021-04-15,03:00:00,1,アルワフダート,0,0,試合終了,アルナスル,キングサウード,0
4,E,2021-04-14,23:30:00,1,ペルセポリス,1,0,試合終了,アルワフダ,PJN,0
5,F,2021-06-26,19:00:00,1,パトゥムユナイテッド,4,1,試合終了,カヤFC,パトゥムターニー,0
6,G,2021-06-22,19:00:00,1,浦項,2,0,試合終了,ラーチャブリー,ラジャマンガラ,0
7,H,2021-06-25,23:00:00,1,タンピネス,0,2,試合終了,G大阪,ロコモティフ,0
8,I,2021-06-26,23:00:00,1,ユナイテッドシティ,1,1,試合終了,北京FC,ブニョドコル,0
9,J,2021-06-24,19:00:00,1,広州FC,0,2,試合終了,C大阪,ブリーラム,0
10,A,2021-04-16,04:00:00,1,アルヒラル,2,2,試合終了,AGMK,プリンスファイサルビンファハド,1
11,B,2021-04-15,03:00:00,1,シャールジャFC,1,0,試合終了,エアフォース,シャールジャ,1
12,C,2021-04-16,05:15:00,1,エステグラル,5,2,試合終了,アルアハリ,KASC,1
13,D,2021-04-15,03:00:00,1,アルサッド,1,1,試合終了,フーラード,キングファハド,1
14,E,2021-04-15,02:00:00,1,ゴア,0,0,試合終了,アルラーヤン,PJN,1
15,F,2021-06-26,23:00:00,1,ベトテル,0,1,試合終了,蔚山,パトゥムターニー,1
16,G,2021-06-22,23:00:00,1,JDT,0,1,試合終了,名古屋,ラジャマンガラ,1
17,H,2021-06-26,01:00:00,1,全北現代,2,1,試合終了,チェンライU,ブニョドコル,1
18,I,2021-06-27,01:00:00,1,川崎F,3,2,試合終了,大邱,ロコモティフ,1
19,J,2021-06-24,23:00:00,1,傑志,2,0,試合終了,ポートFC,ブリーラム,1
20,A,2021-04-19,04:00:00,2,アルアハリ,0,2,試合終了,アルヒラル,プリンスファイサルビンファハド,0
21,B,2021-04-18,00:00:00,2,エアフォース,0,0,試合終了,パフタコール,シャールジャ,0
22,C,2021-04-19,02:45:00,2,アルアハリ,1,1,試合終了,アルドゥハイル,KASC,0
23,D,2021-04-18,03:00:00,2,アルナスル,3,1,試合終了,アルサッド,キングサウード,0
24,E,2021-04-17,23:30:00,2,アルワフダ,0,0,試合終了,ゴア,PJN,0
25,F,2021-06-29,19:00:00,2,蔚山,2,0,試合終了,パトゥムユナイテッド,パトゥムターニー,0
26,G,2021-06-25,19:00:00,2,名古屋,3,0,試合終了,浦項,ラジャマンガラ,0
27,H,2021-06-28,23:00:00,2,チェンライU,1,0,試合終了,タンピネス,ブニョドコル,0
28,I,2021-06-29,23:00:00,2,大邱,7,0,試合終了,ユナイテッドシティ,ブニョドコル,0
29,J,2021-06-27,19:00:00,2,ポートFC,3,0,試合終了,広州FC,ブリーラム,0
30,A,2021-04-19,04:00:00,2,AGMK,2,3,試合終了,イスティクロル,キングファハド,1
31,B,2021-04-18,03:00:00,2,トラクター,0,0,試合終了,シャールジャFC,シャールジャ,1
32,C,2021-04-19,05:15:00,2,アルショルタ,0,3,試合終了,エステグラル,KASC,1
33,D,2021-04-18,03:00:00,2,フーラード,1,0,試合終了,アルワフダート,キングファハド,1
34,E,2021-04-18,02:00:00,2,アルラーヤン,1,3,試合終了,ペルセポリス,PJN,1
35,F,2021-06-29,23:00:00,2,カヤFC,0,5,試合終了,ベトテル,パトゥムターニー,1
36,G,2021-06-25,23:00:00,2,ラーチャブリー,0,1,試合終了,JDT,ラジャマンガラ,1
37,H,2021-06-29,01:00:00,2,G大阪,2,2,試合終了,全北現代,ロコモティフ,1
38,I,2021-06-30,01:00:00,2,北京FC,0,7,試合終了,川崎F,ロコモティフ,1
39,J,2021-06-27,23:00:00,2,C大阪,2,1,試合終了,傑志,ブリーラム,1
40,A,2021-04-22,04:00:00,3,アルヒラル,3,1,試合終了,イスティクロル,プリンスファイサルビンファハド,0
