,シーズン,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送,match_card_id,home_score_ex,away_score_ex
0,2025,ＦＵＪＩＦＩＬＭ　ＳＵＰＥＲ　ＣＵＰ,,25/02/08(土),13:36,神戸,0-2,広島,国立,53343.0,日本テレビ系全国ネットにて生中継／ＴＶｅｒでライブ配信,31312,,
1,2025,Ｊ１,第１節第１日,25/02/14(金),19:03,Ｇ大阪,2-5,Ｃ大阪,パナスタ,34860.0,ＤＡＺＮ／朝日放送テレビ（録）,31361,,
2,2025,Ｊ１,第１節第２日,25/02/15(土),14:03,横浜FM,1-1,新潟,日産ス,32713.0,ＤＡＺＮ／ＮＨＫ新潟／テレビ神奈川,31362,,
3,2025,Ｊ１,第１節第２日,25/02/15(土),14:03,神戸,0-0,浦和,ノエスタ,22266.0,ＤＡＺＮ／ＮＨＫ総合,31364,,
4,2025,Ｊ１,第１節第２日,25/02/15(土),14:03,横浜FC,0-1,FC東京,ニッパツ,12195.0,ＤＡＺＮ,31363,,
5,2025,Ｊ１,第１節第２日,25/02/15(土),14:04,岡山,2-0,京都,ＪＦＥス,14575.0,ＤＡＺＮ／ＮＨＫ岡山／ＮＨＫ京都,31365,,
6,2025,Ｊ１,第１節第２日,25/02/15(土),14:04,福岡,0-1,柏,ベススタ,9923.0,ＤＡＺＮ／ＮＨＫ福岡,31366,,
7,2025,Ｊ１,第１節第２日,25/02/15(土),15:03,川崎Ｆ,4-0,名古屋,Ｕ等々力,23005.0,ＤＡＺＮ,31367,,
8,2025,Ｊ１,第１節第２日,25/02/15(土),15:03,湘南,1-0,鹿島,レモンＳ,13025.0,ＤＡＺＮ,31368,,
9,2025,Ｊ２,第１節第１日,25/02/15(土),14:03,鳥栖,0-1,仙台,駅スタ,11610.0,ＤＡＺＮ／ＮＨＫ佐賀／ＮＨＫ仙台,31436,,
10,2025,Ｊ２,第１節第１日,25/02/15(土),14:03,甲府,1-0,山口,ＪＩＴス,10152.0,ＤＡＺＮ／ＮＨＫ甲府／ＮＨＫ山口,31433,,
11,2025,Ｊ２,第１節第１日,25/02/15(土),14:03,いわき,0-2,千葉,ハワスタ,5046.0,ＤＡＺＮ／ＮＨＫ福島,31431,,
12,2025,Ｊ２,第１節第１日,25/02/15(土),14:03,藤枝,0-2,徳島,藤枝サ,7206.0,ＤＡＺＮ,31435,,
13,2025,Ｊ２,第１節第１日,25/02/15(土),14:03,大宮,2-1,山形,ＮＡＣＫ,13418.0,ＤＡＺＮ／ＮＨＫ山形／テレ玉,31432,,
14,2025,Ｊ２,第１節第１日,25/02/15(土),14:04,磐田,3-2,水戸,ヤマハ,11819.0,ＤＡＺＮ,31434,,
15,2025,Ｊ２,第１節第１日,25/02/15(土),19:03,長崎,3-2,熊本,ピースタ,19248.0,ＤＡＺＮ／ＢＳ１０,31437,,
16,2025,Ｊ３,第１節第１日,25/02/15(土),14:03,栃木Ｃ,2-1,相模原,ＣＦＳ,3283.0,ＤＡＺＮ／Ｌｅｍｉｎｏ／とちぎテレビ（録）,31501,,
17,2025,Ｊ３,第１節第１日,25/02/15(土),14:03,群馬,0-0,琉球,正田スタ,3452.0,ＤＡＺＮ／Ｌｅｍｉｎｏ／群馬テレビ（録）,31502,,
18,2025,Ｊ１,第１節第３日,25/02/16(日),14:03,東京Ｖ,0-1,清水,国立,52541.0,ＤＡＺＮ／ＢＳ松竹東急,31369,,
