,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,broadcast,attendance,home_pk_score,away_pk_score,home_score_ex,away_score_ex
0,1993/07/24,1,1,16:02,市原,市原,1,0,清水,試合終了,,9358,,,,
1,1993/07/24,1,2,18:31,神戸ユ,名古屋,1,2,横浜Ｆ,試合終了,,38757,,,,
2,1993/07/24,1,3,18:33,三ツ沢,横浜M,3,0,Ｖ川崎,試合終了,,14248,,,,
3,1993/07/24,1,4,18:33,広島ス,広島,4,0,浦和,試合終了,,13067,,,,
4,1993/07/24,1,5,19:00,万博,Ｇ大阪,0,1,鹿島,試合終了,,22677,,,0,1
0,1993/07/31,2,1,18:29,日本平,清水,2,1,広島,試合終了,,8991,,,1,0
1,1993/07/31,2,2,18:32,駒場,浦和,0,0,横浜M,試合終了,,9375,4,2,0,0
2,1993/07/31,2,3,18:34,カシマ,鹿島,1,1,名古屋,試合終了,,14747,5,3,0,0
3,1993/07/31,2,4,19:01,博多陸,Ｖ川崎,2,0,Ｇ大阪,試合終了,,27674,,,,
4,1993/07/31,2,5,19:33,三ツ沢,横浜Ｆ,2,3,市原,試合終了,,12425,,,,
0,1993/08/04,3,1,18:59,万博,Ｇ大阪,0,1,浦和,試合終了,,20259,,,,
1,1993/08/04,3,2,19:01,市原,市原,5,2,名古屋,試合終了,,10551,,,,
2,1993/08/04,3,3,19:01,三ツ沢,横浜M,0,4,清水,試合終了,,13146,,,,
3,1993/08/04,3,4,19:02,等々力,Ｖ川崎,2,1,鹿島,試合終了,,10150,,,,
4,1993/08/04,3,5,19:03,広島ス,広島,3,0,横浜Ｆ,試合終了,,12758,,,,
0,1993/08/07,4,1,12:05,札幌,Ｖ川崎,2,1,市原,試合終了,,21745,,,,
1,1993/08/07,4,2,16:03,三ツ沢,横浜M,1,1,鹿島,試合終了,,14152,8,7,0,0
2,1993/08/07,4,3,18:31,鈴鹿,名古屋,4,1,浦和,試合終了,,11858,,,,
3,1993/08/07,4,4,19:00,水前寺,横浜Ｆ,0,1,清水,試合終了,,13133,,,0,1
4,1993/08/08,4,5,19:03,広島ビ,広島,0,2,Ｇ大阪,試合終了,,34872,,,,
0,1993/08/14,5,1,16:03,万博,Ｇ大阪,2,1,横浜M,試合終了,,21509,,,,
1,1993/08/14,5,2,18:31,カシマ,鹿島,1,2,横浜Ｆ,試合終了,,14035,,,,
2,1993/08/14,5,3,18:31,駒場,浦和,2,3,市原,試合終了,,9366,,,,
3,1993/08/14,5,4,19:02,等々力,Ｖ川崎,3,0,広島,試合終了,,10195,,,,
