,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,broadcast,attendance,home_pk_score,away_pk_score,home_score_ex,away_score_ex
0,1996/03/16,1,1,14:03,等々力,Ｖ川崎,1,0,京都,試合終了,,12835,,,,
1,1996/03/16,1,2,15:03,駒場,浦和,2,1,柏,試合終了,,20124,,,,
2,1996/03/16,1,3,15:03,瑞穂陸,名古屋,4,1,平塚,試合終了,,22021,,,,
3,1996/03/16,1,4,15:03,長居２,Ｃ大阪,0,2,横浜Ｆ,試合終了,,8087,,,,
4,1996/03/16,1,5,15:04,カシマ,鹿島,4,1,清水,試合終了,,15922,,,,
5,1996/03/16,1,6,16:04,磐田,磐田,3,0,福岡,試合終了,,13439,,,,
6,1996/03/16,1,7,17:04,市原,市原,0,1,広島,試合終了,,10722,,,,
7,1996/03/16,1,8,19:05,三ツ沢,横浜M,1,2,Ｇ大阪,試合終了,,11728,,,,
0,1996/03/20,2,1,14:00,博多球,福岡,1,2,浦和,試合終了,,17323,,,0,1
1,1996/03/20,2,2,15:00,平塚,平塚,0,4,Ｖ川崎,試合終了,,12716,,,,
2,1996/03/20,2,3,15:00,日本平,清水,2,1,Ｃ大阪,試合終了,,16413,,,,
3,1996/03/20,2,4,15:00,万博,Ｇ大阪,0,1,横浜Ｆ,試合終了,,9739,,,,
4,1996/03/20,2,5,15:03,三ツ沢,横浜M,0,1,磐田,試合終了,,12840,,,0,1
5,1996/03/20,2,6,15:04,国立,柏,2,3,名古屋,試合終了,,25948,,,0,1
6,1996/03/20,2,7,15:04,西京極,京都,0,2,市原,試合終了,,8318,,,,
7,1996/03/20,2,8,16:05,広島ビ,広島,1,2,鹿島,試合終了,,18863,,,0,1
0,1996/03/23,3,1,14:04,磐田,磐田,2,0,Ｇ大阪,試合終了,,11927,,,,
1,1996/03/23,3,2,15:00,カシマ,鹿島,5,1,京都,試合終了,,15224,,,,
2,1996/03/23,3,3,15:01,市原,市原,0,2,平塚,試合終了,,10293,,,,
3,1996/03/23,3,4,15:01,長居２,Ｃ大阪,1,2,広島,試合終了,,6276,,,0,1
4,1996/03/23,3,5,15:03,等々力,Ｖ川崎,2,3,柏,試合終了,,11599,,,0,1
5,1996/03/23,3,6,15:03,三ツ沢,横浜Ｆ,1,0,清水,試合終了,,10296,,,1,0
6,1996/03/23,3,7,19:02,瑞穂陸,名古屋,3,1,福岡,試合終了,,20793,,,,
7,1996/03/23,3,8,19:03,国立,浦和,2,0,横浜M,試合終了,,49094,,,,
0,1996/03/30,4,1,14:02,磐田,磐田,1,1,浦和,試合終了,,12730,3,4,0,0
1,1996/03/30,4,2,15:00,国立,平塚,1,0,鹿島,試合終了,,23748,,,1,0
2,1996/03/30,4,3,15:00,万博,Ｇ大阪,2,2,清水,試合終了,,5674,4,3,0,0
3,1996/03/30,4,4,15:01,柏,柏,0,2,市原,試合終了,,10272,,,,
4,1996/03/30,4,5,15:03,西京極,京都,0,2,Ｃ大阪,試合終了,,5231,,,,
5,1996/03/30,4,6,15:04,広島ビ,広島,0,1,横浜Ｆ,試合終了,,7105,,,0,1
6,1996/03/30,4,7,15:05,三ツ沢,横浜M,0,1,名古屋,試合終了,,12013,,,,
7,1996/03/30,4,8,19:00,博多球,福岡,1,2,Ｖ川崎,試合終了,,16328,,,0,1
0,1996/04/03,5,1,19:00,国立,Ｖ川崎,3,2,横浜M,試合終了,,35518,,,1,0
1,1996/04/03,5,2,19:01,市原,市原,0,1,福岡,試合終了,,8028,,,,
2,1996/04/03,5,3,19:01,日本平,清水,1,0,広島,試合終了,,12363,,,1,0
3,1996/04/03,5,4,19:01,瑞穂陸,名古屋,1,2,磐田,試合終了,,21576,,,,
4,1996/04/03,5,5,19:01,長居２,Ｃ大阪,2,3,平塚,試合終了,,6389,,,0,1
5,1996/04/03,5,6,19:03,カシマ,鹿島,5,1,柏,試合終了,,15489,,,,
