,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round,home_pk_score,away_pk_score,home_score_ex,away_score_ex,leg
0,1997/03/08,0,1,14:00,市原,市原,4,0,B仙台,試合終了,第1節第1日,,,,,
1,1997/03/08,0,2,16:04,日本平,清水,0,0,平塚,試合終了,第1節第1日,,,,,
2,1997/03/08,0,3,15:01,万博,Ｇ大阪,3,3,札幌,試合終了,第1節第1日,,,,,
3,1997/03/08,0,4,15:03,国立,Ｖ川崎,1,1,横浜M,試合終了,第1節第1日,,,,,
4,1997/03/08,0,5,15:00,鳥栖,鳥栖,0,0,浦和,試合終了,第1節第1日,,,,,
5,1997/03/08,0,6,15:04,カシマ,鹿島,2,4,Ｃ大阪,試合終了,第1節第1日,,,,,
6,1997/03/08,0,7,15:00,柏,柏,5,1,神戸,試合終了,第1節第1日,,,,,
7,1997/03/08,0,8,15:03,長良川,名古屋,2,1,広島,試合終了,第1節第1日,,,,,
8,1997/03/08,0,9,15:00,三ツ沢,横浜Ｆ,1,2,磐田,試合終了,第1節第1日,,,,,
9,1997/03/08,0,10,15:03,西京極,京都,1,0,福岡,試合終了,第1節第1日,,,,,
0,1997/03/15,0,1,14:01,宮城陸上,B仙台,0,2,清水,試合終了,第2節第1日,,,,,
1,1997/03/15,0,2,15:00,平塚,平塚,1,2,市原,試合終了,第2節第1日,,,,,
2,1997/03/15,0,3,15:00,三ツ沢,横浜M,3,4,Ｇ大阪,試合終了,第2節第1日,,,,,
3,1997/03/15,0,4,16:02,長崎,札幌,2,2,Ｖ川崎,試合終了,第2節第1日,,,,,
4,1997/03/15,0,5,15:00,長居,Ｃ大阪,2,0,鳥栖,試合終了,第2節第1日,,,,,
5,1997/03/15,0,6,15:01,駒場,浦和,1,1,鹿島,試合終了,第2節第1日,,,,,
6,1997/03/15,0,7,15:02,神戸ユ,神戸,1,1,名古屋,試合終了,第2節第1日,,,,,
7,1997/03/15,0,8,15:06,広島ビ,広島,0,2,柏,試合終了,第2節第1日,,,,,
8,1997/03/15,0,9,14:03,磐田,磐田,2,1,京都,試合終了,第2節第1日,,,,,
9,1997/03/15,0,10,15:01,博多球,福岡,1,1,横浜Ｆ,試合終了,第2節第1日,,,,,
0,1997/03/19,0,1,19:00,平塚,平塚,6,0,B仙台,試合終了,第3節第1日,,,,,
1,1997/03/19,0,2,19:04,日本平,清水,2,0,市原,試合終了,第3節第1日,,,,,
2,1997/03/19,0,3,19:00,等々力,Ｖ川崎,1,2,Ｇ大阪,試合終了,第3節第1日,,,,,
3,1997/03/19,0,4,19:01,三ツ沢,横浜M,1,3,札幌,試合終了,第3節第1日,,,,,
4,1997/03/19,0,5,19:01,カシマ,鹿島,5,0,鳥栖,試合終了,第3節第1日,,,,,
5,1997/03/19,0,6,19:03,長居,Ｃ大阪,1,1,浦和,試合終了,第3節第1日,,,,,
6,1997/03/19,0,7,19:00,広島ビ,広島,1,0,神戸,試合終了,第3節第1日,,,,,
7,1997/03/19,0,8,19:01,瑞穂陸,名古屋,1,1,柏,試合終了,第3節第1日,,,,,
8,1997/03/19,0,9,19:00,博多球,福岡,1,1,磐田,試合終了,第3節第1日,,,,,
9,1997/03/19,0,10,19:04,西京極,京都,0,1,横浜Ｆ,試合終了,第3節第1日,,,,,
0,1997/03/22,0,1,14:01,市原,市原,3,1,平塚,試合終了,第4節第1日,,,,,
1,1997/03/22,0,2,15:04,日本平,清水,1,1,B仙台,試合終了,第4節第1日,,,,,
2,1997/03/22,0,3,15:00,等々力,Ｖ川崎,2,2,札幌,試合終了,第4節第1日,,,,,
3,1997/03/22,0,4,15:00,万博,Ｇ大阪,1,2,横浜M,試合終了,第4節第1日,,,,,
4,1997/03/22,0,5,15:00,鳥栖,鳥栖,0,0,Ｃ大阪,試合終了,第4節第1日,,,,,
5,1997/03/22,0,6,15:02,カシマ,鹿島,0,0,浦和,試合終了,第4節第1日,,,,,
6,1997/03/22,0,7,15:00,柏,柏,3,0,広島,試合終了,第4節第1日,,,,,
7,1997/03/22,0,8,15:04,瑞穂陸,名古屋,3,0,神戸,試合終了,第4節第1日,,,,,
8,1997/03/22,0,9,15:01,三ツ沢,横浜Ｆ,1,0,福岡,試合終了,第4節第1日,,,,,
9,1997/03/22,0,10,15:03,西京極,京都,1,3,磐田,試合終了,第4節第1日,,,,,
0,1997/03/26,0,1,14:00,宮城陸上,B仙台,3,4,平塚,試合終了,第5節第1日,,,,,
1,1997/03/26,0,2,18:31,市原,市原,3,0,清水,試合終了,第5節第1日,,,,,
2,1997/03/26,0,3,19:00,長良川,札幌,1,2,横浜M,試合終了,第5節第1日,,,,,
3,1997/03/26,0,4,19:00,万博,Ｇ大阪,0,1,Ｖ川崎,試合終了,第5節第1日,,,,,
4,1997/03/26,0,5,19:01,鳥栖,鳥栖,1,4,鹿島,試合終了,第5節第1日,,,,,
5,1997/03/26,0,6,19:03,駒場,浦和,3,1,Ｃ大阪,試合終了,第5節第1日,,,,,
6,1997/03/26,0,7,19:00,柏,柏,1,1,名古屋,試合終了,第5節第1日,,,,,
7,1997/03/26,0,8,19:00,神戸ユ,神戸,2,2,広島,試合終了,第5節第1日,,,,,
8,1997/03/26,0,9,19:02,三ツ沢,横浜Ｆ,1,0,京都,試合終了,第5節第1日,,,,,
9,1997/03/26,0,10,19:04,磐田,磐田,4,2,福岡,試合終了,第5節第1日,,,,,
0,1997/03/29,0,1,14:00,宮城陸上,B仙台,1,3,市原,試合終了,第6節第1日,,,,,
1,1997/03/29,0,2,15:00,平塚,平塚,2,2,清水,試合終了,第6節第1日,,,,,
2,1997/03/29,0,3,15:00,水前寺,札幌,1,0,Ｇ大阪,試合終了,第6節第1日,,,,,
3,1997/03/29,0,4,15:01,三ツ沢,横浜M,1,2,Ｖ川崎,試合終了,第6節第1日,,,,,
4,1997/03/29,0,5,15:00,駒場,浦和,4,0,鳥栖,試合終了,第6節第1日,,,,,
5,1997/03/29,0,6,15:00,長居,Ｃ大阪,3,4,鹿島,試合終了,第6節第1日,,,,,
6,1997/03/29,0,7,15:00,神戸ユ,神戸,2,1,柏,試合終了,第6節第1日,,,,,
7,1997/03/29,0,8,15:01,広島ビ,広島,4,2,名古屋,試合終了,第6節第1日,,,,,
8,1997/03/29,0,9,14:03,磐田,磐田,0,0,横浜Ｆ,試合終了,第6節第1日,,,,,
9,1997/03/29,0,10,15:02,博多球,福岡,2,2,京都,試合終了,第6節第1日,,,,,
0,1997/10/15,0,1,19:00,長良川,名古屋,4,0,市原,試合終了,準々決勝第1戦,,,,,1
1,1997/10/15,0,2,19:01,札幌,札幌,1,2,鹿島,試合終了,準々決勝第1戦,,,,,1
