,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,broadcast,attendance,home_score_ex,away_score_ex
0,1999/03/14,1,1,12:59,韮崎中央,甲府,1,2,大宮,試合終了,,2027,,
1,1999/03/14,1,2,13:00,西が丘,Ｆ東京,2,0,鳥栖,試合終了,東京メトロポリタンテレビ（録）,3685,,
2,1999/03/14,1,3,13:00,等々力,川崎Ｆ,0,1,新潟,試合終了,,4469,,
3,1999/03/14,1,4,13:01,大分,大分,1,0,札幌,試合終了,大分放送,3741,,
4,1999/03/14,1,5,13:04,仙台,仙台,2,3,山形,試合終了,ＮＨＫ仙台（生）,10315,,
0,1999/03/20,2,1,13:01,新潟,新潟,1,0,山形,試合終了,テレビ新潟,2514,1,0
1,1999/03/21,2,2,12:59,鳥栖,鳥栖,4,0,甲府,試合終了,,2707,,
2,1999/03/21,2,3,13:00,仙台,仙台,1,2,Ｆ東京,試合終了,,4890,,
3,1999/03/21,2,4,13:00,大分,大分,1,0,川崎Ｆ,試合終了,,1925,,
4,1999/03/21,2,5,14:03,大宮,大宮,1,2,札幌,試合終了,テレビ埼玉（録）,5609,,
0,1999/03/28,3,1,12:33,室蘭,札幌,2,3,鳥栖,試合終了,北海道文化放送,6204,0,1
1,1999/03/28,3,2,13:00,韮崎中央,甲府,1,2,仙台,試合終了,,1038,0,1
2,1999/03/28,3,3,13:01,西が丘,Ｆ東京,0,1,新潟,試合終了,東京メトロポリタンテレビ（録）,2715,,
3,1999/03/28,3,4,14:01,大宮,大宮,5,0,大分,試合終了,,2278,,
4,1999/03/28,3,5,14:02,鶴岡,山形,2,1,川崎Ｆ,試合終了,,2166,,
0,1999/04/04,4,1,12:59,新潟,新潟,6,1,甲府,試合終了,,3625,,
1,1999/04/04,4,2,13:00,鳥栖,鳥栖,4,2,大宮,試合終了,,2805,,
2,1999/04/04,4,3,13:01,大分,大分,2,1,山形,試合終了,,1876,,
3,1999/04/04,4,4,14:00,仙台,仙台,1,1,札幌,試合終了,東日本放送,13569,0,0
4,1999/04/04,4,5,14:01,等々力,川崎Ｆ,2,2,Ｆ東京,試合終了,,5293,0,0
0,1999/04/10,5,1,19:00,小瀬,甲府,1,2,川崎Ｆ,試合終了,,737,0,1
1,1999/04/11,5,2,12:34,室蘭,札幌,0,1,新潟,試合終了,北海道文化放送,4588,,
2,1999/04/11,5,3,13:01,佐賀,鳥栖,1,3,大分,試合終了,,2695,,
3,1999/04/11,5,4,13:03,西が丘,Ｆ東京,0,1,山形,試合終了,東京メトロポリタンテレビ,1501,0,1
4,1999/04/11,5,5,14:00,大宮,大宮,4,0,仙台,試合終了,,1331,,
0,1999/04/17,6,1,18:00,大分,大分,1,1,Ｆ東京,試合終了,,1784,0,0
1,1999/04/18,6,2,13:00,新潟,新潟,3,1,大宮,試合終了,,5799,,
2,1999/04/18,6,3,13:00,鳥栖,鳥栖,0,1,仙台,試合終了,,1838,,
3,1999/04/18,6,4,14:00,山形県,山形,4,1,甲府,試合終了,,2656,,
4,1999/04/18,6,5,14:00,等々力,川崎Ｆ,2,0,札幌,試合終了,,5058,,
0,1999/04/23,7,1,19:00,小瀬,甲府,0,3,Ｆ東京,試合終了,,784,,
1,1999/04/25,7,2,13:00,鳥栖,鳥栖,0,1,新潟,試合終了,,2674,,
2,1999/04/25,7,3,13:32,室蘭,札幌,3,2,山形,試合終了,札幌テレビ放送,4317,,
3,1999/04/25,7,4,14:00,大宮,大宮,0,2,川崎Ｆ,試合終了,,2455,,
4,1999/04/25,7,5,14:03,仙台,仙台,1,3,大分,試合終了,東北放送,2568,,
0,1999/04/28,8,1,18:00,新潟,新潟,0,3,仙台,試合終了,,2452,,
1,1999/04/29,8,2,12:59,佐伯,大分,1,1,甲府,試合終了,,1931,0,0
2,1999/04/29,8,3,13:01,西が丘,Ｆ東京,2,1,札幌,試合終了,東京メトロポリタンテレビ,6148,,
3,1999/04/29,8,4,14:00,等々力,川崎Ｆ,2,4,鳥栖,試合終了,,3177,,
4,1999/04/29,8,5,14:04,山形県,山形,1,2,大宮,試合終了,山形テレビ,2948,,
0,1999/05/02,9,1,13:00,鳥栖,鳥栖,0,1,山形,試合終了,,3161,,
1,1999/05/02,9,2,13:00,大分,大分,1,0,新潟,試合終了,,4860,,
2,1999/05/02,9,3,13:02,札幌,札幌,6,0,甲府,試合終了,北海道放送,15318,,
3,1999/05/02,9,4,13:33,仙台,仙台,0,2,川崎Ｆ,試合終了,ミヤギテレビ,9502,,
4,1999/05/02,9,5,13:59,大宮,大宮,0,2,Ｆ東京,試合終了,,5212,,
0,1999/05/05,10,1,13:00,西が丘,Ｆ東京,2,0,仙台,試合終了,東京メトロポリタンテレビ,3035,,
1,1999/05/05,10,2,13:00,小瀬,甲府,0,3,鳥栖,試合終了,,1337,,
2,1999/05/05,10,3,13:04,札幌,札幌,1,0,大宮,試合終了,ＮＨＫ札幌,7235,,
3,1999/05/05,10,4,14:00,山形県,山形,3,0,新潟,試合終了,,3866,,
4,1999/05/05,10,5,14:00,等々力,川崎Ｆ,2,1,大分,試合終了,,4021,,
0,1999/05/09,11,1,13:01,鳥栖,鳥栖,2,2,札幌,試合終了,,5797,0,0
1,1999/05/09,11,2,13:59,仙台,仙台,1,2,甲府,試合終了,,5867,0,1
2,1999/05/09,11,3,14:00,等々力,川崎Ｆ,4,0,山形,試合終了,,3623,,
3,1999/05/09,11,4,14:00,新潟,新潟,2,0,Ｆ東京,試合終了,,9327,,
4,1999/05/09,11,5,19:02,大分,大分,1,0,大宮,試合終了,,2894,,
0,1999/05/16,12,1,12:34,札幌,札幌,3,0,仙台,試合終了,北海道文化放送,10307,,
1,1999/05/16,12,2,13:00,西が丘,Ｆ東京,0,1,川崎Ｆ,試合終了,東京メトロポリタンテレビ,3147,,
2,1999/05/16,12,3,13:00,小瀬,甲府,3,0,新潟,試合終了,,1130,,
3,1999/05/16,12,4,14:00,山形県,山形,2,1,大分,試合終了,,2108,,
4,1999/05/16,12,5,15:01,大宮,大宮,4,1,鳥栖,試合終了,,1725,,
0,1999/05/22,13,1,13:03,新潟,新潟,0,1,札幌,試合終了,,8849,,
1,1999/05/22,13,2,14:03,大分,大分,4,0,鳥栖,試合終了,テレビ大分（生）,2914,,
2,1999/05/23,13,3,14:00,仙台,仙台,0,1,大宮,試合終了,,5806,0,1
3,1999/05/23,13,4,14:00,山形県,山形,1,2,Ｆ東京,試合終了,,3392,,
4,1999/05/23,13,5,14:01,等々力,川崎Ｆ,3,1,甲府,試合終了,,3727,,
0,1999/05/29,14,1,14:00,大宮,大宮,1,0,新潟,試合終了,テレビ埼玉（録）,2437,,
