,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round,home_pk_score,away_pk_score,leg
0,2004/03/27,0,1,14:04,広島ス,広島,0,0,横浜FM,試合終了,第1節,,,
1,2004/03/27,0,2,15:01,長居,Ｃ大阪,1,1,東京Ｖ,試合終了,第1節,,,
2,2004/03/27,0,3,14:00,ヤマハ,磐田,0,0,新潟,試合終了,第1節,,,
3,2004/03/27,0,4,14:00,万博,Ｇ大阪,1,3,名古屋,試合終了,第1節,,,
4,2004/03/27,0,5,15:00,駒場,浦和,2,3,大分,試合終了,第1節,,,
5,2004/03/27,0,6,15:02,市原,市原,4,0,清水,試合終了,第1節,,,
6,2004/03/27,0,7,14:00,神戸ウイ,神戸,1,0,柏,試合終了,第1節,,,
7,2004/03/27,0,8,15:00,味スタ,Ｆ東京,1,2,鹿島,試合終了,第1節,,,
0,2004/04/29,0,1,14:03,横浜国,横浜FM,2,1,広島,試合終了,第2節,,,
1,2004/04/29,0,2,15:00,味スタ,東京Ｖ,4,1,Ｃ大阪,試合終了,第2節,,,
2,2004/04/29,0,3,14:05,新潟ス,新潟,4,4,Ｇ大阪,試合終了,第2節,,,
3,2004/04/29,0,4,15:00,瑞穂陸,名古屋,5,2,磐田,試合終了,第2節,,,
4,2004/04/29,0,5,15:04,日本平,清水,2,0,浦和,試合終了,第2節,,,
5,2004/04/29,0,6,15:04,大分ス,大分,1,4,市原,試合終了,第2節,,,
6,2004/04/29,0,7,15:00,柏,柏,1,1,神戸,試合終了,第2節,,,
7,2004/04/29,0,8,15:04,カシマ,鹿島,1,2,Ｆ東京,試合終了,第2節,,,
0,2004/05/29,0,1,15:00,国立,東京Ｖ,3,0,広島,試合終了,第3節,,,
1,2004/05/29,0,2,15:01,長居,Ｃ大阪,0,1,横浜FM,試合終了,第3節,,,
2,2004/05/29,0,3,14:00,ヤマハ,磐田,0,1,Ｇ大阪,試合終了,第3節,,,
3,2004/05/29,0,4,15:01,瑞穂陸,名古屋,1,2,新潟,試合終了,第3節,,,
4,2004/05/29,0,5,15:00,日本平,清水,3,2,市原,試合終了,第3節,,,
5,2004/05/29,0,6,15:04,大分ス,大分,0,3,浦和,試合終了,第3節,,,
6,2004/05/29,0,7,14:03,神戸ウイ,神戸,0,3,鹿島,試合終了,第3節,,,
7,2004/05/29,0,8,15:02,柏の葉,柏,0,2,Ｆ東京,試合終了,第3節,,,
0,2004/06/05,0,1,14:00,三ツ沢,横浜FM,1,2,東京Ｖ,試合終了,第4節,,,
1,2004/06/05,0,2,15:00,広島ス,広島,2,0,Ｃ大阪,試合終了,第4節,,,
2,2004/06/05,0,3,14:00,万博,Ｇ大阪,2,3,磐田,試合終了,第4節,,,
3,2004/06/05,0,4,15:05,新潟ス,新潟,0,1,名古屋,試合終了,第4節,,,
4,2004/06/05,0,5,13:02,秋田,市原,2,0,大分,試合終了,第4節,,,
5,2004/06/05,0,6,18:04,駒場,浦和,3,0,清水,試合終了,第4節,,,
6,2004/06/05,0,7,15:03,カシマ,鹿島,0,2,柏,試合終了,第4節,,,
7,2004/06/05,0,8,18:33,国立,Ｆ東京,2,1,神戸,試合終了,第4節,,,
0,2004/07/17,0,1,19:00,長居,Ｃ大阪,0,2,広島,試合終了,第5節,,,
1,2004/07/17,0,2,19:02,味スタ,東京Ｖ,3,0,横浜FM,試合終了,第5節,,,
2,2004/07/17,0,3,19:00,瑞穂陸,名古屋,2,2,Ｇ大阪,試合終了,第5節,,,
3,2004/07/17,0,4,19:01,新潟ス,新潟,1,1,磐田,試合終了,第5節,,,
4,2004/07/17,0,5,19:02,駒場,浦和,2,1,市原,試合終了,第5節,,,
5,2004/07/17,0,6,19:03,日本平,清水,1,0,大分,試合終了,第5節,,,
6,2004/07/17,0,7,19:00,柏,柏,0,0,鹿島,試合終了,第5節,,,
7,2004/07/17,0,8,19:00,神戸ウイ,神戸,1,2,Ｆ東京,試合終了,第5節,,,
0,2004/07/24,0,1,18:00,三ツ沢,横浜FM,1,0,Ｃ大阪,試合終了,第6節,,,
1,2004/07/24,0,2,18:00,広島ス,広島,1,3,東京Ｖ,試合終了,第6節,,,
2,2004/07/24,0,3,18:30,金沢,Ｇ大阪,2,0,新潟,試合終了,第6節,,,
3,2004/07/24,0,4,18:32,鴨池,磐田,1,1,名古屋,試合終了,第6節,,,
4,2004/07/24,0,5,18:00,大分ス,大分,0,2,清水,試合終了,第6節,,,
5,2004/07/24,0,6,18:06,松本,市原,1,2,浦和,試合終了,第6節,,,
6,2004/07/24,0,7,18:00,味スタ,Ｆ東京,1,1,柏,試合終了,第6節,,,
7,2004/07/24,0,8,18:03,カシマ,鹿島,2,0,神戸,試合終了,第6節,,,
0,2004/09/04,0,1,18:00,埼玉,浦和,3,2,横浜FM,試合終了,準々決勝,,,
1,2004/09/04,0,2,19:02,味スタ,東京Ｖ,2,1,清水,試合終了,準々決勝,,,
2,2004/09/04,0,3,19:02,瑞穂陸,名古屋,2,1,鹿島,試合終了,準々決勝,,,
3,2004/09/04,0,4,19:16,国立,Ｆ東京,4,1,Ｇ大阪,試合終了,準々決勝,,,
0,2004/10/11,0,1,15:03,瑞穂陸,名古屋,1,4,浦和,試合終了,準決勝,,,
1,2004/10/13,0,2,19:01,味スタ,Ｆ東京,4,3,東京Ｖ,試合終了,準決勝,,,
0,2004/11/03,0,1,14:07,国立,Ｆ東京,0,0,浦和,試合終了,決勝,4,2,
