,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,broadcast,attendance
0,2007/03/03,1,1,13:04,平塚,湘南,1,2,仙台,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ仙台,7842
1,2007/03/03,1,2,14:04,鳴門,徳島,2,1,愛媛,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ徳島／ＮＨＫ松山,6566
2,2007/03/03,1,3,16:05,西京極,京都,2,0,札幌,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＫＢＳ京都（録）,7788
3,2007/03/04,1,4,13:03,国立,東京Ｖ,5,0,草津,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／日本テレビ（録）,10275
4,2007/03/04,1,5,14:04,笠松,水戸,0,1,山形,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ水戸＊／ＮＨＫ山形,6543
5,2007/03/04,1,6,15:03,鳥栖,鳥栖,0,5,福岡,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ佐賀／ＮＨＫ福岡,14124
0,2007/03/10,2,1,14:04,札幌ド,札幌,1,0,鳥栖,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ札幌,13568
1,2007/03/10,2,2,14:04,博多球,福岡,1,1,山形,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ福岡,8479
2,2007/03/11,2,3,13:03,群馬陸,草津,0,0,徳島,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／群馬テレビ,2634
3,2007/03/11,2,4,13:05,西京極,京都,0,0,湘南,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＫＢＳ京都（録）,4538
4,2007/03/11,2,5,14:04,愛媛陸,愛媛,1,3,東京Ｖ,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ松山,6311
5,2007/03/11,2,6,16:04,長居２,Ｃ大阪,0,2,仙台,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,6285
0,2007/03/17,3,1,13:04,鳴門,徳島,0,3,札幌,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,3167
1,2007/03/17,3,2,14:04,笠松,水戸,1,3,草津,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ水戸＊,1684
2,2007/03/17,3,3,14:05,ユアスタ,仙台,2,2,東京Ｖ,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ仙台,18261
3,2007/03/18,3,4,13:03,平塚,湘南,2,1,Ｃ大阪,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）,4226
4,2007/03/18,3,5,13:04,ＮＤスタ,山形,1,1,京都,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,5254
5,2007/03/18,3,6,16:03,鳥栖,鳥栖,0,1,愛媛,スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）,5547
