,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round,home_pk_score,away_pk_score,leg,match_number
0,2007/03/21,1,1,14:00,広島ビ,広島,0,3,Ｇ大阪,試合終了,第1節,,,,9917
1,2007/03/21,1,2,16:00,ホムスタ,神戸,1,4,千葉,試合終了,第1節,,,,9918
2,2007/03/21,1,3,14:59,三ツ沢,横浜FM,0,1,大宮,試合終了,第1節,,,,9930
3,2007/03/21,1,4,15:00,柏,柏,2,1,清水,試合終了,第1節,,,,9929
4,2007/03/21,1,5,13:02,九石ド,大分,1,0,横浜FC,試合終了,第1節,,,,9941
5,2007/03/21,1,6,19:00,ヤマハ,磐田,2,2,Ｆ東京,試合終了,第1節,,,,9942
6,2007/03/21,1,7,14:00,東北電ス,新潟,3,1,鹿島,試合終了,第1節,,,,9954
7,2007/03/21,1,8,14:01,小瀬,甲府,2,1,名古屋,試合終了,第1節,,,,9953
0,2007/03/25,2,1,14:00,万博,Ｇ大阪,2,2,神戸,試合終了,第2節,,,,9919
1,2007/03/25,2,2,16:01,フクアリ,千葉,2,1,広島,試合終了,第2節,,,,9920
2,2007/03/25,2,3,14:00,駒場,大宮,2,1,柏,試合終了,第2節,,,,9931
3,2007/03/25,2,4,15:00,日本平,清水,2,2,横浜FM,試合終了,第2節,,,,9932
4,2007/03/25,2,5,14:04,味スタ,Ｆ東京,0,2,大分,試合終了,第2節,,,,9943
5,2007/03/25,2,6,19:00,三ツ沢,横浜FC,2,0,磐田,試合終了,第2節,,,,9944
6,2007/03/25,2,7,14:00,カシマ,鹿島,2,1,新潟,試合終了,第2節,,,,9955
7,2007/03/25,2,8,14:00,瑞穂陸,名古屋,0,1,甲府,試合終了,第2節,,,,9956
0,2007/04/04,3,1,19:00,広島ビ,広島,2,0,神戸,試合終了,第3節,,,,9922
1,2007/04/04,3,2,19:05,万博,Ｇ大阪,0,1,千葉,試合終了,第3節,,,,9921
2,2007/04/04,3,3,19:00,柏,柏,0,0,大宮,試合終了,第3節,,,,9933
3,2007/04/04,3,4,19:00,三ツ沢,横浜FM,2,0,清水,試合終了,第3節,,,,9934
4,2007/04/04,3,5,19:00,ヤマハ,磐田,0,1,横浜FC,試合終了,第3節,,,,9945
5,2007/04/04,3,6,19:04,九石ド,大分,0,1,Ｆ東京,試合終了,第3節,,,,9946
6,2007/04/04,3,7,19:00,カシマ,鹿島,0,1,甲府,試合終了,第3節,,,,9957
7,2007/04/04,3,8,19:00,瑞穂陸,名古屋,2,2,新潟,試合終了,第3節,,,,9958
0,2007/04/11,4,1,19:01,ホムスタ,神戸,0,1,広島,試合終了,第4節,,,,9924
1,2007/04/11,4,2,19:02,フクアリ,千葉,0,1,Ｇ大阪,試合終了,第4節,,,,9923
2,2007/04/11,4,3,19:00,日本平,清水,0,0,柏,試合終了,第4節,,,,9936
3,2007/04/11,4,4,19:04,駒場,大宮,1,1,横浜FM,試合終了,第4節,,,,9935
4,2007/04/11,4,5,19:00,三ツ沢,横浜FC,1,2,大分,試合終了,第4節,,,,9948
