,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round,home_pk_score,away_pk_score,home_score_ex,away_score_ex,leg,match_number
0,2010/03/31,1,1,19:00,国立,Ｆ東京,2,2,名古屋,試合終了,第1節,,,,,,12489
1,2010/03/31,1,2,19:00,東北電ス,新潟,0,0,仙台,試合終了,第1節,,,,,,12490
2,2010/03/31,1,3,19:01,西京極,京都,1,1,大宮,試合終了,第1節,,,,,,12491
3,2010/03/31,1,4,19:00,アウスタ,清水,2,0,湘南,試合終了,第1節,,,,,,12510
4,2010/03/31,1,5,19:30,埼玉,浦和,1,1,磐田,試合終了,第1節,,,,,,12511
5,2010/03/31,1,6,19:30,ニッパ球,横浜FM,1,0,山形,試合終了,第1節,,,,,,12512
0,2010/04/14,2,1,19:00,長居,Ｃ大阪,0,1,新潟,試合終了,第2節,,,,,,12494
1,2010/04/14,2,2,19:01,ユアスタ,仙台,1,1,京都,試合終了,第2節,,,,,,12492
2,2010/04/14,2,3,19:03,ＮＡＣＫ,大宮,0,1,Ｆ東京,試合終了,第2節,,,,,,12493
3,2010/04/14,2,4,19:00,ヤマハ,磐田,2,1,横浜FM,試合終了,第2節,,,,,,12513
4,2010/04/14,2,5,19:01,ホームズ,神戸,1,3,浦和,試合終了,第2節,,,,,,12514
5,2010/04/14,2,6,19:30,ＮＤスタ,山形,0,0,清水,試合終了,第2節,,,,,,12515
0,2010/05/22,3,1,14:00,駒沢,Ｆ東京,1,0,新潟,試合終了,第3節,,,,,,12495
1,2010/05/22,3,2,14:00,西京極,京都,2,1,Ｃ大阪,試合終了,第3節,,,,,,12496
2,2010/05/22,3,3,19:30,瑞穂陸,名古屋,1,3,大宮,試合終了,第3節,,,,,,12497
3,2010/05/22,3,4,14:00,平塚,湘南,1,2,浦和,試合終了,第3節,,,,,,12516
4,2010/05/22,3,5,15:00,アウスタ,清水,0,0,横浜FM,試合終了,第3節,,,,,,12517
5,2010/05/22,3,6,16:00,ＮＤスタ,山形,1,0,神戸,試合終了,第3節,,,,,,12518
0,2010/05/26,4,1,19:00,ユアスタ,仙台,1,0,Ｆ東京,試合終了,第4節,,,,,,12498
