,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,broadcast,attendance
0,2014/03/09,1,1,13:00,ギオンス,相模原,0,4,金沢,試合終了,,2873
1,2014/03/09,1,2,13:00,味フィ西,長野,1,0,福島,試合終了,,4312
2,2014/03/09,1,3,13:00,ニッパ球,YS横浜,1,1,秋田,試合終了,,1477
3,2014/03/09,1,4,13:00,町田,町田,3,0,藤枝,試合終了,,4569
4,2014/03/09,1,5,13:01,とりスタ,鳥取,0,0,盛岡,試合終了,,3962
5,2014/03/09,1,6,15:11,沖縄県陸,琉球,3,0,J-22,試合終了,スカパー！プレミアムサービス,1517
0,2014/03/16,2,1,13:00,沖縄県陸,琉球,2,0,秋田,試合終了,,935
1,2014/03/16,2,2,13:00,石川西部,金沢,1,1,鳥取,試合終了,,2573
2,2014/03/16,2,3,13:00,町田,町田,0,0,長野,試合終了,,3416
3,2014/03/16,2,4,13:00,ギオンス,相模原,2,0,YS横浜,試合終了,,2183
4,2014/03/16,2,5,13:06,藤枝サ,藤枝,2,4,J-22,試合終了,,2513
5,2014/03/16,2,6,14:01,とうスタ,福島,0,2,盛岡,試合終了,,2053
0,2014/03/23,3,1,13:00,ニッパ球,YS横浜,1,1,町田,試合終了,,1819
1,2014/03/23,3,2,13:00,藤枝サ,藤枝,2,2,琉球,試合終了,,856
2,2014/03/23,3,3,13:00,とりスタ,鳥取,1,0,相模原,試合終了,,2535
3,2014/03/23,3,4,13:02,秋田球,秋田,2,2,福島,試合終了,秋田テレビ,1807
4,2014/03/23,3,5,13:04,佐久,長野,2,1,金沢,試合終了,スカパー！プレミアムサービス,3073
5,2014/03/23,3,6,13:05,盛岡南,盛岡,6,1,J-22,試合終了,テレビ岩手,3048
0,2014/03/29,4,1,13:00,福井,金沢,4,0,YS横浜,試合終了,,658
1,2014/03/30,4,2,13:00,沖縄県陸,琉球,0,1,盛岡,試合終了,,863
2,2014/03/30,4,3,13:00,町田,町田,2,0,相模原,試合終了,,2163
3,2014/03/30,4,4,13:00,佐久,長野,1,4,藤枝,試合終了,,1655
4,2014/03/30,4,5,13:00,秋田球,秋田,1,2,J-22,試合終了,,1053
5,2014/03/30,4,6,14:00,とうスタ,福島,0,1,鳥取,試合終了,,504
0,2014/04/06,5,1,13:00,盛岡南,盛岡,1,4,町田,試合終了,,1405
1,2014/04/06,5,2,13:00,藤枝サ,藤枝,0,0,福島,試合終了,,1046
2,2014/04/06,5,3,13:00,ニッパ球,YS横浜,0,2,J-22,試合終了,,897
3,2014/04/06,5,4,13:00,ギオンス,相模原,3,0,秋田,試合終了,,3315
4,2014/04/06,5,5,13:03,とりスタ,鳥取,1,1,長野,試合終了,スカパー！プレミアムサービス,1832
5,2014/04/16,5,6,19:00,石川西部,金沢,2,1,琉球,試合終了,,1113
0,2014/04/13,6,1,13:00,沖縄市陸,琉球,0,0,相模原,試合終了,,1021
1,2014/04/13,6,2,13:00,秋田球,秋田,2,1,盛岡,試合終了,,1523
2,2014/04/13,6,3,13:00,町田,町田,0,0,金沢,試合終了,,2968
3,2014/04/13,6,4,13:01,佐久,長野,0,0,YS横浜,試合終了,長野放送,2235
4,2014/04/13,6,5,13:04,藤枝サ,藤枝,0,2,鳥取,試合終了,,1113
5,2014/04/13,6,6,14:00,とうスタ,福島,0,1,J-22,試合終了,,1074
0,2014/04/20,7,1,13:00,ギオンス,相模原,2,1,藤枝,試合終了,,3223
1,2014/04/20,7,2,13:00,沖縄市陸,琉球,1,7,町田,試合終了,,856
2,2014/04/20,7,3,13:00,ニッパ球,YS横浜,0,1,福島,試合終了,,998
3,2014/04/20,7,4,13:00,とりスタ,鳥取,1,0,J-22,試合終了,,2545
4,2014/04/20,7,5,13:02,盛岡南,盛岡,0,0,長野,試合終了,,1200
5,2014/04/20,7,6,13:03,石川西部,金沢,1,0,秋田,試合終了,ＮＨＫ金沢／ＮＨＫ秋田,1562
0,2014/04/26,8,1,13:00,秋田球,秋田,1,0,鳥取,試合終了,,1396
1,2014/04/26,8,2,13:00,町田,町田,4,0,J-22,試合終了,,2497
2,2014/04/26,8,3,13:00,藤枝サ,藤枝,1,2,YS横浜,試合終了,,680
3,2014/04/26,8,4,14:00,とうスタ,福島,1,2,相模原,試合終了,,1001
4,2014/04/26,8,5,15:00,佐久,長野,1,0,琉球,試合終了,,1803
5,2014/04/26,8,6,15:00,石川西部,金沢,2,0,盛岡,試合終了,,1514
0,2014/04/29,9,1,13:00,秋田球,秋田,1,2,長野,試合終了,,1566
1,2014/04/29,9,2,13:00,盛岡南,盛岡,4,1,藤枝,試合終了,,1004
2,2014/04/29,9,3,13:00,ニッパ球,YS横浜,1,4,琉球,試合終了,,848
3,2014/04/29,9,4,13:00,ギオンス,相模原,0,1,J-22,試合終了,,4079
4,2014/04/29,9,5,13:01,チュスタ,鳥取,0,1,町田,試合終了,,3486
5,2014/04/29,9,6,13:04,とうスタ,福島,0,1,金沢,試合終了,ＮＨＫ福島,928
0,2014/05/04,10,1,12:59,ニッパ球,YS横浜,0,2,鳥取,試合終了,,1247
1,2014/05/04,10,2,13:00,盛岡南,盛岡,2,3,相模原,試合終了,,1763
2,2014/05/04,10,3,13:00,藤枝サ,藤枝,0,0,金沢,試合終了,,1184
3,2014/05/04,10,4,13:00,町田,町田,4,1,秋田,試合終了,,3554
4,2014/05/04,10,5,15:00,沖縄市陸,琉球,1,3,福島,試合終了,,935
5,2014/05/04,10,6,15:03,長野,長野,1,0,J-22,試合終了,テレビ信州,8011
0,2014/05/10,11,1,14:00,盛岡南,盛岡,3,0,YS横浜,試合終了,,1201
1,2014/05/11,11,2,13:00,秋田球,秋田,2,1,藤枝,試合終了,秋田テレビ,2046
2,2014/05/11,11,3,13:00,ギオンス,相模原,2,2,長野,試合終了,,4258
3,2014/05/11,11,4,13:00,とりスタ,鳥取,0,0,琉球,試合終了,,2100
