,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,broadcast,attendance
0,2015/03/07,1,1,14:04,豊田ス,名古屋,3,3,松本,スカパー！／スカパー！プレミアムサービス／ＮＨＫ名古屋／ＮＨＫ長野／ＮＨＫ岐阜／ＮＨＫ津,33558
1,2015/03/07,1,2,14:04,万博,Ｇ大阪,2,2,FC東京,スカパー！／スカパー！プレミアムサービス／ＮＨＫ総合,18332
2,2015/03/07,1,3,14:04,Ｅスタ,広島,2,0,甲府,スカパー！／スカパー！プレミアムサービス／ＮＨＫ広島／ＮＨＫ甲府,14671
3,2015/03/07,1,4,14:05,ベアスタ,鳥栖,2,1,新潟,スカパー！／スカパー！プレミアムサービス／ＮＨＫ佐賀／ＮＨＫ新潟,11580
4,2015/03/07,1,5,14:05,ユアスタ,仙台,2,0,山形,スカパー！／スカパー！プレミアムサービス／ＮＨＫ仙台／ＮＨＫ山形／ＮＨＫ青森／ＮＨＫ岩手／ＮＨＫ秋田／ＮＨＫ福島,19375
5,2015/03/07,1,6,15:03,日産ス,横浜FM,1,3,川崎Ｆ,スカパー！／スカパー！プレミアムサービス／ＢＳ－ＴＢＳ,38123
6,2015/03/07,1,7,16:04,ノエスタ,神戸,0,1,柏,スカパー！／スカパー！プレミアムサービス,24027
7,2015/03/07,1,8,19:04,ＢＭＷス,湘南,1,3,浦和,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,14446
8,2015/03/08,1,9,13:04,アイスタ,清水,3,1,鹿島,スカパー！／スカパー！プレミアムサービス／テレビ静岡,19736
0,2015/03/13,2,1,19:03,柏,柏,1,1,仙台,スカパー！／スカパー！プレミアムサービス,9082
1,2015/03/14,2,2,13:02,デンカＳ,新潟,0,0,清水,スカパー！／スカパー！プレミアムサービス／新潟総合テレビ,19537
2,2015/03/14,2,3,14:03,カシマ,鹿島,1,2,湘南,スカパー！／スカパー！プレミアムサービス／ＮＨＫ水戸,17295
3,2015/03/14,2,4,14:04,中銀スタ,甲府,1,0,名古屋,スカパー！／スカパー！プレミアムサービス／ＮＨＫ甲府／ＮＨＫ名古屋／ＮＨＫ岐阜／ＮＨＫ津,11851
4,2015/03/14,2,5,14:06,味スタ,FC東京,0,0,横浜FM,スカパー！／スカパー！プレミアムサービス／ＴＢＳ／ＴＯＫＹＯ　ＭＸ（録）,30492
5,2015/03/14,2,6,15:04,埼玉,浦和,1,0,山形,スカパー！／スカパー！プレミアムサービス,40802
6,2015/03/14,2,7,15:05,等々力,川崎Ｆ,2,2,神戸,スカパー！／スカパー！プレミアムサービス,21689
7,2015/03/14,2,8,18:34,ベアスタ,鳥栖,1,0,Ｇ大阪,スカパー！／スカパー！プレミアムサービス,17695
8,2015/03/14,2,9,19:04,松本,松本,1,2,広島,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,17091
0,2015/03/22,3,1,14:03,デンカＳ,新潟,3,2,柏,スカパー！／スカパー！プレミアムサービス,18193
1,2015/03/22,3,2,14:04,中銀スタ,甲府,0,2,Ｇ大阪,スカパー！／スカパー！プレミアムサービス,13047
2,2015/03/22,3,3,14:04,Ｅスタ,広島,0,0,浦和,スカパー！／スカパー！プレミアムサービス,26302
3,2015/03/22,3,4,14:04,アイスタ,清水,0,1,松本,スカパー！／スカパー！プレミアムサービス,19103
4,2015/03/22,3,5,15:03,ニッパツ,横浜FM,1,0,鳥栖,スカパー！／スカパー！プレミアムサービス／ＢＳ－ＴＢＳ,13529
5,2015/03/22,3,6,16:04,ＢＭＷス,湘南,0,0,仙台,スカパー！／スカパー！プレミアムサービス,11315
6,2015/03/22,3,7,17:04,ノエスタ,神戸,0,2,FC東京,スカパー！／スカパー！プレミアムサービス,21218
7,2015/03/22,3,8,17:04,瑞穂陸,名古屋,1,1,鹿島,スカパー！／スカパー！プレミアムサービス,16053
8,2015/03/22,3,9,19:04,ＮＤスタ,山形,1,0,川崎Ｆ,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,12081
0,2015/04/03,4,1,19:04,カシマ,鹿島,3,1,鳥栖,スカパー！／スカパー！プレミアムサービス,8539
1,2015/04/03,4,2,19:04,万博,Ｇ大阪,3,1,名古屋,スカパー！／スカパー！プレミアムサービス,10702
2,2015/04/04,4,3,13:34,ユアスタ,仙台,2,1,清水,スカパー！／スカパー！プレミアムサービス／ミヤギテレビ,14706
3,2015/04/04,4,4,14:04,ＮＤスタ,山形,1,2,湘南,スカパー！／スカパー！プレミアムサービス,7321
4,2015/04/04,4,5,15:03,等々力,川崎Ｆ,4,1,新潟,スカパー！／スカパー！プレミアムサービス,17643
5,2015/04/04,4,6,15:05,埼玉,浦和,1,0,松本,スカパー！／スカパー！プレミアムサービス,37154
6,2015/04/04,4,7,16:03,味スタ,FC東京,1,0,甲府,スカパー！／スカパー！プレミアムサービス,20743
7,2015/04/04,4,8,18:34,Ｅスタ,広島,0,1,神戸,スカパー！／スカパー！プレミアムサービス,11577
8,2015/04/04,4,9,19:04,柏,柏,1,2,横浜FM,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,12378
0,2015/04/12,5,1,13:03,松本,松本,1,3,柏,スカパー！／スカパー！プレミアムサービス／長野放送,18514
1,2015/04/12,5,2,14:04,日産ス,横浜FM,1,1,仙台,スカパー！／スカパー！プレミアムサービス,20207
2,2015/04/12,5,3,14:04,豊田ス,名古屋,2,0,広島,スカパー！／スカパー！プレミアムサービス／東海テレビ（録）,15080
3,2015/04/12,5,4,15:04,アイスタ,清水,2,3,Ｇ大阪,スカパー！／スカパー！プレミアムサービス／静岡放送,16027
4,2015/04/12,5,5,16:04,ノエスタ,神戸,4,1,甲府,スカパー！／スカパー！プレミアムサービス,15494
5,2015/04/12,5,6,16:04,ＢＭＷス,湘南,0,1,FC東京,スカパー！／スカパー！プレミアムサービス,14581
6,2015/04/12,5,7,16:04,ベアスタ,鳥栖,1,0,山形,スカパー！／スカパー！プレミアムサービス,8852
7,2015/04/12,5,8,17:03,等々力,川崎Ｆ,1,1,浦和,スカパー！／スカパー！プレミアムサービス,24992
8,2015/04/12,5,9,19:04,カシマ,鹿島,1,1,新潟,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,10261
0,2015/04/16,6,1,19:04,柏,柏,1,3,鹿島,スカパー！／スカパー！プレミアムサービス,10076
1,2015/04/18,6,2,14:03,デンカＳ,新潟,2,2,神戸,スカパー！／スカパー！プレミアムサービス,16068
2,2015/04/18,6,3,14:04,ユアスタ,仙台,2,3,川崎Ｆ,スカパー！／スカパー！プレミアムサービス,13644
3,2015/04/18,6,4,14:04,中銀スタ,甲府,0,3,鳥栖,スカパー！／スカパー！プレミアムサービス,8033
