,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,broadcast,attendance
0,2015/07/11,1,1,18:04,ＢＭＷス,湘南,2,1,名古屋,スカパー！／スカパー！プレミアムサービス,10752
1,2015/07/11,1,2,18:04,ユアスタ,仙台,3,4,広島,スカパー！／スカパー！プレミアムサービス,13373
2,2015/07/11,1,3,18:30,等々力,川崎Ｆ,2,0,FC東京,スカパー！／スカパー！プレミアムサービス,23793
3,2015/07/11,1,4,19:03,デンカＳ,新潟,2,3,鹿島,スカパー！／スカパー！プレミアムサービス,24316
4,2015/07/11,1,5,19:03,日産ス,横浜FM,1,1,山形,スカパー！／スカパー！プレミアムサービス,20575
5,2015/07/11,1,6,19:03,柏,柏,2,3,鳥栖,スカパー！／スカパー！プレミアムサービス,11371
6,2015/07/11,1,7,19:04,アイスタ,清水,0,5,神戸,スカパー！／スカパー！プレミアムサービス,14037
7,2015/07/11,1,8,19:04,松本,松本,1,2,浦和,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,18605
8,2015/07/11,1,9,19:04,万博,Ｇ大阪,2,1,甲府,スカパー！／スカパー！プレミアムサービス,14364
0,2015/07/15,2,1,18:04,ベアスタ,鳥栖,1,1,川崎Ｆ,スカパー！／スカパー！プレミアムサービス,7524
1,2015/07/15,2,2,19:03,中銀スタ,甲府,0,0,仙台,スカパー！／スカパー！プレミアムサービス／テレビ山梨,7015
2,2015/07/15,2,3,19:03,味スタ,FC東京,3,1,新潟,スカパー！／スカパー！プレミアムサービス／ＴＯＫＹＯ　ＭＸ,12727
3,2015/07/15,2,4,19:04,ニッパツ,横浜FM,0,1,柏,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,8038
4,2015/07/15,2,5,19:04,パロ瑞穂,名古屋,3,2,Ｇ大阪,スカパー！／スカパー！プレミアムサービス,13422
5,2015/07/15,2,6,19:04,カシマ,鹿島,0,0,清水,スカパー！／スカパー！プレミアムサービス,6923
6,2015/07/15,2,7,19:04,ノエスタ,神戸,1,1,湘南,スカパー！／スカパー！プレミアムサービス,7696
7,2015/07/15,2,8,19:04,Ｅスタ,広島,6,0,松本,スカパー！／スカパー！プレミアムサービス,7966
8,2015/07/15,2,9,19:05,ＮＤスタ,山形,0,0,浦和,スカパー！／スカパー！プレミアムサービス,10849
0,2015/07/19,3,1,18:04,松本,松本,2,0,鹿島,スカパー！／スカパー！プレミアムサービス,17625
1,2015/07/19,3,2,18:34,アイスタ,清水,2,2,名古屋,スカパー！／スカパー！プレミアムサービス,14497
2,2015/07/19,3,3,19:03,デンカＳ,新潟,1,0,鳥栖,スカパー！／スカパー！プレミアムサービス,17259
3,2015/07/19,3,4,19:03,味スタ,FC東京,0,0,山形,スカパー！／スカパー！プレミアムサービス／ＴＯＫＹＯ　ＭＸ,22175
4,2015/07/19,3,5,19:03,万博,Ｇ大阪,2,2,横浜FM,スカパー！／スカパー！プレミアムサービス／毎日放送（録）,16787
5,2015/07/19,3,6,19:04,ユアスタ,仙台,1,2,神戸,スカパー！／スカパー！プレミアムサービス,12488
6,2015/07/19,3,7,19:04,ＢＭＷス,湘南,0,2,甲府,スカパー！／スカパー！プレミアムサービス,12144
7,2015/07/19,3,8,19:04,柏,柏,1,0,川崎Ｆ,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,14055
8,2015/07/19,3,9,19:05,埼玉,浦和,1,2,広島,スカパー！／スカパー！プレミアムサービス,41492
0,2015/07/25,4,1,18:05,中銀スタ,甲府,0,1,松本,スカパー！／スカパー！プレミアムサービス,14176
1,2015/07/25,4,2,18:34,カシマ,鹿島,2,1,FC東京,スカパー！／スカパー！プレミアムサービス,17804
2,2015/07/25,4,3,19:03,等々力,川崎Ｆ,3,2,清水,スカパー！／スカパー！プレミアムサービス,20040
3,2015/07/25,4,4,19:04,パロ瑞穂,名古屋,2,1,浦和,スカパー！／スカパー！プレミアムサービス,17624
4,2015/07/25,4,5,19:04,ベアスタ,鳥栖,1,1,湘南,スカパー！／スカパー！プレミアムサービス,11960
5,2015/07/25,4,6,19:04,ノエスタ,神戸,1,2,Ｇ大阪,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,20679
6,2015/07/25,4,7,19:04,ユアスタ,仙台,0,1,柏,スカパー！／スカパー！プレミアムサービス,13070
7,2015/07/25,4,8,19:05,Ｅスタ,広島,2,0,横浜FM,スカパー！／スカパー！プレミアムサービス,15174
8,2015/07/25,4,9,19:34,ＮＤスタ,山形,1,3,新潟,スカパー！／スカパー！プレミアムサービス,11206
0,2015/07/29,5,1,19:00,デンカＳ,新潟,2,2,Ｇ大阪,スカパー！／スカパー！プレミアムサービス／新潟放送,19650
1,2015/07/29,5,2,19:03,味スタ,FC東京,3,1,仙台,スカパー！／スカパー！プレミアムサービス／ＴＯＫＹＯ　ＭＸ,16635
2,2015/07/29,5,3,19:04,松本,松本,1,3,川崎Ｆ,スカパー！／スカパー！プレミアムサービス,15610
3,2015/07/29,5,4,19:04,ベアスタ,鳥栖,0,3,鹿島,スカパー！／スカパー！プレミアムサービス,15794
4,2015/07/29,5,5,19:04,ＢＭＷス,湘南,3,0,柏,スカパー！／スカパー！プレミアムサービス,10411
5,2015/07/29,5,6,19:04,埼玉,浦和,1,1,甲府,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１／テレ玉,22363
6,2015/07/29,5,7,19:04,ＮＤスタ,山形,0,3,名古屋,スカパー！／スカパー！プレミアムサービス,6100
7,2015/07/29,5,8,19:05,ノエスタ,神戸,0,4,広島,スカパー！／スカパー！プレミアムサービス,9538
8,2015/07/29,5,9,19:33,日産ス,横浜FM,1,2,清水,スカパー！／スカパー！プレミアムサービス,14848
0,2015/07/22,6,1,19:03,万博,Ｇ大阪,1,1,鳥栖,スカパー！／スカパー！プレミアムサービス　※　スルガ銀行チャンピオンシップ２０１５ＯＳＡＫＡのため、７月２２日（水）に開催,11156
1,2015/08/12,6,2,19:03,デンカＳ,新潟,1,2,浦和,スカパー！／スカパー！プレミアムサービス,27447
2,2015/08/12,6,3,19:03,等々力,川崎Ｆ,0,0,山形,スカパー！／スカパー！プレミアムサービス,19154
3,2015/08/12,6,4,19:04,中銀スタ,甲府,0,1,FC東京,スカパー！／スカパー！プレミアムサービス,12164
4,2015/08/12,6,5,19:04,アイスタ,清水,1,2,湘南,スカパー！／スカパー！プレミアムサービス／静岡放送,15946
5,2015/08/12,6,6,19:04,パロ瑞穂,名古屋,0,3,横浜FM,スカパー！／スカパー！プレミアムサービス,17093
6,2015/08/12,6,7,19:04,ユアスタ,仙台,3,1,松本,スカパー！／スカパー！プレミアムサービス,15757
7,2015/08/12,6,8,19:04,柏,柏,2,0,神戸,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,12383
8,2015/08/12,6,9,19:04,Ｅスタ,広島,0,1,鹿島,スカパー！／スカパー！プレミアムサービス,16689
0,2015/08/16,7,1,18:03,日産ス,横浜FM,2,0,甲府,スカパー！／スカパー！プレミアムサービス,19207
1,2015/08/16,7,2,18:04,松本,松本,0,1,名古屋,スカパー！／スカパー！プレミアムサービス,17442
2,2015/08/16,7,3,18:04,ノエスタ,神戸,2,0,川崎Ｆ,スカパー！／スカパー！プレミアムサービス,15451
3,2015/08/16,7,4,18:04,味スタ,FC東京,2,1,Ｇ大阪,スカパー！／スカパー！プレミアムサービス,37978
4,2015/08/16,7,5,18:04,埼玉,浦和,1,0,湘南,スカパー！／スカパー！プレミアムサービス,36185
5,2015/08/16,7,6,18:04,ＮＤスタ,山形,1,3,鳥栖,スカパー！／スカパー！プレミアムサービス,10096
6,2015/08/16,7,7,18:04,アイスタ,清水,1,1,新潟,スカパー！／スカパー！プレミアムサービス,14724
7,2015/08/16,7,8,19:04,カシマ,鹿島,3,2,仙台,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,16554
8,2015/08/16,7,9,19:04,Ｅスタ,広島,0,3,柏,スカパー！／スカパー！プレミアムサービス,14471
0,2015/08/20,8,1,19:03,柏,柏,2,0,松本,スカパー！／スカパー！プレミアムサービス,7385
1,2015/08/22,8,2,18:04,中銀スタ,甲府,1,0,神戸,スカパー！／スカパー！プレミアムサービス,9113
2,2015/08/22,8,3,18:34,カシマ,鹿島,3,0,山形,スカパー！／スカパー！プレミアムサービス,16700
3,2015/08/22,8,4,18:34,埼玉,浦和,3,1,仙台,スカパー！／スカパー！プレミアムサービス,33932
4,2015/08/22,8,5,19:00,万博,Ｇ大阪,1,0,清水,スカパー！／スカパー！プレミアムサービス,15333
5,2015/08/22,8,6,19:03,デンカＳ,新潟,0,2,広島,スカパー！／スカパー！プレミアムサービス,19615
6,2015/08/22,8,7,19:04,豊田ス,名古屋,0,0,FC東京,スカパー！／スカパー！プレミアムサービス,19011
7,2015/08/22,8,8,19:04,ベアスタ,鳥栖,1,2,横浜FM,スカパー！／スカパー！プレミアムサービス,18321
8,2015/08/22,8,9,19:04,ＢＭＷス,湘南,2,1,川崎Ｆ,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,14136
0,2015/08/29,9,1,18:04,アイスタ,清水,1,1,FC東京,スカパー！／スカパー！プレミアムサービス,14954
1,2015/08/29,9,2,18:30,日産ス,横浜FM,4,0,浦和,スカパー！／スカパー！プレミアムサービス,33467
2,2015/08/29,9,3,19:03,等々力,川崎Ｆ,1,3,鹿島,スカパー！／スカパー！プレミアムサービス,22632
3,2015/08/29,9,4,19:04,神戸ユ,神戸,7,1,鳥栖,スカパー！／スカパー！プレミアムサービス,14637
4,2015/08/29,9,5,19:04,Ｅスタ,広島,5,2,名古屋,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,13916
5,2015/08/29,9,6,19:04,ユアスタ,仙台,0,1,新潟,スカパー！／スカパー！プレミアムサービス,14573
6,2015/08/30,9,7,19:03,柏,柏,2,2,甲府,スカパー！／スカパー！プレミアムサービス,8002
7,2015/08/30,9,8,19:04,万博,Ｇ大阪,1,0,湘南,スカパー！／スカパー！プレミアムサービス,14985
8,2015/09/23,9,9,14:03,松本,松本,2,2,山形,スカパー！／スカパー！プレミアムサービス　※　第９５回天皇杯全日本サッカー選手権大会１回戦のため、９月２３日（水・祝）に開催,15412
0,2015/09/11,10,1,19:36,埼玉,浦和,1,0,柏,スカパー！／スカパー！プレミアムサービス,23957
1,2015/09/12,10,2,18:35,豊田ス,名古屋,0,1,仙台,スカパー！／スカパー！プレミアムサービス,21008
2,2015/09/12,10,3,18:35,中銀スタ,甲府,1,3,川崎Ｆ,スカパー！／スカパー！プレミアムサービス,11069
3,2015/09/12,10,4,18:36,カシマ,鹿島,1,2,Ｇ大阪,スカパー！／スカパー！プレミアムサービス,22380
4,2015/09/12,10,5,19:04,ベアスタ,鳥栖,0,0,清水,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,10501
