,match_date,section_no,start_time,stadium,home_team,away_team,status,match_number,round,home_goal,away_goal,home_pk_score,away_pk_score,match_index_in_section,home_score_ex,away_score_ex,group
0,2015/08/29,-7,13:00,名古屋港,ＦＣマルヤス岡崎,桐蔭横浜大学,試合終了,1,１回戦,1,4,,,1,,,
1,2015/08/29,-7,16:00,松本,松本,サウルコス福井,試合終了,2,１回戦,3,0,,,2,,,
2,2015/08/30,-7,16:00,石川西部,金沢,今治,試合終了,3,１回戦,6,3,,,24,0,0,
3,2015/08/29,-7,19:00,大銀ド,大分,佐賀LIXIL FC,試合終了,4,１回戦,2,0,,,3,,,
4,2015/08/29,-7,18:00,長崎県立,V・ファーレン長崎,三菱重工長崎SC,試合終了,5,１回戦,7,0,,,4,,,
5,2015/08/29,-7,13:00,東近江,ＭＩＯびわこ滋賀,アルテリーヴォ和歌山,試合終了,6,１回戦,3,2,,,5,0,0,
6,2015/08/30,-7,17:00,富山,富山新庄クラブ,ＦＣ琉球,試合終了,7,１回戦,0,5,,,25,,,
7,2015/08/29,-7,18:00,Ksスタ,水戸,ラインメール青森,試合終了,8,１回戦,4,2,,,6,,,
8,2015/08/29,-7,16:00,本城,北九州,J.FC MIYAZAKI,試合終了,9,１回戦,2,1,,,7,,,
9,2015/08/29,-7,13:00,中銀スタ,韮崎アストロス,順天堂大学,試合終了,10,１回戦,0,3,,,8,,,
10,2015/08/29,-7,18:00,金鳥スタ,Ｃ大阪,ＦＣ大阪,試合終了,11,１回戦,1,2,,,9,,,
11,2015/08/30,-7,19:00,ニンスタ,愛媛FC,多度津ＦＣ,試合終了,12,１回戦,1,0,,,26,,,
12,2015/08/29,-7,13:00,三交鈴鹿,四日市大学,ヴェルスパ大分,試合終了,13,１回戦,1,6,,,10,,,
13,2015/08/29,-7,13:00,札幌厚別,コンサドーレ札幌,札幌大学,試合終了,14,１回戦,5,1,,,11,,,
14,2015/08/30,-7,18:00,ニッパツ,横浜FC,tonan前橋,試合終了,15,１回戦,3,0,,,27,,,
15,2015/08/30,-7,13:00,A-スタ,秋田,福島ユナイテッドＦＣ,試合終了,16,１回戦,3,0,,,28,,,
16,2015/08/29,-7,15:00,鳴門大塚,徳島,ファジアーノ岡山ネクスト,試合終了,17,１回戦,7,0,,,12,,,
17,2015/08/29,-7,15:00,群馬サ,ザスパクサツ群馬,ＦＣ岐阜SECOND,試合終了,18,１回戦,1,2,,,13,,,
18,2015/08/29,-7,13:00,奈良橿原,奈良クラブ,藤枝,試合終了,19,１回戦,0,0,5,6,14,,,
19,2015/08/29,-7,19:00,NDスタ,山形,山形大学医学部,試合終了,20,１回戦,7,1,,,15,,,
20,2015/08/30,-7,19:00,丸亀,讃岐,高知大学,試合終了,21,１回戦,1,0,,,29,,,
21,2015/08/30,-7,16:00,広島一球,広島経済大学,徳島大学ヒポクラテス,試合終了,22,１回戦,2,0,,,30,,,
22,2015/08/29,-7,16:00,水前寺,熊本,福岡大学,試合終了,23,１回戦,1,0,,,16,,,
23,2015/08/29,-7,18:00,とりスタ,ガイナーレ鳥取,岡山,試合終了,24,１回戦,2,1,,,17,0,0,
24,2015/08/30,-7,13:00,岩手,グルージャ盛岡,町田,試合終了,25,１回戦,0,3,,,31,,,
25,2015/08/29,-7,18:00,ヤマハ,磐田,北陸大学,試合終了,26,１回戦,1,0,,,18,,,
26,2015/08/30,-7,16:00,レベスタ,福岡,東海大学熊本,試合終了,27,１回戦,3,0,,,32,,,
27,2015/08/30,-7,13:00,八戸東陸,ヴァンラーレ八戸,仙台大学,試合終了,28,１回戦,0,1,,,33,,,
28,2015/08/29,-7,18:00,NACK,大宮アルディージャ,栃木ウーヴァＦＣ,試合終了,29,１回戦,4,0,,,19,,,
29,2015/08/29,-7,18:00,味フィ西,東京Ｖ,JAPANサッカーカレッジ,試合終了,30,１回戦,5,1,,,20,,,
30,2015/08/29,-7,13:00,松江陸,松江シティFC,鹿児島,試合終了,31,１回戦,1,0,,,21,,,
31,2015/08/30,-7,18:00,西京極,京都サンガF.C.,立命館大学,試合終了,32,１回戦,2,2,5,3,34,,,
32,2015/08/29,-7,16:00,栃木グ,栃木,流通経済大学,試合終了,33,１回戦,0,0,3,4,22,,,
33,2015/08/30,-7,16:00,南長野,ＡＣ長野パルセイロ,山口,試合終了,34,１回戦,1,0,,,35,,,
34,2015/08/29,-7,18:00,フクアリ,千葉,東京国際大学,試合終了,35,１回戦,3,0,,,23,,,
35,2015/08/30,-7,13:00,メドウ,岐阜,関西学院大学,試合終了,36,１回戦,2,1,,,36,0,0,
36,2015/09/05,-6,18:00,BMWス,湘南,桐蔭横浜大学,試合終了,37,２回戦,4,3,,,1,,,
37,2015/09/05,-6,16:00,松本,松本,金沢,試合終了,38,２回戦,2,1,,,2,,,
38,2015/09/05,-6,19:00,大銀ド,大分,V・ファーレン長崎,試合終了,39,２回戦,3,0,,,3,,,
39,2015/09/06,-6,19:00,ニッパツ,横浜F・マリノス,ＭＩＯびわこ滋賀,試合終了,40,２回戦,3,1,,,14,0,0,
40,2015/09/09,-6,19:00,カシマ,鹿島,ＦＣ琉球,試合終了,41,２回戦,3,1,,,19,,,
41,2015/09/05,-6,18:00,Ksスタ,水戸,北九州,試合終了,42,２回戦,2,1,,,4,,,
42,2015/09/05,-6,15:00,中銀スタ,甲府,順天堂大学,試合終了,43,２回戦,3,2,,,5,,,
43,2015/09/05,-6,18:00,金鳥スタ,ＦＣ大阪,愛媛FC,試合終了,44,２回戦,2,3,,,6,0,0,
44,2015/09/05,-6,19:00,ベアスタ,鳥栖,ヴェルスパ大分,試合終了,45,２回戦,4,0,,,7,,,
45,2015/09/05,-6,13:00,札幌厚別,コンサドーレ札幌,横浜FC,試合終了,46,２回戦,1,0,,,8,,,
46,2015/09/09,-6,19:00,デンカS,新潟,秋田,試合終了,47,２回戦,4,0,,,20,,,
47,2015/09/05,-6,18:00,鳴門大塚,徳島,ＦＣ岐阜SECOND,試合終了,48,２回戦,1,0,,,9,,,
48,2015/09/09,-6,19:00,アイスタ,清水,藤枝,試合終了,49,２回戦,2,4,,,21,,,
49,2015/09/05,-6,19:00,NDスタ,山形,讃岐,試合終了,50,２回戦,3,1,,,10,,,
50,2015/09/05,-6,15:00,福山,広島,広島経済大学,試合終了,51,２回戦,8,0,,,11,,,
51,2015/09/09,-6,19:00,うまスタ,熊本,ガイナーレ鳥取,試合終了,52,２回戦,1,0,,,22,,,
52,2015/09/09,-6,19:00,名古屋港,名古屋,町田,試合終了,53,２回戦,0,1,,,23,,,
53,2015/09/05,-6,18:00,ヤマハ,磐田,福岡,試合終了,54,２回戦,0,1,,,12,,,
54,2015/09/06,-6,15:00,ユアスタ,仙台,仙台大学,試合終了,55,２回戦,3,2,,,15,,,
55,2015/09/06,-6,18:00,NACK,大宮アルディージャ,東京Ｖ,試合終了,56,２回戦,3,1,,,16,,,
56,2015/09/05,-6,19:00,等々力,川崎Ｆ,松江シティFC,試合終了,57,２回戦,3,0,,,13,,,
57,2015/09/06,-6,19:00,西京極,京都サンガF.C.,流通経済大学,試合終了,58,２回戦,4,0,,,17,,,
58,2015/09/09,-6,19:00,神戸ユ,神戸,ＡＣ長野パルセイロ,試合終了,59,２回戦,5,0,,,24,,,
59,2015/09/06,-6,18:00,フクアリ,千葉,岐阜,試合終了,60,２回戦,1,0,,,18,,,
60,2015/10/10,-5,14:00,BMWス,湘南,松本,試合終了,61,３回戦,2,3,,,1,,,
61,2015/10/14,-5,19:00,大銀ド,大分,横浜F・マリノス,試合終了,62,３回戦,0,1,,,2,0,0,
62,2015/10/14,-5,19:00,カシマ,鹿島,水戸,試合終了,63,３回戦,0,0,2,3,3,,,
63,2015/10/14,-5,19:00,中銀スタ,甲府,愛媛FC,試合終了,64,３回戦,1,0,,,4,,,
64,2015/10/14,-5,19:00,ベアスタ,鳥栖,コンサドーレ札幌,試合終了,65,３回戦,0,0,2,1,5,,,
65,2015/10/14,-5,19:00,デンカS,新潟,徳島,試合終了,66,３回戦,1,2,,,6,,,
66,2015/10/14,-5,19:00,NDスタ,藤枝,山形,試合終了,67,３回戦,1,2,,,7,,,
67,2015/10/14,-5,19:00,Ｅスタ,広島,熊本,試合終了,68,３回戦,1,0,,,8,,,
68,2015/10/14,-5,19:00,レベスタ,町田,福岡,試合終了,69,３回戦,2,0,,,9,,,
69,2015/10/14,-5,19:00,ユアスタ,仙台,大宮アルディージャ,試合終了,70,３回戦,0,0,4,3,10,,,
70,2015/10/14,-5,19:00,等々力,川崎Ｆ,京都サンガF.C.,試合終了,71,３回戦,3,0,,,11,,,
71,2015/10/14,-5,19:00,神戸ユ,神戸,千葉,試合終了,72,３回戦,1,0,,,12,,,
72,2015/11/14,-4,15:30,ノエスタ,神戸,横浜F・マリノス,試合終了,73,４回戦,1,0,,,4,,,
73,2015/11/11,-4,19:00,熊谷陸,町田,浦和,試合終了,74,４回戦,1,7,,,1,,,
74,2015/11/14,-4,13:00,ユアスタ,仙台,松本,試合終了,75,４回戦,2,1,,,5,,,
75,2015/11/15,-4,13:00,柏,柏,甲府,試合終了,76,４回戦,2,1,,,7,0,0,
76,2015/11/15,-4,15:30,万博,川崎Ｆ,Ｇ大阪,試合終了,77,４回戦,0,2,,,8,,,
77,2015/11/14,-4,17:00,ベアスタ,鳥栖,山形,試合終了,78,４回戦,4,3,,,6,,,
78,2015/11/11,-4,19:00,味スタ,FC東京,水戸,試合終了,79,４回戦,2,0,,,2,,,
79,2015/11/11,-4,19:00,鳴門大塚,徳島,広島,試合終了,80,４回戦,1,2,,,3,,,
80,2015/12/26,-3,13:00,ヤンマー,神戸,浦和,試合終了,81,準々決勝,0,3,,,1,,,
81,2015/12/26,-3,13:00,ユアスタ,仙台,柏,試合終了,82,準々決勝,3,3,3,5,2,,,
82,2015/12/26,-3,15:00,万博,Ｇ大阪,鳥栖,試合終了,83,準々決勝,3,1,,,3,,,
83,2015/12/26,-3,15:00,長崎県立,FC東京,広島,試合終了,84,準々決勝,1,2,,,4,0,0,
84,2015/12/29,-2,13:05,味スタ,浦和,柏,試合終了,85,準決勝,1,0,,,1,0,0,
85,2015/12/29,-2,15:05,ヤンマー,Ｇ大阪,広島,試合終了,86,準決勝,3,0,,,2,,,
86,2016/01/01,-1,14:15,味スタ,浦和,Ｇ大阪,試合終了,87,決勝戦,1,2,,,1,,,
