,section_no,match_index_in_section,match_date,start_time,dayofweek,stadium,home_team,home_goal,away_goal,away_team
0,1,1,2021/9/12,10:01,SUN,ノエビアスタジアム神戸,INAC神戸レオネッサ,5,0,大宮アルディージャVENTUS
1,1,2,2021/9/12,13:30,SUN,味の素フィールド西が丘,日テレ・東京ヴェルディベレーザ,1,2,三菱重工浦和レッズレディース
2,1,3,2021/9/12,16:01,SUN,ユアテックスタジアム仙台,マイナビ仙台レディース,0,0,ノジマステラ神奈川相模原
3,1,4,2021/9/12,17:00,SUN,熊谷スポーツ文化公園陸上競技場,ちふれASエルフェン埼玉,0,3,サンフレッチェ広島レジーナ
4,1,5,2021/9/12,17:03,SUN,デンカビッグスワンスタジアム,アルビレックス新潟レディース,1,3,AC長野パルセイロ・レディース
5,2,1,2021/9/18,17:01,SAT,長野Uスタジアム,AC長野パルセイロ・レディース,0,0,日テレ・東京ヴェルディベレーザ
6,2,2,2021/9/18,18:00,SAT,広島広域公園第一球技場,サンフレッチェ広島レジーナ,0,2,マイナビ仙台レディース
7,2,3,2021/9/20,14:03,MON,NACK5スタジアム大宮,大宮アルディージャVENTUS,1,1,アルビレックス新潟レディース
8,2,4,2021/9/20,15:00,MON,フクダ電子アリーナ,ジェフユナイテッド市原・千葉レディース,1,1,ちふれASエルフェン埼玉
9,2,5,2021/9/20,17:00,MON,浦和駒場スタジアム,三菱重工浦和レッズレディース,2,0,ノジマステラ神奈川相模原
10,3,1,2021/9/25,16:03,SAT,味の素フィールド西が丘,日テレ・東京ヴェルディベレーザ,2,0,サンフレッチェ広島レジーナ
11,3,2,2021/9/26,13:03,SUN,J-GREEN堺S1メインフィールド,INAC神戸レオネッサ,2,0,ジェフユナイテッド市原・千葉レディース
12,3,3,2021/9/26,13:33,SUN,ユアテックスタジアム仙台,マイナビ仙台レディース,0,0,大宮アルディージャVENTUS
13,3,4,2021/9/26,14:03,SUN,デンカビッグスワンスタジアム,アルビレックス新潟レディース,2,1,ちふれASエルフェン埼玉
14,3,5,2021/9/26,15:03,SUN,相模原ギオンスタジアム,ノジマステラ神奈川相模原,0,0,AC長野パルセイロ・レディース
15,4,1,2021/10/2,13:03,SAT,フクダ電子アリーナ,ジェフユナイテッド市原・千葉レディース,0,3,日テレ・東京ヴェルディベレーザ
16,4,2,2021/10/2,14:03,SAT,NACK5スタジアム大宮,大宮アルディージャVENTUS,1,4,三菱重工浦和レッズレディース
17,4,3,2021/10/2,14:03,SAT,熊谷スポーツ文化公園陸上競技場,ちふれASエルフェン埼玉,0,3,マイナビ仙台レディース
18,4,4,2021/10/2,14:03,SAT,広島広域公園第一球技場,サンフレッチェ広島レジーナ,1,1,アルビレックス新潟レディース
19,4,5,2021/10/2,15:03,SAT,長野Uスタジアム,AC長野パルセイロ・レディース,0,2,INAC神戸レオネッサ
20,5,1,2021/10/9,13:03,SAT,ユアテックスタジアム仙台,マイナビ仙台レディース,1,1,ジェフユナイテッド市原・千葉レディース
21,5,2,2021/10/10,13:03,SUN,ノエビアスタジアム神戸,INAC神戸レオネッサ,1,0,日テレ・東京ヴェルディベレーザ
22,5,3,2021/10/10,14:03,SUN,浦和駒場スタジアム,三菱重工浦和レッズレディース,2,0,AC長野パルセイロ・レディース
23,5,4,2021/10/10,14:03,SUN,NACK5スタジアム大宮,大宮アルディージャVENTUS,4,1,サンフレッチェ広島レジーナ
24,5,5,2021/10/10,15:03,SUN,相模原ギオンスタジアム,ノジマステラ神奈川相模原,1,0,ちふれASエルフェン埼玉
25,6,1,2021/10/16,11:03,SAT,浦和駒場スタジアム,三菱重工浦和レッズレディース,1,2,サンフレッチェ広島レジーナ
26,6,2,2021/10/16,13:03,SAT,長野Uスタジアム,AC長野パルセイロ・レディース,0,2,ジェフユナイテッド市原・千葉レディース
27,6,3,2021/10/16,14:03,SAT,味の素フィールド西が丘,日テレ・東京ヴェルディベレーザ,4,1,ちふれASエルフェン埼玉
