,group,match_date,section_no,start_time,stadium,home_team,away_team,status,matchNumber,home_goal,away_goal,extraTime,match_index_in_section
0,A,2021/07/22,第1節,20:00,東京スタジアム,日本,南アフリカ,試合終了,1,1,0,False,1
1,A,2021/07/22,第1節,17:00,東京スタジアム,メキシコ,フランス,試合終了,2,4,1,False,2
2,A,2021/07/25,第2節,20:00,埼玉スタジアム２００２,日本,メキシコ,,9,,,False,1
3,A,2021/07/25,第2節,17:00,埼玉スタジアム２００２,フランス,南アフリカ,,10,,,False,2
4,A,2021/07/28,第3節,20:30,横浜国際総合競技場,フランス,日本,,17,,,False,1
5,A,2021/07/28,第3節,20:30,札幌ドーム,南アフリカ,メキシコ,,18,,,False,2
6,B,2021/07/22,第1節,17:00,茨城カシマスタジアム,ニュージーランド,韓国,試合終了,3,1,0,False,1
7,B,2021/07/22,第1節,20:00,茨城カシマスタジアム,ホンジュラス,ルーマニア,,4,,,False,2
8,B,2021/07/25,第2節,17:00,茨城カシマスタジアム,ニュージーランド,ホンジュラス,,11,,,False,1
9,B,2021/07/25,第2節,20:00,茨城カシマスタジアム,ルーマニア,韓国,,12,,,False,2
10,B,2021/07/28,第3節,17:30,札幌ドーム,ルーマニア,ニュージーランド,,19,,,False,1
11,B,2021/07/28,第3節,17:30,横浜国際総合競技場,韓国,ホンジュラス,,20,,,False,2
12,C,2021/07/22,第1節,16:30,札幌ドーム,エジプト,スペイン,試合終了,5,0,0,False,1
13,C,2021/07/22,第1節,19:30,札幌ドーム,アルゼンチン,オーストラリア,試合終了,6,0,1,False,2
14,C,2021/07/25,第2節,16:30,札幌ドーム,エジプト,アルゼンチン,,13,,,False,1
15,C,2021/07/25,第2節,19:30,札幌ドーム,オーストラリア,スペイン,,14,,,False,2
16,C,2021/07/28,第3節,20:00,宮城スタジアム,オーストラリア,エジプト,,21,,,False,1
17,C,2021/07/28,第3節,20:00,埼玉スタジアム２００２,スペイン,アルゼンチン,,22,,,False,2
18,D,2021/07/22,第1節,20:30,横浜国際総合競技場,ブラジル,ドイツ,,7,,,False,1
19,D,2021/07/22,第1節,17:30,横浜国際総合競技場,コートジボワール,サウジアラビア,試合終了,8,2,1,False,2
20,D,2021/07/25,第2節,17:30,横浜国際総合競技場,ブラジル,コートジボワール,,15,,,False,1
21,D,2021/07/25,第2節,20:30,横浜国際総合競技場,サウジアラビア,ドイツ,,16,,,False,2
22,D,2021/07/28,第3節,17:00,埼玉スタジアム２００２,サウジアラビア,ブラジル,,23,,,False,1
23,D,2021/07/28,第3節,17:00,宮城スタジアム,ドイツ,コートジボワール,,24,,,False,2
