,match_date,section_no,start_time,stadium,home_team,away_team,status,match_number,round,home_goal,away_goal,home_pk_score,away_pk_score,match_index_in_section,group
0,2021/07/11,1,16:00,ｾﾚｯｿ舞洲,セレッソ大阪U-18,大津高校,試合終了,106,第1節,1,4,,,1,
1,2021/04/04,1,11:00,トヨタＧ,名古屋グランパスU-18,サガン鳥栖U-18,試合終了,107,第1節,4,0,,,2,
2,2021/04/04,1,11:00,いぶきＣ,ヴィッセル神戸U-18,サンフレッチェ広島F.Cユース,試合終了,108,第1節,0,3,,,3,
3,2021/04/04,1,13:00,東城陽Ｇ,京都サンガF.C. U-18,ジュビロ磐田U-18,試合終了,109,第1節,0,1,,,4,
4,2021/04/04,1,15:00,OFA万博A,ガンバ大阪ユース,東福岡高校,試合終了,110,第1節,5,2,,,5,
5,2021/04/10,2,13:00,大津球,大津高校,ヴィッセル神戸U-18,試合終了,206,第2節,1,0,,,1,
6,2021/04/10,2,14:00,ｾﾚｯｿ舞洲,セレッソ大阪U-18,ガンバ大阪ユース,試合終了,207,第2節,0,3,,,2,
7,2021/04/11,2,11:00,吉田人工,サンフレッチェ広島F.Cユース,京都サンガF.C. U-18,試合終了,208,第2節,3,1,,,3,
8,2021/04/11,2,13:00,ヤマハ,ジュビロ磐田U-18,名古屋グランパスU-18,試合終了,209,第2節,1,1,,,4,
9,2021/04/11,2,13:00,佐賀市天,サガン鳥栖U-18,東福岡高校,試合終了,210,第2節,3,2,,,5,
10,2021/04/17,3,13:00,東城陽Ｇ,京都サンガF.C. U-18,大津高校,試合終了,306,第3節,0,0,,,1,
11,2021/04/18,3,11:00,吉田人工,サンフレッチェ広島F.Cユース,ジュビロ磐田U-18,試合終了,307,第3節,0,0,,,2,
12,2021/04/18,3,11:00,東福岡Ｇ,東福岡高校,名古屋グランパスU-18,試合終了,308,第3節,1,2,,,3,
13,2021/04/18,3,11:00,佐賀市天,サガン鳥栖U-18,セレッソ大阪U-18,試合終了,309,第3節,2,1,,,4,
14,2021/04/18,3,15:00,OFA万博A,ガンバ大阪ユース,ヴィッセル神戸U-18,試合終了,310,第3節,6,2,,,5,
