,group,match_date,start_time,section_no,home_team,home_goal,away_goal,match_status,away_team,stadium,match_index_in_section
0,A,2022-04-08,00:00:00,1,イスティクロル,,,試合前,アルラーヤン,未定,0
1,B,2022-04-07,00:00:00,1,アルジャジーラ,,,試合前,エアフォース,未定,0
2,C,2022-04-07,00:00:00,1,フーラード,,,試合前,アルガラファ,未定,0
3,D,2022-04-07,00:00:00,1,パフタコール,,,試合前,セパハン,未定,0
4,E,2022-04-08,00:00:00,1,アルサッド,,,試合前,未定,未定,0
5,F,2022-04-15,00:00:00,1,セーラーズ,,,試合前,浦和,未定,0
6,G,2022-04-15,00:00:00,1,パトゥムユナイテッド,,,試合前,メルボルンシティ,未定,0
7,H,2022-04-16,00:00:00,1,ホアンアインザライ,,,試合前,横浜FM,未定,0
8,I,2022-04-15,00:00:00,1,JDT,,,試合前,広州FC,未定,0
9,J,2022-04-16,00:00:00,1,上海海港,,,試合前,神戸,未定,0
10,A,2022-04-08,00:00:00,1,アルヒラル,,,試合前,未定,未定,1
11,B,2022-04-07,00:00:00,1,ムンバイシティ,,,試合前,アルシャバブ,未定,1
12,C,2022-04-07,00:00:00,1,アハル,,,試合前,アルアハリ,未定,1
13,D,2022-04-07,00:00:00,1,アルドゥハイル,,,試合前,未定,未定,1
14,E,2022-04-08,00:00:00,1,アルワフダート,,,試合前,アルファイサリー,未定,1
15,F,2022-04-15,00:00:00,1,山東泰山,,,試合前,大邱,未定,1
16,G,2022-04-15,00:00:00,1,ユナイテッドシティ,,,試合前,全南,未定,1
17,H,2022-04-16,00:00:00,1,全北現代,,,試合前,シドニーFC,未定,1
18,I,2022-04-15,00:00:00,1,川崎F,,,試合前,蔚山,未定,1
19,J,2022-04-16,00:00:00,1,傑志,,,試合前,チェンライU,未定,1
20,A,2022-04-11,00:00:00,2,未定,,,試合前,イスティクロル,未定,0
21,B,2022-04-10,00:00:00,2,エアフォース,,,試合前,ムンバイシティ,未定,0
22,C,2022-04-10,00:00:00,2,アルガラファ,,,試合前,アハル,未定,0
23,D,2022-04-10,00:00:00,2,未定,,,試合前,パフタコール,未定,0
24,E,2022-04-11,00:00:00,2,アルファイサリー,,,試合前,アルサッド,未定,0
25,F,2022-04-18,00:00:00,2,浦和,,,試合前,山東泰山,未定,0
26,G,2022-04-18,00:00:00,2,メルボルンシティ,,,試合前,ユナイテッドシティ,未定,0
27,H,2022-04-19,00:00:00,2,横浜FM,,,試合前,全北現代,未定,0
28,I,2022-04-18,00:00:00,2,広州FC,,,試合前,川崎F,未定,0
29,J,2022-04-19,00:00:00,2,チェンライU,,,試合前,上海海港,未定,0
30,A,2022-04-11,00:00:00,2,アルラーヤン,,,試合前,アルヒラル,未定,1
31,B,2022-04-10,00:00:00,2,アルシャバブ,,,試合前,アルジャジーラ,未定,1
32,C,2022-04-10,00:00:00,2,アルアハリ,,,試合前,フーラード,未定,1
33,D,2022-04-10,00:00:00,2,セパハン,,,試合前,アルドゥハイル,未定,1
34,E,2022-04-11,00:00:00,2,未定,,,試合前,アルワフダート,未定,1
35,F,2022-04-18,00:00:00,2,大邱,,,試合前,セーラーズ,未定,1
36,G,2022-04-18,00:00:00,2,全南,,,試合前,パトゥムユナイテッド,未定,1
37,H,2022-04-19,00:00:00,2,シドニーFC,,,試合前,ホアンアインザライ,未定,1
38,I,2022-04-18,00:00:00,2,蔚山,,,試合前,JDT,未定,1
39,J,2022-04-19,00:00:00,2,神戸,,,試合前,傑志,未定,1
40,A,2022-04-15,00:00:00,3,未定,,,試合前,アルラーヤン,未定,0
41,B,2022-04-14,00:00:00,3,アルジャジーラ,,,試合前,ムンバイシティ,未定,0
42,C,2022-04-14,00:00:00,3,フーラード,,,試合前,アハル,未定,0
43,D,2022-04-14,00:00:00,3,アルドゥハイル,,,試合前,パフタコール,未定,0
44,E,2022-04-15,00:00:00,3,アルサッド,,,試合前,アルワフダート,未定,0
45,F,2022-04-21,00:00:00,3,山東泰山,,,試合前,セーラーズ,未定,0
46,G,2022-04-21,00:00:00,3,メルボルンシティ,,,試合前,全南,未定,0
47,H,2022-04-22,00:00:00,3,全北現代,,,試合前,ホアンアインザライ,未定,0
48,I,2022-04-21,00:00:00,3,川崎F,,,試合前,JDT,未定,0
49,J,2022-04-22,00:00:00,3,神戸,,,試合前,チェンライU,未定,0
50,A,2022-04-15,00:00:00,3,アルヒラル,,,試合前,イスティクロル,未定,1
51,B,2022-04-14,00:00:00,3,エアフォース,,,試合前,アルシャバブ,未定,1
52,C,2022-04-14,00:00:00,3,アルガラファ,,,試合前,アルアハリ,未定,1
53,D,2022-04-14,00:00:00,3,未定,,,試合前,セパハン,未定,1
54,E,2022-04-15,00:00:00,3,未定,,,試合前,アルファイサリー,未定,1
55,F,2022-04-21,00:00:00,3,大邱,,,試合前,浦和,未定,1
56,G,2022-04-21,00:00:00,3,パトゥムユナイテッド,,,試合前,ユナイテッドシティ,未定,1
57,H,2022-04-22,00:00:00,3,シドニーFC,,,試合前,横浜FM,未定,1
58,I,2022-04-21,00:00:00,3,蔚山,,,試合前,広州FC,未定,1
59,J,2022-04-22,00:00:00,3,上海海港,,,試合前,傑志,未定,1
60,A,2022-04-19,00:00:00,4,アルラーヤン,,,試合前,未定,未定,0
61,B,2022-04-18,00:00:00,4,アルシャバブ,,,試合前,エアフォース,未定,0
62,C,2022-04-18,00:00:00,4,アハル,,,試合前,フーラード,未定,0
63,D,2022-04-18,00:00:00,4,セパハン,,,試合前,未定,未定,0
64,E,2022-04-19,00:00:00,4,アルワフダート,,,試合前,アルサッド,未定,0
65,F,2022-04-24,00:00:00,4,浦和,,,試合前,大邱,未定,0
66,G,2022-04-24,00:00:00,4,ユナイテッドシティ,,,試合前,パトゥムユナイテッド,未定,0
67,H,2022-04-25,00:00:00,4,横浜FM,,,試合前,シドニーFC,未定,0
68,I,2022-04-24,00:00:00,4,JDT,,,試合前,川崎F,未定,0
69,J,2022-04-25,00:00:00,4,チェンライU,,,試合前,神戸,未定,0
70,A,2022-04-19,00:00:00,4,イスティクロル,,,試合前,アルヒラル,未定,1
71,B,2022-04-18,00:00:00,4,ムンバイシティ,,,試合前,アルジャジーラ,未定,1
72,C,2022-04-18,00:00:00,4,アルアハリ,,,試合前,アルガラファ,未定,1
73,D,2022-04-18,00:00:00,4,パフタコール,,,試合前,アルドゥハイル,未定,1
74,E,2022-04-19,00:00:00,4,アルファイサリー,,,試合前,未定,未定,1
75,F,2022-04-24,00:00:00,4,セーラーズ,,,試合前,山東泰山,未定,1
76,G,2022-04-24,00:00:00,4,全南,,,試合前,メルボルンシティ,未定,1
77,H,2022-04-25,00:00:00,4,ホアンアインザライ,,,試合前,全北現代,未定,1
78,I,2022-04-24,00:00:00,4,広州FC,,,試合前,蔚山,未定,1
79,J,2022-04-25,00:00:00,4,傑志,,,試合前,上海海港,未定,1
80,A,2022-04-23,00:00:00,5,アルラーヤン,,,試合前,イスティクロル,未定,0
81,B,2022-04-22,00:00:00,5,アルシャバブ,,,試合前,ムンバイシティ,未定,0
82,C,2022-04-22,00:00:00,5,アルアハリ,,,試合前,アハル,未定,0
83,D,2022-04-22,00:00:00,5,セパハン,,,試合前,パフタコール,未定,0
84,E,2022-04-23,00:00:00,5,アルファイサリー,,,試合前,アルワフダート,未定,0
85,F,2022-04-27,00:00:00,5,大邱,,,試合前,山東泰山,未定,0
86,G,2022-04-27,00:00:00,5,全南,,,試合前,ユナイテッドシティ,未定,0
87,H,2022-04-28,00:00:00,5,横浜FM,,,試合前,ホアンアインザライ,未定,0
88,I,2022-04-27,00:00:00,5,蔚山,,,試合前,川崎F,未定,0
89,J,2022-04-28,00:00:00,5,チェンライU,,,試合前,傑志,未定,0
90,A,2022-04-23,00:00:00,5,未定,,,試合前,アルヒラル,未定,1
91,B,2022-04-22,00:00:00,5,エアフォース,,,試合前,アルジャジーラ,未定,1
92,C,2022-04-22,00:00:00,5,アルガラファ,,,試合前,フーラード,未定,1
93,D,2022-04-22,00:00:00,5,未定,,,試合前,アルドゥハイル,未定,1
94,E,2022-04-23,00:00:00,5,未定,,,試合前,アルサッド,未定,1
95,F,2022-04-27,00:00:00,5,浦和,,,試合前,セーラーズ,未定,1
