,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team
0,2022-02-18,1,1,19:08,等々力,FC東京,0,1,川崎Ｆ
1,2022-02-19,1,2,14:00,日産ス,Ｃ大阪,,,横浜FM
2,2022-02-19,1,3,14:00,アイスタ,札幌,,,清水
3,2022-02-19,1,4,14:00,サンガＳ,浦和,,,京都
4,2022-02-19,1,5,14:00,パナスタ,鹿島,,,Ｇ大阪
5,2022-02-19,1,6,14:00,Ｅスタ,鳥栖,,,広島
6,2022-02-19,1,7,14:00,ベススタ,磐田,,,福岡
7,2022-02-19,1,8,15:00,レモンＳ,柏,,,湘南
8,2022-02-19,1,9,15:00,豊田ス,神戸,,,名古屋
9,2022-02-26,2,1,13:30,エコパ,清水,,,磐田
10,2022-02-26,2,2,14:00,ヨドコウ,京都,,,Ｃ大阪
11,2022-02-26,2,3,15:00,札幌ド,広島,,,札幌
12,2022-02-26,2,4,15:00,カシマ,川崎Ｆ,,,鹿島
13,2022-02-26,2,5,15:00,埼玉,Ｇ大阪,,,浦和
14,2022-02-26,2,6,15:00,味スタ,名古屋,,,FC東京
15,2022-02-26,2,7,15:00,駅スタ,湘南,,,鳥栖
16,2022-02-26,2,8,16:00,ノエスタ,福岡,,,神戸
17,2022-02-27,2,9,15:00,三協Ｆ柏,横浜FM,,,柏
18,2022-03-05,3,1,14:00,サンガＳ,磐田,,,京都
19,2022-03-06,3,2,14:00,日産ス,清水,,,横浜FM
20,2022-03-06,3,3,14:00,豊田ス,鳥栖,,,名古屋
21,2022-03-06,3,4,14:00,ベススタ,札幌,,,福岡
22,2022-03-06,3,5,15:00,カシマ,柏,,,鹿島
23,2022-03-06,3,6,15:00,埼玉,湘南,,,浦和
24,2022-03-06,3,7,15:00,パナスタ,川崎Ｆ,,,Ｇ大阪
25,2022-03-06,3,8,16:00,ヨドコウ,FC東京,,,Ｃ大阪
26,2022-03-06,3,9,16:00,Ｅスタ,神戸,,,広島
27,2022-03-11,4,1,19:00,ノエスタ,鹿島,,,神戸
28,2022-03-12,4,2,14:00,札幌ド,横浜FM,,,札幌
29,2022-03-12,4,3,14:00,アイスタ,Ｃ大阪,,,清水
30,2022-03-12,4,4,14:00,ヤマハ,Ｇ大阪,,,磐田
31,2022-03-12,4,5,15:00,味スタ,広島,,,FC東京
32,2022-03-12,4,6,15:00,レモンＳ,京都,,,湘南
33,2022-03-12,4,7,16:00,三協Ｆ柏,福岡,,,柏
34,2022-03-12,4,8,17:00,等々力,名古屋,,,川崎Ｆ
35,2022-03-13,4,9,15:00,駅スタ,浦和,,,鳥栖
36,2022-03-18,5,1,19:00,ニッパツ,鳥栖,,,横浜FM
37,2022-03-19,5,2,14:00,アイスタ,神戸,,,清水
38,2022-03-19,5,3,14:00,サンガＳ,FC東京,,,京都
39,2022-03-19,5,4,14:00,パナスタ,福岡,,,Ｇ大阪
40,2022-03-19,5,5,14:00,Ｅスタ,川崎Ｆ,,,広島
41,2022-03-19,5,6,15:00,カシマ,湘南,,,鹿島
42,2022-03-19,5,7,15:00,埼玉,磐田,,,浦和
43,2022-03-19,5,8,16:00,ヨドコウ,札幌,,,Ｃ大阪
44,2022-03-20,5,9,14:00,豊田ス,柏,,,名古屋
45,2022-04-01,6,1,19:00,ベススタ,鳥栖,,,福岡
46,2022-04-02,6,2,14:00,パナスタ,名古屋,,,Ｇ大阪
47,2022-04-02,6,3,15:00,三協Ｆ柏,磐田,,,柏
48,2022-04-02,6,4,15:00,等々力,Ｃ大阪,,,川崎Ｆ
49,2022-04-02,6,5,15:00,レモンＳ,広島,,,湘南
50,2022-04-02,6,6,16:00,カシマ,清水,,,鹿島
51,2022-04-02,6,7,16:00,ノエスタ,京都,,,神戸
52,2022-04-02,6,8,19:00,札幌ド,浦和,,,札幌
53,2022-04-02,6,9,19:00,日産ス,FC東京,,,横浜FM
54,2022-04-05,7,1,19:00,ヨドコウ,柏,,,Ｃ大阪
55,2022-04-06,7,2,18:30,サンガＳ,Ｇ大阪,,,京都
56,2022-04-06,7,3,19:00,味スタ,神戸,,,FC東京
57,2022-04-06,7,4,19:00,ヤマハ,川崎Ｆ,,,磐田
58,2022-04-06,7,5,19:00,Ｅスタ,横浜FM,,,広島
59,2022-04-06,7,6,19:00,ベススタ,鹿島,,,福岡
60,2022-04-06,7,7,19:00,駅スタ,札幌,,,鳥栖
61,2022-04-06,7,8,19:30,埼玉,清水,,,浦和
62,2022-04-06,7,9,19:30,豊田ス,湘南,,,名古屋
63,2022-04-09,8,1,19:00,等々力,柏,,,川崎Ｆ
64,2022-04-10,8,2,13:00,アイスタ,Ｇ大阪,,,清水
65,2022-04-10,8,3,14:00,味スタ,浦和,,,FC東京
66,2022-04-10,8,4,14:00,Ｅスタ,福岡,,,広島
67,2022-04-10,8,5,14:00,ノエスタ,Ｃ大阪,,,神戸
68,2022-04-10,8,6,15:00,カシマ,横浜FM,,,鹿島
69,2022-04-10,8,7,15:00,レモンＳ,磐田,,,湘南
70,2022-04-10,8,8,15:00,豊田ス,札幌,,,名古屋
71,2022-04-10,8,9,16:00,サンガＳ,鳥栖,,,京都
72,2022-02-23,9,1,14:00,日産ス,川崎Ｆ,,,横浜FM
73,2022-02-23,9,2,16:00,埼玉,神戸,,,浦和
74,2022-04-16,9,3,13:00,札幌ド,FC東京,,,札幌
75,2022-04-17,9,4,14:00,パナスタ,湘南,,,Ｇ大阪
76,2022-04-17,9,5,15:00,カシマ,名古屋,,,鹿島
77,2022-04-17,9,6,15:00,駅スタ,清水,,,鳥栖
78,2022-04-17,9,7,16:00,ヤマハ,広島,,,磐田
79,2022-04-17,9,8,17:00,ベススタ,Ｃ大阪,,,福岡
80,2022-04-17,9,9,19:00,三協Ｆ柏,京都,,,柏
81,2022-03-02,10,1,19:00,等々力,浦和,,,川崎Ｆ
82,2022-03-02,10,2,19:30,日産ス,神戸,,,横浜FM
83,2022-04-28,10,3,19:00,ヤマハ,名古屋,,,磐田
84,2022-04-29,10,4,13:05,札幌ド,湘南,,,札幌
85,2022-04-29,10,5,14:00,アイスタ,広島,,,清水
86,2022-04-29,10,6,15:00,サンガＳ,福岡,,,京都
87,2022-04-29,10,7,16:00,三協Ｆ柏,鳥栖,,,柏
88,2022-04-29,10,8,16:00,ヨドコウ,鹿島,,,Ｃ大阪
89,2022-04-29,10,9,19:00,国立,Ｇ大阪,,,FC東京
90,2022-05-03,11,1,14:00,豊田ス,京都,,,名古屋
91,2022-05-03,11,2,14:00,Ｅスタ,柏,,,広島
92,2022-05-03,11,3,15:00,カシマ,磐田,,,鹿島
93,2022-05-03,11,4,15:00,レモンＳ,清水,,,湘南
94,2022-05-03,11,5,15:00,駅スタ,Ｃ大阪,,,鳥栖
95,2022-05-03,11,6,17:00,ベススタ,FC東京,,,福岡
96,2022-05-04,11,7,14:00,パナスタ,札幌,,,Ｇ大阪
97,2022-05-18,11,8,19:00,ノエスタ,川崎Ｆ,,,神戸
98,2022-05-18,11,9,19:30,埼玉,横浜FM,,,浦和
99,2022-05-06,12,1,19:00,ヨドコウ,磐田,,,Ｃ大阪
100,2022-05-07,12,2,14:00,アイスタ,川崎Ｆ,,,清水
101,2022-05-07,12,3,14:00,Ｅスタ,鹿島,,,広島
102,2022-05-07,12,4,15:00,日産ス,名古屋,,,横浜FM
103,2022-05-07,12,5,16:00,札幌ド,京都,,,札幌
104,2022-05-07,12,6,17:00,ベススタ,湘南,,,福岡
105,2022-05-08,12,7,14:00,パナスタ,神戸,,,Ｇ大阪
106,2022-05-08,12,8,15:00,味スタ,鳥栖,,,FC東京
107,2022-05-08,12,9,16:00,三協Ｆ柏,浦和,,,柏
