,match_date,section_no,start_time,stadium,home_team,away_team,status,match_number,home_goal,away_goal,match_index_in_section,group
0,2024/07/24,1,21:00,マルセイユ(フランス)／スタッド・ドゥ・マルセイユ,フランス,アメリカ,試合終了,1,3,0,1,A
1,2024/07/24,1,17:00,ニース(フランス)／スタッド・ドゥ・ニース,ギニア,ニュージーランド,試合終了,2,1,2,2,A
2,2024/07/27,2,21:00,ニース(フランス)／スタッド・ドゥ・ニース,フランス,ギニア,試合終了,9,1,0,1,A
3,2024/07/27,2,19:00,マルセイユ(フランス)／スタッド・ドゥ・マルセイユ,ニュージーランド,アメリカ,試合終了,10,1,4,2,A
4,2024/07/30,3,19:00,マルセイユ(フランス)／スタッド・ドゥ・マルセイユ,ニュージーランド,フランス,試合終了,17,0,3,1,A
5,2024/07/30,3,19:00,サンテティエンヌ(フランス)／スタッド・ジョフロワ＝ギシャール,アメリカ,ギニア,試合終了,18,3,0,2,A
6,2024/07/24,1,15:00,サンテティエンヌ(フランス)／スタッド・ジョフロワ＝ギシャール,アルゼンチン,モロッコ,試合終了,3,1,2,1,B
7,2024/07/24,1,19:00,リヨン(フランス)／スタッド・ドゥ・リヨン,イラク,ウクライナ,試合終了,4,2,1,2,B
8,2024/07/27,2,15:00,リヨン(フランス)／スタッド・ドゥ・リヨン,アルゼンチン,イラク,試合終了,11,3,1,1,B
9,2024/07/27,2,17:00,サンテティエンヌ(フランス)／スタッド・ジョフロワ＝ギシャール,ウクライナ,モロッコ,試合終了,12,2,1,2,B
10,2024/07/30,3,17:00,リヨン(フランス)／スタッド・ドゥ・リヨン,ウクライナ,アルゼンチン,試合終了,19,0,2,1,B
11,2024/07/30,3,17:00,ニース(フランス)／スタッド・ドゥ・ニース,モロッコ,イラク,試合終了,20,3,0,2,B
12,2024/07/24,1,15:00,パリ(フランス)／パルク・デ・プランス,ウズベキスタン,スペイン,試合終了,5,1,2,1,C
13,2024/07/24,1,17:00,ナント(フランス)／スタッド・ドゥ・ラ・ボージョワール,エジプト,ドミニカ共和国,試合終了,6,0,0,2,C
14,2024/07/27,2,17:00,ナント(フランス)／スタッド・ドゥ・ラ・ボージョワール,ウズベキスタン,エジプト,試合終了,13,0,1,1,C
15,2024/07/27,2,15:00,ボルドー(フランス)／スタッド・ドゥ・ボルドー,ドミニカ共和国,スペイン,試合終了,14,1,3,2,C
16,2024/07/30,3,15:00,パリ(フランス)／パルク・デ・プランス,ドミニカ共和国,ウズベキスタン,試合終了,21,1,1,1,C
17,2024/07/30,3,15:00,ボルドー(フランス)／スタッド・ドゥ・ボルドー,スペイン,エジプト,試合終了,22,1,2,2,C
18,2024/07/24,1,21:00,パリ(フランス)／パルク・デ・プランス,マリ,イスラエル,試合終了,7,1,1,1,D
19,2024/07/24,1,19:00,ボルドー(フランス)／スタッド・ドゥ・ボルドー,日本,パラグアイ,試合終了,8,5,0,2,D
20,2024/07/27,2,19:00,パリ(フランス)／パルク・デ・プランス,イスラエル,パラグアイ,試合終了,15,2,4,1,D
21,2024/07/27,2,21:00,ボルドー(フランス)／スタッド・ドゥ・ボルドー,日本,マリ,試合終了,16,1,0,2,D
22,2024/07/30,3,21:00,ナント(フランス)／スタッド・ドゥ・ラ・ボージョワール,イスラエル,日本,試合終了,23,0,1,1,D
23,2024/07/30,3,21:00,パリ(フランス)／パルク・デ・プランス,パラグアイ,マリ,試合終了,24,1,0,2,D
