,match_date,section_no,start_time,stadium,home_team,away_team,status,matchNumber,home_goal,away_goal,extraTime,match_index_in_section,group
0,2024/04/06,1,13:00,浦和駒場スタジアム,浦和レッズユース,桐蔭学園高校,試合終了,1,1,1,False,1,
1,2024/04/06,1,13:00,日産フィールド小机,横浜F・マリノスユース,栃木SC U-18,試合終了,2,3,0,False,2,
2,2024/04/07,1,11:00,高崎健康福祉大学高崎高校サッカー場,高崎健康福祉大学高崎高校,桐生第一高校,試合終了,3,1,1,False,3,
3,2024/04/07,1,13:00,ヴェルディグラウンド,東京ヴェルディユース,鹿島学園高校,試合終了,4,3,1,False,4,
4,2024/04/07,1,15:00,帝京科学大学千住総合グラウンド,帝京高校,矢板中央高校,試合終了,5,2,4,False,5,
5,2024/04/13,2,11:00,鹿島学園高校グラウンド,鹿島学園高校,横浜F・マリノスユース,試合終了,6,1,7,False,1,
6,2024/04/14,2,13:00,桐蔭学園多目的グラウンド,桐蔭学園高校,高崎健康福祉大学高崎高校,試合終了,7,6,1,False,2,
7,2024/04/14,2,13:00,壬生町総合公園陸上競技場,栃木SC U-18,浦和レッズユース,試合終了,8,1,6,False,3,
8,2024/04/14,2,15:00,矢板中央高校東泉グラウンド,矢板中央高校,東京ヴェルディユース,試合終了,9,2,3,False,4,
9,2024/04/14,2,13:00,太田市運動公園陸上競技場,桐生第一高校,帝京高校,試合終了,10,0,2,False,5,
10,2024/04/20,3,11:00,浦和駒場スタジアム,浦和レッズユース,鹿島学園高校,試合終了,11,2,1,False,1,
11,2024/04/20,3,13:00,SAKURAグリーンフィールド,栃木SC U-18,桐蔭学園高校,試合終了,12,2,1,False,2,
12,2024/04/20,3,15:00,帝京科学大学千住総合グラウンド,帝京高校,高崎健康福祉大学高崎高校,試合終了,13,6,1,False,3,
13,2024/04/20,3,15:00,F・マリノススポーツパーク,横浜F・マリノスユース,矢板中央高校,試合終了,14,4,0,False,4,
14,2024/04/20,3,16:00,ヴェルディグラウンド,東京ヴェルディユース,桐生第一高校,試合終了,15,3,1,False,5,
15,2024/04/27,4,11:00,鹿島学園高校グラウンド,鹿島学園高校,栃木SC U-18,試合終了,16,3,0,False,1,
16,2024/04/27,4,11:00,矢板中央高校東泉グラウンド,矢板中央高校,浦和レッズユース,試合終了,17,4,1,False,2,
17,2024/04/28,4,11:00,桐蔭学園多目的グラウンド,桐蔭学園高校,帝京高校,試合終了,18,2,2,False,3,
18,2024/04/28,4,13:00,太田市運動公園陸上競技場,桐生第一高校,横浜F・マリノスユース,試合終了,19,0,3,False,4,
19,2024/04/28,4,13:00,高崎健康福祉大学高崎高校サッカー場,高崎健康福祉大学高崎高校,東京ヴェルディユース,試合終了,20,0,4,False,5,
20,2024/05/05,5,11:00,鹿島学園高校グラウンド,鹿島学園高校,矢板中央高校,試合終了,21,0,1,False,1,
21,2024/05/05,5,13:00,高崎健康福祉大学高崎高校サッカー場,高崎健康福祉大学高崎高校,浦和レッズユース,試合終了,22,0,1,False,2,
22,2024/05/05,5,13:00,ヴェルディグラウンド,東京ヴェルディユース,桐蔭学園高校,試合終了,23,1,0,False,3,
23,2024/05/05,5,15:00,帝京科学大学千住総合グラウンド,帝京高校,横浜F・マリノスユース,試合終了,24,1,3,False,4,
24,2024/05/05,5,18:00,太田市運動公園サッカー・ラグビー場,桐生第一高校,栃木SC U-18,試合終了,25,1,1,False,5,
25,2024/05/11,6,13:00,日産フィールド小机,横浜F・マリノスユース,高崎健康福祉大学高崎高校,試合終了,26,5,2,False,1,
26,2024/05/11,6,16:00,帝京科学大学千住総合グラウンド,帝京高校,東京ヴェルディユース,試合終了,27,2,2,False,2,
27,2024/05/12,6,11:00,浦和駒場スタジアム,浦和レッズユース,桐生第一高校,試合終了,28,1,0,False,3,
28,2024/05/12,6,13:00,壬生町総合公園陸上競技場,栃木SC U-18,矢板中央高校,試合終了,29,0,1,False,4,
29,2024/05/12,6,13:00,桐蔭学園多目的グラウンド,桐蔭学園高校,鹿島学園高校,試合終了,30,1,1,False,5,
30,2024/06/22,7,11:00,鹿島学園高校グラウンド,鹿島学園高校,桐生第一高校,試合終了,31,4,0,False,1,
