,match_date,section_no,start_time,stadium,home_team,away_team,status,matchNumber,home_goal,away_goal,extraTime,match_index_in_section,group
0,2024/04/06,1,13:00,鹿児島サ,神村学園高等部,サガン鳥栖U-18,試合終了,107,4,3,False,1,
1,2024/04/06,1,15:00,いぶきＣ,ヴィッセル神戸U-18,大津高校,試合終了,108,2,2,False,2,
2,2024/04/07,1,11:00,トヨタＧ,名古屋グランパスU-18,ファジアーノ岡山U-18,試合終了,109,3,1,False,3,
3,2024/04/07,1,11:00,安芸高田,サンフレッチェ広島F.Cユース,帝京長岡高校,試合終了,110,2,0,False,4,
4,2024/04/07,1,11:00,東福岡Ｇ,東福岡高校,静岡学園高校,試合終了,111,1,0,False,5,
5,2024/04/07,1,13:00,どらパー,米子北高校,鹿児島城西高校,試合終了,112,3,0,False,6,
6,2024/04/14,2,11:00,長岡ＮＴ,帝京長岡高校,神村学園高等部,試合終了,207,4,0,False,1,
7,2024/04/14,2,11:00,時之栖Ａ,静岡学園高校,ヴィッセル神戸U-18,試合終了,208,0,3,False,2,
8,2024/04/14,2,11:00,岡山政田,ファジアーノ岡山U-18,サンフレッチェ広島F.Cユース,試合終了,209,0,3,False,3,
9,2024/04/14,2,11:00,佐賀市天,サガン鳥栖U-18,米子北高校,試合終了,210,5,0,False,4,
10,2024/04/14,2,11:00,熊本宇城,大津高校,名古屋グランパスU-18,試合終了,211,2,1,False,5,
11,2024/04/14,2,13:00,鹿児島城西,鹿児島城西高校,東福岡高校,試合終了,212,0,0,False,6,
12,2024/04/20,3,13:00,鹿児島サ,神村学園高等部,ファジアーノ岡山U-18,試合終了,307,1,3,False,1,
13,2024/04/20,3,15:00,いぶきＣ,ヴィッセル神戸U-18,東福岡高校,試合終了,308,0,1,False,2,
14,2024/04/21,3,13:00,トヨタＧ,名古屋グランパスU-18,静岡学園高校,試合終了,309,2,1,False,3,
15,2024/04/21,3,11:00,どらパー,米子北高校,帝京長岡高校,試合終了,310,2,1,False,4,
16,2024/04/21,3,11:00,安芸高田,サンフレッチェ広島F.Cユース,大津高校,試合終了,311,2,0,False,5,
17,2024/04/21,3,11:00,佐賀市天,サガン鳥栖U-18,鹿児島城西高校,試合終了,312,3,2,False,6,
18,2024/04/27,4,11:00,大津球,大津高校,神村学園高等部,試合終了,407,3,1,False,1,
19,2024/04/28,4,11:00,時之栖Ａ,静岡学園高校,サンフレッチェ広島F.Cユース,試合終了,408,1,2,False,2,
20,2024/04/28,4,11:00,岡山政田,ファジアーノ岡山U-18,米子北高校,試合終了,409,1,0,False,3,
21,2024/04/28,4,11:00,東福岡Ｇ,東福岡高校,名古屋グランパスU-18,試合終了,410,2,2,False,4,
22,2024/04/28,4,13:00,鹿児島城西,鹿児島城西高校,ヴィッセル神戸U-18,試合終了,411,0,1,False,5,
23,2024/04/29,4,11:00,長岡ＮＴ,帝京長岡高校,サガン鳥栖U-18,試合終了,412,3,0,False,6,
24,2024/05/05,5,11:00,豊田陸,名古屋グランパスU-18,ヴィッセル神戸U-18,試合終了,507,4,1,False,1,
25,2024/05/05,5,11:00,安芸高田,サンフレッチェ広島F.Cユース,東福岡高校,試合終了,508,2,2,False,2,
26,2024/05/05,5,11:00,駅スタ,サガン鳥栖U-18,ファジアーノ岡山U-18,試合終了,509,2,1,False,3,
27,2024/05/06,5,11:00,長岡ＮＴ,帝京長岡高校,鹿児島城西高校,試合終了,510,3,0,False,4,
28,2024/05/06,5,13:00,Ａｘｉｓ,米子北高校,大津高校,試合終了,511,0,3,False,5,
29,2024/05/06,5,13:00,指宿ＦＰ,神村学園高等部,静岡学園高校,試合終了,512,4,3,False,6,
30,2024/05/11,6,15:00,いぶきＣ,ヴィッセル神戸U-18,サンフレッチェ広島F.Cユース,試合終了,607,2,0,False,1,
31,2024/05/12,6,11:00,時之栖Ａ,静岡学園高校,米子北高校,試合終了,608,2,1,False,2,
32,2024/05/12,6,11:00,岡山政田,ファジアーノ岡山U-18,帝京長岡高校,試合終了,609,0,4,False,3,
33,2024/05/12,6,11:00,東福岡Ｇ,東福岡高校,神村学園高等部,試合終了,610,1,0,False,4,
34,2024/05/12,6,13:00,大津球,大津高校,サガン鳥栖U-18,試合終了,611,5,1,False,5,
35,2024/05/12,6,13:00,鹿児島城西,鹿児島城西高校,名古屋グランパスU-18,試合終了,612,0,1,False,6,
36,2024/05/18,7,14:00,OSAKO,神村学園高等部,ヴィッセル神戸U-18,試合終了,707,2,2,False,1,
37,2024/05/18,7,15:00,岡山補助,ファジアーノ岡山U-18,鹿児島城西高校,試合終了,708,1,1,False,2,
38,2024/05/19,7,11:00,長岡ＮＴ,帝京長岡高校,大津高校,試合終了,709,1,6,False,3,
39,2024/05/19,7,11:00,安芸高田,サンフレッチェ広島F.Cユース,名古屋グランパスU-18,試合終了,710,3,2,False,4,
40,2024/05/19,7,11:00,鳥栖北部,サガン鳥栖U-18,静岡学園高校,試合終了,711,1,1,False,5,
41,2024/05/19,7,13:00,どらパー,米子北高校,東福岡高校,試合終了,712,3,2,False,6,
42,2024/05/25,8,11:00,熊本宇城,大津高校,ファジアーノ岡山U-18,試合終了,807,4,1,False,1,
43,2024/05/26,8,11:00,鹿児島城西,鹿児島城西高校,サンフレッチェ広島F.Cユース,試合終了,808,0,5,False,2,
44,2024/06/16,8,11:00,時之栖Ａ,静岡学園高校,帝京長岡高校,試合終了,809,2,3,False,3,
45,2024/07/13,8,18:00,トヨタＧ,名古屋グランパスU-18,神村学園高等部,試合終了,810,4,2,False,4,
46,2024/07/14,8,16:00,東福岡Ｇ,東福岡高校,サガン鳥栖U-18,試合終了,811,3,0,False,5,
47,2024/07/13,8,17:00,いぶきＣ,ヴィッセル神戸U-18,米子北高校,試合終了,812,4,1,False,6,
48,2024/06/22,9,11:00,どらパ球,米子北高校,名古屋グランパスU-18,試合終了,907,1,4,False,1,
49,2024/06/23,9,11:00,長岡ＮＴ,帝京長岡高校,東福岡高校,試合終了,908,2,2,False,2,
50,2024/06/23,9,11:00,岡山政田,ファジアーノ岡山U-18,静岡学園高校,試合終了,909,2,3,False,3,
51,2024/11/17,9,11:00,佐賀市天,サガン鳥栖U-18,ヴィッセル神戸U-18,,910,,,False,4,
52,2024/06/23,9,11:00,大津球,大津高校,鹿児島城西高校,試合終了,911,4,0,False,5,
53,2024/06/23,9,13:00,指宿ＦＰ,神村学園高等部,サンフレッチェ広島F.Cユース,試合終了,912,3,1,False,6,
54,2024/06/29,10,11:00,OSAKO,神村学園高等部,鹿児島城西高校,試合終了,1007,5,1,False,1,
55,2024/06/29,10,17:00,いぶきＣ,ヴィッセル神戸U-18,帝京長岡高校,試合終了,1008,1,1,False,2,
56,2024/06/30,10,10:00,トヨタＧ,名古屋グランパスU-18,サガン鳥栖U-18,試合終了,1009,1,3,False,3,
57,2024/06/30,10,11:00,時之栖Ａ,静岡学園高校,大津高校,試合終了,1010,1,8,False,4,
58,2024/06/30,10,16:00,安芸高田,サンフレッチェ広島F.Cユース,米子北高校,試合終了,1011,2,0,False,5,
59,2024/06/30,10,16:00,東福岡Ｇ,東福岡高校,ファジアーノ岡山U-18,試合終了,1012,0,1,False,6,
60,2024/07/06,11,10:00,長岡ＮＴ,帝京長岡高校,名古屋グランパスU-18,試合終了,1107,1,1,False,1,
61,2024/07/07,11,10:00,岡山神崎,ファジアーノ岡山U-18,ヴィッセル神戸U-18,試合終了,1108,2,5,False,2,
62,2024/07/07,11,10:00,駅スタ,サガン鳥栖U-18,サンフレッチェ広島F.Cユース,試合終了,1109,1,0,False,3,
63,2024/07/07,11,10:00,大津球,大津高校,東福岡高校,試合終了,1110,3,1,False,4,
64,2024/07/07,11,11:00,鹿児島城西,鹿児島城西高校,静岡学園高校,試合終了,1111,1,2,False,5,
65,2024/07/07,11,15:00,YAJIN,米子北高校,神村学園高等部,試合終了,1112,2,4,False,6,
66,2024/11/09,12,11:00,OSAKO,鹿児島城西高校,米子北高校,,1207,,,False,1,
67,2024/11/16,12,10:30,長岡ＮＴ,帝京長岡高校,サンフレッチェ広島F.Cユース,,1208,,,False,2,
68,2024/11/17,12,11:00,岡山政田,ファジアーノ岡山U-18,名古屋グランパスU-18,,1209,,,False,3,
