,match_date,section_no,start_time,stadium,home_team,away_team,status,match_number,round,home_goal,away_goal,extraTime,home_pk_score,away_pk_score,match_index_in_section,group
0,2025/04/05,1,11:00,矢板中央高校東泉グランド,矢板中央高校,栃木SC U-18,試合終了,1,第1節,1,0,False,,,1,
1,2025/04/05,1,16:30,帝京科学大学千住総合グラウンド,帝京高校,鹿島学園高校,試合終了,2,第1節,1,1,False,,,2,
2,2025/04/06,1,11:00,埼玉スタジアム2002第2G,RB大宮アルディージャU18,ジェフユナイテッド市原・千葉U-18,試合終了,3,第1節,0,0,False,,,3,
3,2025/04/06,1,13:00,日産フィールド小机,横浜F・マリノスユース,山梨学院高校,試合終了,4,第1節,1,4,False,,,4,
4,2025/04/06,1,13:00,桐蔭学園多目的グラウンド,桐蔭学園高校,桐生第一高校,試合終了,5,第1節,0,0,False,,,5,
5,2025/04/12,2,11:00,鹿島学園高校グラウンド,鹿島学園高校,桐蔭学園高校,試合終了,6,第2節,3,1,False,,,1,
6,2025/04/13,2,11:00,太田市運動公園サッカー・ラグビー場,桐生第一高校,矢板中央高校,試合終了,7,第2節,6,2,False,,,2,
7,2025/04/13,2,11:00,山梨学院和戸サッカー場,山梨学院高校,帝京高校,試合終了,8,第2節,2,0,False,,,3,
8,2025/04/13,2,12:00,壬生町総合公園陸上競技場,栃木SC U-18,RB大宮アルディージャU18,試合終了,9,第2節,1,3,False,,,4,
9,2025/04/13,2,14:15,ユナイテッドパーク,ジェフユナイテッド市原・千葉U-18,横浜F・マリノスユース,試合終了,10,第2節,1,0,False,,,5,
10,2025/04/19,3,11:00,矢板中央高校東泉グランド,矢板中央高校,鹿島学園高校,試合終了,11,第3節,0,1,False,,,1,
11,2025/04/19,3,16:30,横浜国立大学フットボール場,横浜F・マリノスユース,栃木SC U-18,試合終了,12,第3節,1,0,False,,,2,
12,2025/04/20,3,11:00,NACK5スタジアム大宮,RB大宮アルディージャU18,桐生第一高校,試合終了,13,第3節,1,0,False,,,3,
13,2025/04/20,3,11:00,桐蔭学園多目的グラウンド,桐蔭学園高校,帝京高校,試合終了,14,第3節,1,2,False,,,4,
14,2025/04/20,3,14:00,稲毛海浜公園球技場,ジェフユナイテッド市原・千葉U-18,山梨学院高校,試合終了,15,第3節,2,1,False,,,5,
15,2025/04/26,4,11:00,山梨学院和戸サッカー場,山梨学院高校,桐蔭学園高校,試合終了,16,第4節,3,1,False,,,1,
16,2025/04/26,4,11:00,太田市運動公園サッカー・ラグビー場,桐生第一高校,横浜F・マリノスユース,試合終了,17,第4節,2,1,False,,,2,
17,2025/04/26,4,11:00,鹿島学園高校グラウンド,鹿島学園高校,RB大宮アルディージャU18,試合終了,18,第4節,0,1,False,,,3,
18,2025/04/26,4,13:00,壬生町総合公園陸上競技場,栃木SC U-18,ジェフユナイテッド市原・千葉U-18,試合終了,19,第4節,1,3,False,,,4,
19,2025/04/26,4,17:30,駒沢オリンピック公園総合運動場第二球技場,帝京高校,矢板中央高校,試合終了,20,第4節,0,1,False,,,5,
20,2025/05/03,5,11:00,矢板中央高校東泉グランド,矢板中央高校,山梨学院高校,試合終了,21,第5節,1,4,False,,,1,
21,2025/05/03,5,11:00,鹿島学園高校グラウンド,鹿島学園高校,ジェフユナイテッド市原・千葉U-18,試合終了,22,第5節,1,0,False,,,2,
22,2025/05/03,5,18:30,清瀬内山運動公園サッカー場 C面,帝京高校,横浜F・マリノスユース,試合終了,23,第5節,2,2,False,,,3,
23,2025/05/04,5,11:00,壬生町総合公園陸上競技場,栃木SC U-18,桐生第一高校,試合終了,24,第5節,1,2,False,,,4,
24,2025/05/04,5,13:00,桐蔭学園多目的グラウンド,桐蔭学園高校,RB大宮アルディージャU18,試合終了,25,第5節,1,0,False,,,5,
