,match_date,section_no,start_time,stadium,home_team,away_team,status,match_number,round,home_goal,away_goal,extraTime,home_pk_score,away_pk_score,match_index_in_section,group
0,2025/04/05,1,13:00,鹿児島サ,神村学園高等部,東福岡高校,試合終了,107,第1節,0,0,False,,,1,
1,2025/04/05,1,15:00,いぶきＣ,ヴィッセル神戸U-18,アビスパ福岡U-18,試合終了,108,第1節,4,1,False,,,2,
2,2025/04/06,1,11:00,トヨタＧ,名古屋グランパスU-18,ガンバ大阪ユース,試合終了,109,第1節,1,0,False,,,3,
3,2025/04/06,1,11:00,岡山政田,ファジアーノ岡山U-18,帝京長岡高校,試合終了,110,第1節,4,1,False,,,4,
4,2025/04/06,1,11:00,安芸高田,サンフレッチェ広島F.Cユース,サガン鳥栖U-18,試合終了,111,第1節,2,1,False,,,5,
5,2025/04/06,1,13:00,時之栖Ａ,静岡学園高校,大津高校,試合終了,112,第1節,1,1,False,,,6,
6,2025/04/12,2,11:00,佐賀市天,サガン鳥栖U-18,静岡学園高校,試合終了,207,第2節,3,0,False,,,1,
7,2025/04/13,2,11:00,長岡NT B,帝京長岡高校,ヴィッセル神戸U-18,試合終了,208,第2節,4,1,False,,,2,
8,2025/04/13,2,11:00,OFA万博B,ガンバ大阪ユース,神村学園高等部,試合終了,209,第2節,4,0,False,,,3,
9,2025/04/13,2,11:00,東福岡Ｇ,東福岡高校,サンフレッチェ広島F.Cユース,試合終了,210,第2節,1,1,False,,,4,
10,2025/04/13,2,11:00,福岡FC-A,アビスパ福岡U-18,名古屋グランパスU-18,試合終了,211,第2節,1,2,False,,,5,
11,2025/04/13,2,11:00,えがおＳ,大津高校,ファジアーノ岡山U-18,試合終了,212,第2節,3,1,False,,,6,
12,2025/07/16,3,18:30,福岡FC-A,アビスパ福岡U-18,ガンバ大阪ユース,試合終了,307,第3節,0,1,False,,,1,
13,2025/04/19,3,15:00,いぶきＣ,ヴィッセル神戸U-18,大津高校,試合終了,308,第3節,1,0,False,,,2,
14,2025/04/20,3,11:00,トヨタＧ,名古屋グランパスU-18,帝京長岡高校,試合終了,309,第3節,3,1,False,,,3,
15,2025/04/20,3,11:00,岡山政田,ファジアーノ岡山U-18,サガン鳥栖U-18,試合終了,310,第3節,0,1,False,,,4,
16,2025/04/20,3,11:00,安芸高田,サンフレッチェ広島F.Cユース,神村学園高等部,試合終了,311,第3節,3,1,False,,,5,
17,2025/04/20,3,13:00,時之栖Ａ,静岡学園高校,東福岡高校,試合終了,312,第3節,1,1,False,,,6,
18,2025/04/26,4,16:00,長岡NT B,帝京長岡高校,アビスパ福岡U-18,試合終了,407,第4節,1,2,False,,,1,
19,2025/04/26,4,11:00,OFA万博B,ガンバ大阪ユース,サンフレッチェ広島F.Cユース,試合終了,408,第4節,3,0,False,,,2,
20,2025/04/26,4,11:00,東福岡Ｇ,東福岡高校,ファジアーノ岡山U-18,試合終了,409,第4節,1,2,False,,,3,
