,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,home_pk_score,away_pk_score
0,2026/02/07,1,1,14:00,ＣＦＳ,栃木Ｃ,1,4,仙台,試合終了,,
1,2026/02/07,1,2,14:00,ニッパツ,横浜FC,1,2,山形,試合終了,,
2,2026/02/07,1,3,14:00,レモンＳ,湘南,1,2,秋田,試合終了,,
3,2026/03/04,1,4,18:30,ギオンス,相模原,,,群馬,ＶＳ,,
4,2026/04/08,1,5,18:30,カンセキ,栃木SC,,,八戸,ＶＳ,,
5,2026/02/14,2,1,14:00,ニッパツ,横浜FC,0,1,仙台,試合終了,,
6,2026/02/14,2,2,14:00,レモンＳ,湘南,4,0,相模原,試合終了,,
7,2026/02/14,2,3,14:00,正田スタ,群馬,0,1,八戸,試合終了,,
8,2026/02/15,2,4,14:00,カンセキ,栃木SC,1,2,山形,試合終了,,
9,2026/02/15,2,5,14:00,ＣＦＳ,栃木Ｃ,0,1,秋田,試合終了,,
10,2026/02/21,3,1,14:00,レモンＳ,湘南,1,0,八戸,試合終了,,
11,2026/02/21,3,2,14:00,ギオンス,相模原,1,2,秋田,試合終了,,
12,2026/02/21,3,3,14:00,正田スタ,群馬,1,1,山形,試合終了(5 PK 6),5,6
13,2026/02/22,3,4,14:00,カンセキ,栃木SC,1,2,仙台,試合終了,,
14,2026/02/22,3,5,14:00,ニッパツ,横浜FC,5,1,栃木Ｃ,試合終了,,
15,2026/02/28,4,1,13:03,ユアスタ,仙台,0,0,八戸,試合終了(5 PK 4),5,4
16,2026/02/28,4,2,14:03,ＣＦＳ,栃木Ｃ,1,3,湘南,試合終了,,
17,2026/02/28,4,3,14:03,正田スタ,群馬,3,2,秋田,試合終了,,
18,2026/03/01,4,4,14:03,カンセキ,栃木SC,4,0,横浜FC,試合終了,,
19,2026/03/01,4,5,14:03,ギオンス,相模原,2,1,山形,試合終了,,
20,2026/03/07,5,1,14:00,ユアスタ,仙台,,,湘南,ＶＳ,,
21,2026/03/08,5,2,13:00,プラスタ,八戸,,,横浜FC,ＶＳ,,
22,2026/03/08,5,3,14:00,ＮＤスタ,山形,,,秋田,ＶＳ,,
23,2026/03/08,5,4,14:00,ＣＦＳ,栃木Ｃ,,,群馬,ＶＳ,,
24,2026/03/08,5,5,14:00,ギオンス,相模原,,,栃木SC,ＶＳ,,
25,2026/03/14,6,1,14:00,ユアスタ,仙台,,,相模原,ＶＳ,,
26,2026/03/14,6,2,14:00,レモンＳ,湘南,,,山形,ＶＳ,,
27,2026/03/15,6,3,13:00,プラスタ,八戸,,,栃木Ｃ,ＶＳ,,
28,2026/03/15,6,4,14:00,ニッパツ,横浜FC,,,群馬,ＶＳ,,
29,2026/03/15,6,5,13:00,ソユスタ,秋田,,,栃木SC,ＶＳ,,
30,2026/03/20,7,1,14:00,正田スタ,群馬,,,湘南,ＶＳ,,
31,2026/03/21,7,2,14:00,ギオンス,相模原,,,横浜FC,ＶＳ,,
32,2026/03/21,7,3,14:00,ソユスタ,秋田,,,八戸,ＶＳ,,
33,2026/03/22,7,4,14:00,ＮＤスタ,山形,,,仙台,ＶＳ,,
34,2026/03/22,7,5,14:00,カンセキ,栃木SC,,,栃木Ｃ,ＶＳ,,
35,2026/03/28,8,1,14:00,ニッパツ,横浜FC,,,湘南,ＶＳ,,
36,2026/03/28,8,2,14:00,正田スタ,群馬,,,栃木SC,ＶＳ,,
37,2026/03/29,8,3,13:00,プラスタ,八戸,,,相模原,ＶＳ,,
38,2026/03/29,8,4,14:00,ＮＤスタ,山形,,,栃木Ｃ,ＶＳ,,
39,2026/03/29,8,5,14:00,ソユスタ,秋田,,,仙台,ＶＳ,,
40,2026/04/04,9,1,14:00,ユアスタ,仙台,,,群馬,ＶＳ,,
41,2026/04/04,9,2,14:00,ＣＦＳ,栃木Ｃ,,,相模原,ＶＳ,,
42,2026/04/04,9,3,14:00,ニッパツ,横浜FC,,,秋田,ＶＳ,,
43,2026/04/04,9,4,14:00,レモンＳ,湘南,,,栃木SC,ＶＳ,,
44,2026/04/05,9,5,13:00,プラスタ,八戸,,,山形,ＶＳ,,
45,2026/04/12,10,1,14:00,ＮＤスタ,山形,,,横浜FC,ＶＳ,,
46,2026/04/12,10,2,14:00,カンセキ,栃木SC,,,群馬,ＶＳ,,
47,2026/04/12,10,3,14:00,ＣＦＳ,栃木Ｃ,,,八戸,ＶＳ,,
48,2026/04/12,10,4,14:00,ギオンス,相模原,,,仙台,ＶＳ,,
49,2026/04/12,10,5,14:00,ソユスタ,秋田,,,湘南,ＶＳ,,
50,2026/04/18,11,1,14:00,ユアスタ,仙台,,,栃木Ｃ,ＶＳ,,
51,2026/04/18,11,2,14:00,レモンＳ,湘南,,,群馬,ＶＳ,,
52,2026/04/19,11,3,14:00,ＮＤスタ,山形,,,八戸,ＶＳ,,
53,2026/04/19,11,4,14:00,カンセキ,栃木SC,,,相模原,ＶＳ,,
54,2026/04/19,11,5,14:00,ソユスタ,秋田,,,横浜FC,ＶＳ,,
55,2026/04/25,12,1,14:00,ユアスタ,仙台,,,山形,ＶＳ,,
56,2026/04/25,12,2,14:00,ＣＦＳ,栃木Ｃ,,,栃木SC,ＶＳ,,
57,2026/04/25,12,3,17:00,ギオンス,相模原,,,湘南,ＶＳ,,
58,2026/04/25,12,4,14:00,正田スタ,群馬,,,横浜FC,ＶＳ,,
59,2026/04/26,12,5,13:00,プラスタ,八戸,,,秋田,ＶＳ,,
60,2026/04/29,13,1,14:00,カンセキ,栃木SC,,,湘南,ＶＳ,,
61,2026/04/29,13,2,14:00,ニッパツ,横浜FC,,,八戸,ＶＳ,,
62,2026/04/29,13,3,14:00,ギオンス,相模原,,,栃木Ｃ,ＶＳ,,
63,2026/04/29,13,4,14:00,ソユスタ,秋田,,,山形,ＶＳ,,
64,2026/04/29,13,5,14:00,正田スタ,群馬,,,仙台,ＶＳ,,
65,2026/05/02,14,1,14:00,ユアスタ,仙台,,,秋田,ＶＳ,,
66,2026/05/02,14,2,14:00,ニッパツ,横浜FC,,,相模原,ＶＳ,,
67,2026/05/02,14,3,14:00,レモンＳ,湘南,,,栃木Ｃ,ＶＳ,,
