,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,home_pk_score,away_pk_score
0,2026/02/07,1,1,14:00,ＮＡＣＫ,大宮,2,1,松本,試合終了,,
1,2026/02/07,1,2,14:00,ＪＩＴス,甲府,4,1,福島,試合終了,,
2,2026/02/07,1,3,14:00,ヤマハ,磐田,0,0,長野,試合終了(4 PK 2),4,2
3,2026/02/08,1,4,14:00,ハワスタ,いわき,1,0,札幌,試合終了,,
4,2026/02/08,1,5,13:30,藤枝サ,藤枝,0,2,岐阜,試合終了,,
5,2026/02/14,2,1,14:00,ＮＡＣＫ,大宮,3,2,札幌,試合終了,,
6,2026/02/14,2,2,14:00,ＪＩＴス,甲府,2,0,長野,試合終了,,
7,2026/02/14,2,3,14:00,藤枝サ,藤枝,2,0,松本,試合終了,,
8,2026/02/15,2,4,13:00,ハワスタ,いわき,3,1,福島,試合終了,,
9,2026/02/15,2,5,14:00,長良川,岐阜,2,1,磐田,試合終了,,
10,2026/02/21,3,1,14:03,ＮＡＣＫ,大宮,6,0,福島,試合終了,,
11,2026/02/21,3,2,14:03,ヤマハ,磐田,1,2,松本,試合終了,,
12,2026/02/21,3,3,14:03,藤枝サ,藤枝,1,1,甲府,試合終了(3 PK 4),3,4
13,2026/02/21,3,4,14:03,長野Ｕ,長野,1,1,札幌,試合終了(4 PK 5),4,5
14,2026/02/22,3,5,14:03,長良川,岐阜,0,0,いわき,試合終了(5 PK 4),5,4
15,2026/02/28,4,1,14:00,プレド,札幌,,,岐阜,ＶＳ,,
16,2026/02/28,4,2,14:00,ＪＩＴス,甲府,,,松本,ＶＳ,,
17,2026/02/28,4,3,14:00,ヤマハ,磐田,,,福島,ＶＳ,,
18,2026/02/28,4,4,14:00,長野Ｕ,長野,,,大宮,ＶＳ,,
19,2026/03/01,4,5,14:00,ハワスタ,いわき,,,藤枝,ＶＳ,,
20,2026/03/07,5,1,14:00,ハワスタ,いわき,,,大宮,ＶＳ,,
21,2026/03/07,5,2,14:00,サンアル,松本,,,札幌,ＶＳ,,
