,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,home_pk_score,away_pk_score
0,2026/02/07,1,1,14:00,ロートＦ,奈良,0,6,徳島,試合終了,,
1,2026/02/08,1,2,14:00,花園,FC大阪,0,1,讃岐,試合終了,,
2,2026/02/08,1,3,14:00,アシさと,今治,0,0,金沢,試合終了(5 PK 3),5,3
3,2026/02/08,1,4,13:05,ニンスタ,愛媛,0,1,新潟,試合終了,,
4,2026/02/08,1,5,14:00,ギケンス,高知,3,1,富山,試合終了,,
5,2026/02/14,2,1,14:00,ロートＦ,奈良,1,0,今治,試合終了,,
6,2026/02/15,2,2,14:00,花園,FC大阪,2,2,高知,試合終了(5 PK 3),5,3
7,2026/02/15,2,3,14:00,鳴門大塚,徳島,4,0,新潟,試合終了,,
8,2026/02/15,2,4,14:00,ニンスタ,愛媛,2,2,金沢,試合終了(3 PK 4),3,4
9,2026/02/15,2,5,14:00,メグスタ,讃岐,1,5,富山,試合終了,,
10,2026/02/21,3,1,14:00,ロートＦ,奈良,2,2,愛媛,試合終了(4 PK 5),4,5
11,2026/02/22,3,2,14:00,アシさと,今治,2,0,FC大阪,試合終了,,
12,2026/02/22,3,3,14:00,鳴門大塚,徳島,1,3,富山,試合終了,,
13,2026/02/22,3,4,14:00,メグスタ,讃岐,0,3,新潟,試合終了,,
14,2026/02/22,3,5,14:00,ギケンス,高知,3,2,金沢,試合終了,,
15,2026/02/28,4,1,14:00,富山,富山,,,FC大阪,ＶＳ,,
16,2026/02/28,4,2,16:00,ニンスタ,愛媛,,,徳島,ＶＳ,,
17,2026/03/01,4,3,14:00,アシさと,今治,,,新潟,ＶＳ,,
18,2026/03/01,4,4,14:00,ゴースタ,金沢,,,讃岐,ＶＳ,,
19,2026/03/01,4,5,14:00,ギケンス,高知,,,奈良,ＶＳ,,
20,2026/03/06,5,1,19:00,花園,FC大阪,,,奈良,ＶＳ,,
21,2026/03/07,5,2,14:00,デンカＳ,新潟,,,高知,ＶＳ,,
22,2026/03/08,5,3,14:00,富山,富山,,,愛媛,ＶＳ,,
23,2026/03/08,5,4,14:00,メグスタ,讃岐,,,今治,ＶＳ,,
24,2026/03/08,5,5,14:00,ゴースタ,金沢,,,徳島,ＶＳ,,
25,2026/03/14,6,1,14:00,ロートＦ,奈良,,,新潟,ＶＳ,,
26,2026/03/14,6,2,13:00,ギケンス,高知,,,今治,ＶＳ,,
27,2026/03/15,6,3,13:05,富山,富山,,,金沢,ＶＳ,,
28,2026/03/15,6,4,14:00,鳴門大塚,徳島,,,讃岐,ＶＳ,,
29,2026/03/15,6,5,14:00,ニンスタ,愛媛,,,FC大阪,ＶＳ,,
30,2026/03/20,7,1,14:00,デンカＳ,新潟,,,富山,ＶＳ,,
31,2026/03/22,7,2,14:00,アシさと,今治,,,徳島,ＶＳ,,
32,2026/03/22,7,3,14:00,ニンスタ,愛媛,,,高知,ＶＳ,,
33,2026/03/22,7,4,14:00,メグスタ,讃岐,,,奈良,ＶＳ,,
34,2026/03/22,7,5,14:00,ゴースタ,金沢,,,FC大阪,ＶＳ,,
