,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,home_pk_score,away_pk_score
0,2026/02/07,1,1,14:00,ミクスタ,北九州,1,3,鳥取,試合終了,,
1,2026/02/08,1,2,13:00,えがおＳ,熊本,2,1,山口,試合終了,,
2,2026/02/08,1,3,14:00,沖縄県陸,琉球,2,2,鳥栖,試合終了(4 PK 3),4,3
3,2026/02/08,1,4,14:00,白波スタ,鹿児島,2,3,宮崎,試合終了,,
4,2026/02/25,1,5,18:30,クラド,大分,2,0,滋賀,試合終了,,
5,2026/02/15,2,1,14:00,クラド,大分,2,0,北九州,試合終了,,
6,2026/02/15,2,2,14:00,いちご,宮崎,3,1,鳥取,試合終了,,
7,2026/02/15,2,3,14:00,みらスタ,山口,2,1,滋賀,試合終了,,
8,2026/02/15,2,4,14:00,駅スタ,鳥栖,1,1,熊本,試合終了(4 PK 3),4,3
9,2026/02/15,2,5,14:00,白波スタ,鹿児島,3,1,琉球,試合終了,,
10,2026/02/21,3,1,14:00,いちご,宮崎,2,1,鳥栖,試合終了,,
11,2026/02/21,3,2,14:00,沖縄県陸,琉球,0,0,滋賀,試合終了(14 PK 13),14,13
12,2026/02/22,3,3,14:00,クラド,大分,2,0,鳥取,試合終了,,
13,2026/02/22,3,4,13:00,えがおＳ,熊本,4,1,北九州,試合終了,,
14,2026/02/22,3,5,15:00,白波スタ,鹿児島,1,0,山口,試合終了,,
15,2026/02/28,4,1,14:03,ミクスタ,北九州,1,2,滋賀,試合終了,,
16,2026/02/28,4,2,14:03,沖縄県陸,琉球,0,2,宮崎,試合終了,,
17,2026/02/28,4,3,14:03,駅スタ,鳥栖,0,1,鹿児島,試合終了,,
18,2026/03/01,4,4,13:04,みらスタ,山口,0,0,鳥取,試合終了(3 PK 5),3,5
19,2026/03/01,4,5,13:05,えがおＳ,熊本,3,1,大分,試合終了,,
20,2026/03/07,5,1,14:00,ミクスタ,北九州,,,宮崎,ＶＳ,,
21,2026/03/07,5,2,14:00,みらスタ,山口,,,鳥栖,ＶＳ,,
22,2026/03/08,5,3,14:00,クラド,大分,,,鹿児島,ＶＳ,,
23,2026/03/08,5,4,14:00,ハトスタ,滋賀,,,熊本,ＶＳ,,
24,2026/03/08,5,5,14:00,Ａｘｉｓ,鳥取,,,琉球,ＶＳ,,
25,2026/03/14,6,1,14:00,いちご,宮崎,,,大分,ＶＳ,,
26,2026/03/14,6,2,14:00,沖縄県陸,琉球,,,山口,ＶＳ,,
27,2026/03/14,6,3,14:00,駅スタ,鳥栖,,,北九州,ＶＳ,,
28,2026/03/15,6,4,13:00,えがおＳ,熊本,,,鳥取,ＶＳ,,
29,2026/03/15,6,5,14:00,白波スタ,鹿児島,,,滋賀,ＶＳ,,
30,2026/03/21,7,1,14:00,クラド,大分,,,琉球,ＶＳ,,
31,2026/03/21,7,2,14:00,いちご,宮崎,,,熊本,ＶＳ,,
32,2026/03/22,7,3,14:00,みらスタ,山口,,,北九州,ＶＳ,,
