,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,home_pk_score,away_pk_score
0,2026/02/06,1,1,19:00,サンガＳ,京都,1,1,神戸,試合終了(1 PK 4),1,4
1,2026/02/06,1,2,19:00,ピースタ,長崎,1,3,広島,試合終了,,
2,2026/02/07,1,3,16:00,ヤンマー,Ｃ大阪,0,0,Ｇ大阪,試合終了(4 PK 5),4,5
3,2026/02/08,1,4,14:00,豊田ス,名古屋,1,0,清水,試合終了,,
4,2026/02/08,1,5,13:05,ベススタ,福岡,1,1,岡山,試合終了(6 PK 5),6,5
5,2026/02/13,2,1,19:00,ノエスタ,神戸,2,0,長崎,試合終了,,
6,2026/02/14,2,2,14:00,Ｅピース,広島,1,1,岡山,試合終了(5 PK 4),5,4
7,2026/02/14,2,3,14:00,アイスタ,清水,1,1,京都,試合終了(1 PK 3),1,3
8,2026/02/15,2,4,15:00,ベススタ,福岡,0,2,Ｃ大阪,試合終了,,
9,2026/02/15,2,5,16:00,パナスタ,Ｇ大阪,0,0,名古屋,試合終了(2 PK 3),2,3
10,2026/02/21,3,1,15:00,豊田ス,名古屋,1,3,長崎,試合終了,,
11,2026/02/21,3,2,14:30,アイスタ,清水,1,0,神戸,試合終了,,
12,2026/02/22,3,3,14:00,サンガＳ,京都,2,0,福岡,試合終了,,
13,2026/02/22,3,4,14:00,ＪＦＥス,岡山,1,2,Ｇ大阪,試合終了,,
14,2026/02/22,3,5,15:00,ヨドコウ,Ｃ大阪,1,2,広島,試合終了,,
15,2026/02/27,4,1,19:03,Ｅピース,広島,1,2,京都,試合終了,,
16,2026/02/27,4,2,19:03,ノエスタ,神戸,2,1,福岡,試合終了,,
17,2026/02/28,4,3,17:04,ピースタ,長崎,1,0,Ｃ大阪,試合終了,,
18,2026/02/28,4,4,15:03,パナスタ,Ｇ大阪,2,2,清水,試合終了(5 PK 4),5,4
19,2026/03/01,4,5,14:00,ＪＦＥス,岡山,,,名古屋,ＶＳ,,
20,2026/03/07,5,1,16:00,ベススタ,福岡,,,名古屋,ＶＳ,,
21,2026/03/07,5,2,15:00,ヨドコウ,Ｃ大阪,,,清水,ＶＳ,,
22,2026/03/08,5,3,12:55,ＪＦＥス,岡山,,,京都,ＶＳ,,
23,2026/03/08,5,4,15:00,パナスタ,Ｇ大阪,,,長崎,ＶＳ,,
24,2026/03/27,5,5,19:00,ノエスタ,神戸,,,広島,ＶＳ,,
25,2026/03/14,6,1,14:00,サンガＳ,京都,,,Ｃ大阪,ＶＳ,,
26,2026/03/14,6,2,14:00,豊田ス,名古屋,,,神戸,ＶＳ,,
27,2026/03/14,6,3,15:00,Ｅピース,広島,,,Ｇ大阪,ＶＳ,,
28,2026/03/14,6,4,14:00,アイスタ,清水,,,岡山,ＶＳ,,
29,2026/03/15,6,5,14:00,ピースタ,長崎,,,福岡,ＶＳ,,
30,2026/03/18,7,1,19:00,豊田ス,名古屋,,,広島,ＶＳ,,
31,2026/03/18,7,2,19:00,ノエスタ,神戸,,,Ｇ大阪,ＶＳ,,
32,2026/03/18,7,3,19:00,ベススタ,福岡,,,清水,ＶＳ,,
33,2026/03/18,7,4,19:00,ピースタ,長崎,,,京都,ＶＳ,,
34,2026/03/18,7,5,18:30,ヨドコウ,Ｃ大阪,,,岡山,ＶＳ,,
35,2026/03/21,8,1,14:00,ＪＦＥス,岡山,,,長崎,ＶＳ,,
36,2026/03/21,8,2,14:30,ベススタ,福岡,,,Ｇ大阪,ＶＳ,,
37,2026/03/22,8,3,14:00,サンガＳ,京都,,,名古屋,ＶＳ,,
38,2026/03/22,8,4,13:00,アイスタ,清水,,,広島,ＶＳ,,
39,2026/03/22,8,5,15:00,ヨドコウ,Ｃ大阪,,,神戸,ＶＳ,,
40,2026/04/04,9,1,15:00,豊田ス,名古屋,,,Ｃ大阪,ＶＳ,,
41,2026/04/04,9,2,16:00,パナスタ,Ｇ大阪,,,京都,ＶＳ,,
42,2026/04/05,9,3,14:00,ＪＦＥス,岡山,,,神戸,ＶＳ,,
43,2026/04/05,9,4,14:00,Ｅピース,広島,,,福岡,ＶＳ,,
44,2026/04/05,9,5,13:00,ピースタ,長崎,,,清水,ＶＳ,,
45,2026/04/11,10,1,16:00,サンガＳ,京都,,,岡山,ＶＳ,,
46,2026/04/11,10,2,14:00,Ｅピース,広島,,,清水,ＶＳ,,
47,2026/04/11,10,3,15:00,ノエスタ,神戸,,,名古屋,ＶＳ,,
48,2026/04/11,10,4,14:00,ベススタ,福岡,,,長崎,ＶＳ,,
49,2026/04/11,10,5,16:00,パナスタ,Ｇ大阪,,,Ｃ大阪,ＶＳ,,
50,2026/04/18,11,1,14:00,Ｅピース,広島,,,長崎,ＶＳ,,
51,2026/04/18,11,2,16:00,ヨドコウ,Ｃ大阪,,,京都,ＶＳ,,
52,2026/04/19,11,3,16:00,パロ瑞穂,名古屋,,,福岡,ＶＳ,,
53,2026/04/19,11,4,14:00,ノエスタ,神戸,,,清水,ＶＳ,,
54,2026/04/19,11,5,15:00,パナスタ,Ｇ大阪,,,岡山,ＶＳ,,
55,2026/04/25,12,1,14:00,ＪＦＥス,岡山,,,福岡,ＶＳ,,
56,2026/04/25,12,2,16:00,Ｅピース,広島,,,Ｃ大阪,ＶＳ,,
57,2026/04/25,12,3,14:00,アイスタ,清水,,,名古屋,ＶＳ,,
58,2026/04/25,12,4,18:30,ピースタ,長崎,,,Ｇ大阪,ＶＳ,,
59,2026/04/26,12,5,14:00,ノエスタ,神戸,,,京都,ＶＳ,,
60,2026/04/29,13,1,15:00,サンガＳ,京都,,,Ｇ大阪,ＶＳ,,
61,2026/04/29,13,2,15:00,パロ瑞穂,名古屋,,,岡山,ＶＳ,,
62,2026/04/29,13,3,13:00,アイスタ,清水,,,長崎,ＶＳ,,
63,2026/04/29,13,4,14:00,ノエスタ,神戸,,,Ｃ大阪,ＶＳ,,
64,2026/04/29,13,5,14:00,ベススタ,福岡,,,広島,ＶＳ,,
65,2026/05/02,14,1,14:00,サンガＳ,京都,,,清水,ＶＳ,,
66,2026/05/02,14,2,12:55,ＪＦＥス,岡山,,,広島,ＶＳ,,
67,2026/05/02,14,3,15:00,パナスタ,Ｇ大阪,,,神戸,ＶＳ,,
68,2026/05/03,14,4,17:00,ピースタ,長崎,,,名古屋,ＶＳ,,
69,2026/05/03,14,5,15:00,ヨドコウ,Ｃ大阪,,,福岡,ＶＳ,,
70,2026/05/06,15,1,14:00,豊田ス,名古屋,,,Ｇ大阪,ＶＳ,,
71,2026/05/06,15,2,15:00,Ｅピース,広島,,,神戸,ＶＳ,,
72,2026/05/06,15,3,13:00,アイスタ,清水,,,Ｃ大阪,ＶＳ,,
73,2026/05/06,15,4,14:00,ベススタ,福岡,,,京都,ＶＳ,,
74,2026/05/06,15,5,13:00,ピースタ,長崎,,,岡山,ＶＳ,,
75,2026/05/09,16,1,16:00,ヨドコウ,Ｃ大阪,,,長崎,ＶＳ,,
76,2026/05/10,16,2,16:00,豊田ス,名古屋,,,京都,ＶＳ,,
77,2026/05/10,16,3,14:00,アイスタ,清水,,,福岡,ＶＳ,,
78,2026/05/10,16,4,14:00,ノエスタ,神戸,,,岡山,ＶＳ,,
79,2026/05/10,16,5,15:00,パナスタ,Ｇ大阪,,,広島,ＶＳ,,
80,2026/05/17,17,1,15:00,サンガＳ,京都,,,広島,ＶＳ,,
