,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round,home_pk_score,away_pk_score,home_score_ex,away_score_ex,leg,match_number
0,2026/05/30,-1,1,14:03,ノエスタ,神戸,5,0,鹿島,試合終了,順位決定戦,,,,,1,
1,2026/06/06,-1,1,14:03,メルスタ,鹿島,2,0,神戸,試合終了,順位決定戦,,,,,2,
2,2026/05/30,-1,2,15:03,ハナサカ,Ｃ大阪,2,2,FC東京,試合終了,順位決定戦,,,,,1,
3,2026/06/06,-1,2,14:04,MUFG国立,FC東京,1,3,Ｃ大阪,試合終了,順位決定戦,,,,,2,
4,2026/05/30,-1,3,14:03,パロ瑞穂,名古屋,2,2,町田,試合終了,順位決定戦,,,,,1,
5,2026/06/06,-1,3,15:03,Ｇスタ,町田,2,1,名古屋,試合終了,順位決定戦,,,,,2,
6,2026/05/30,-1,4,14:03,Ｅピース,広島,2,1,川崎Ｆ,試合終了,順位決定戦,,,,,1,
7,2026/06/06,-1,4,19:03,Ｕ等々力,川崎Ｆ,0,1,広島,試合終了,順位決定戦,,,,,2,
8,2026/05/30,-1,5,16:03,パナスタ,Ｇ大阪,1,1,東京Ｖ,試合終了,順位決定戦,,,,,1,
9,2026/06/06,-1,5,16:03,味スタ,東京Ｖ,2,4,Ｇ大阪,試合終了,順位決定戦,,,,,2,
10,2026/05/31,-1,6,14:03,ＪＦＥス,岡山,1,1,浦和,試合終了,順位決定戦,,,,,1,
11,2026/06/06,-1,6,16:03,埼玉,浦和,0,2,岡山,試合終了,順位決定戦,,,,,2,
12,2026/05/31,-1,7,14:03,アイスタ,清水,1,1,横浜FM,試合終了,順位決定戦,,,,,1,
13,2026/06/06,-1,7,17:03,日産ス,横浜FM,3,0,清水,試合終了,順位決定戦,,,,,2,
14,2026/05/30,-1,8,19:03,サンガＳ,京都,2,6,柏,試合終了,順位決定戦,,,,,1,
15,2026/06/06,-1,8,18:03,三協Ｆ柏,柏,0,1,京都,試合終了,順位決定戦,,,,,2,
16,2026/05/30,-1,9,17:03,ピースタ,長崎,1,0,水戸,試合終了,順位決定戦,,,,,1,
17,2026/06/06,-1,9,14:03,Ｋｓスタ,水戸,0,1,長崎,試合終了,順位決定戦,,,,,2,
18,2026/05/30,-1,10,16:03,ベススタ,福岡,2,2,千葉,試合終了,順位決定戦,,,,,1,
19,2026/06/06,-1,10,14:03,フクアリ,千葉,1,2,福岡,試合終了,順位決定戦,,,,,2,
