,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round,home_pk_score,away_pk_score,home_score_ex,away_score_ex,leg,match_number
0,2026/05/30,-2,1,14:03,ユアスタ,仙台,1,0,甲府,試合終了,1-4位決定戦,,,,,,
1,2026/05/30,-2,2,18:03,長野Ｕ,富山,1,0,宮崎,試合終了,1-4位決定戦,,,,,,
2,2026/06/06,-1,1,14:03,ユアスタ,仙台,1,1,富山,試合終了,1-2位決定戦,4,2,,,,
3,2026/06/06,-1,2,14:03,いちご,宮崎,2,1,甲府,試合終了,3-4位決定戦,,,,,,
4,2026/05/30,-2,3,14:03,デンカＳ,新潟,0,1,鹿児島,試合終了,5-8位決定戦,,,,,,
5,2026/05/31,-2,4,14:03,ソユスタ,秋田,1,1,札幌,試合終了,5-8位決定戦,5,4,,,,
6,2026/06/07,-1,3,14:03,ソユスタ,秋田,0,2,鹿児島,試合終了,5-6位決定戦,,,,,,
7,2026/06/06,-1,4,14:03,デンカＳ,新潟,0,0,札幌,試合終了,7-8位決定戦,5,4,,,,
8,2026/05/30,-2,5,14:03,レモンＳ,湘南,1,2,いわき,試合終了,9-12位決定戦,,,,,,
9,2026/05/30,-2,6,14:03,鳴門大塚,徳島,3,1,鳥栖,試合終了,9-12位決定戦,,,,,,
10,2026/06/07,-1,5,13:08,鳴門大塚,徳島,2,0,いわき,試合終了,9-10位決定戦,,,,,,
11,2026/06/06,-1,6,19:03,駅スタ,鳥栖,1,0,湘南,試合終了,11-12位決定戦,,,,,,
12,2026/05/30,-2,7,14:03,ニッパツ,横浜FC,2,1,大宮,試合終了,13-16位決定戦,,,,,,
13,2026/05/30,-2,8,14:03,ギケンス,高知,2,3,山口,試合終了,13-16位決定戦,,,,,,
14,2026/06/06,-1,7,14:03,ニッパツ,横浜FC,2,1,山口,試合終了,13-14位決定戦,,,,,,
15,2026/06/06,-1,8,14:03,ＮＡＣＫ,大宮,2,1,高知,試合終了,15-16位決定戦,,,,,,
16,2026/05/30,-2,9,14:03,ギオンス,相模原,4,3,藤枝,試合終了,17-20位決定戦,,,,,,
17,2026/05/30,-2,10,16:03,ニンスタ,愛媛,0,1,熊本,試合終了,17-20位決定戦,,,,,,
18,2026/06/06,-1,9,14:03,ギオンス,相模原,3,0,熊本,試合終了,17-18位決定戦,,,,,,
19,2026/06/06,-1,10,14:03,藤枝サ,藤枝,1,0,愛媛,試合終了,19-20位決定戦,,,,,,
20,2026/05/31,-2,11,14:03,ゴースタ,金沢,1,3,鳥取,試合終了,21-24位決定戦,,,,,,
21,2026/05/31,-2,12,14:03,正田スタ,群馬,0,1,岐阜,試合終了,21-24位決定戦,,,,,,
22,2026/06/06,-1,11,15:03,アイスタ,岐阜,1,1,鳥取,試合終了,21-22位決定戦,2,4,,,,
23,2026/06/07,-1,12,14:03,ゴースタ,金沢,4,1,群馬,試合終了,23-24位決定戦,,,,,,
24,2026/05/30,-2,13,14:03,ロートＦ,奈良,4,3,大分,試合終了,25-28位決定戦,,,,,,
25,2026/05/31,-2,14,14:03,ＮＤスタ,山形,1,2,松本,試合終了,25-28位決定戦,,,,,,
26,2026/06/06,-1,13,14:03,サンアル,松本,0,2,奈良,試合終了,25-26位決定戦,,,,,,
27,2026/06/07,-1,14,16:03,クラド,大分,1,0,山形,試合終了,27-28位決定戦,,,,,,
28,2026/05/30,-2,15,14:03,ＣＦＳ,栃木Ｃ,3,3,磐田,試合終了,29-32位決定戦,3,1,,,,
29,2026/05/30,-2,16,14:03,花園,FC大阪,0,1,滋賀,試合終了,29-32位決定戦,,,,,,
30,2026/06/06,-1,15,14:03,ＣＦＳ,栃木Ｃ,3,1,滋賀,試合終了,29-30位決定戦,,,,,,
31,2026/06/06,-1,16,16:03,ヤマハ,磐田,2,2,FC大阪,試合終了,31-32位決定戦,4,5,,,,
32,2026/05/31,-2,17,14:03,アシさと,今治,1,2,琉球,試合終了,33-36位決定戦,,,,,,
33,2026/06/01,-2,18,19:03,プラスタ,八戸,0,1,福島,試合終了,33-36位決定戦,,,,,,
34,2026/06/07,-1,17,14:03,とうスタ,福島,1,1,琉球,試合終了,33-34位決定戦,5,4,,,,
35,2026/06/07,-1,18,13:03,プラスタ,八戸,1,1,今治,試合終了,35-36位決定戦,3,5,,,,
36,2026/05/31,-2,19,14:03,メグスタ,讃岐,3,1,北九州,試合終了,37-40位決定戦,,,,,,
37,2026/05/31,-2,20,14:03,カンセキ,栃木SC,0,0,長野,試合終了,37-40位決定戦,3,5,,,,
38,2026/06/05,-1,19,19:03,メグスタ,讃岐,0,0,長野,試合終了,37-38位決定戦,3,5,,,,
39,2026/06/07,-1,20,14:03,カンセキ,栃木SC,2,1,北九州,試合終了,39-40位決定戦,,,,,,
