,match_date,section_no,start_time,stadium,home_team,away_team,status,match_number,round,home_goal,away_goal,home_pk_score,away_pk_score,match_index_in_section,group
0,2026/04/04,1,14:00,浦和駒場スタジアム,浦和レッズユース,ヴァンフォーレ甲府U-18,試合終了,1,第1節,0,0,,,1,
1,2026/04/04,1,17:30,帝京科学大学千住総合グラウンド,帝京高校,山梨学院高校,試合終了,2,第1節,4,2,,,2,
2,2026/04/04,1,18:00,ブリオベッカ浦安競技場,市立船橋高校,流通経済大学付属柏Ｂ,試合終了,3,第1節,0,1,,,3,
3,2026/04/05,1,11:00,埼玉スタジアム2002第2グラウンド,ＲＢ大宮アルディージャU18,ジェフユナイテッド市原・千葉U-18,試合終了,4,第1節,2,1,,,4,
4,2026/04/05,1,13:00,太田市運動公園サッカー場,桐生第一高校,桐蔭学園高校,試合終了,5,第1節,2,2,,,5,
5,2026/04/11,2,11:00,明野いこいの杜グラウンド,ヴァンフォーレ甲府U-18,市立船橋高校,試合終了,6,第2節,0,3,,,1,
6,2026/04/11,2,15:00,山梨学院和戸サッカー場,山梨学院高校,浦和レッズユース,試合終了,7,第2節,0,1,,,2,
7,2026/04/11,2,16:00,ユナイテッドパーク,ジェフユナイテッド市原・千葉U-18,桐生第一高校,試合終了,8,第2節,1,3,,,3,
8,2026/04/12,2,11:00,桐蔭学園多目的グラウンド,桐蔭学園高校,帝京高校,試合終了,9,第2節,1,0,,,4,
9,2026/04/12,2,11:00,流通経済大学付属柏高等学校,流通経済大学付属柏Ｂ,ＲＢ大宮アルディージャU18,試合終了,10,第2節,1,0,,,5,
10,2026/04/18,3,11:00,明野いこいの杜グラウンド,ヴァンフォーレ甲府U-18,流通経済大学付属柏Ｂ,試合終了,11,第3節,0,0,,,1,
11,2026/04/18,3,13:00,帝京科学大学千住総合グラウンド,帝京高校,ジェフユナイテッド市原・千葉U-18,試合終了,12,第3節,1,3,,,2,
12,2026/04/18,3,14:00,埼玉スタジアム2002第3グラウンド,浦和レッズユース,桐蔭学園高校,試合終了,13,第3節,3,0,,,3,
13,2026/04/19,3,11:00,稲毛海浜公園球技場（天然芝）,市立船橋高校,山梨学院高校,,14,第3節,,,,,4,
14,2026/04/19,3,11:00,太田市運動公園サッカー場,桐生第一高校,ＲＢ大宮アルディージャU18,,15,第3節,,,,,5,
15,2026/04/25,4,14:00,ユナイテッドパーク,ジェフユナイテッド市原・千葉U-18,浦和レッズユース,,16,第4節,,,,,1,
16,2026/04/25,4,14:00,桐蔭学園多目的グラウンド,桐蔭学園高校,市立船橋高校,,17,第4節,,,,,2,
17,2026/04/25,4,14:30,西大宮アルディージャ練習場,ＲＢ大宮アルディージャU18,帝京高校,,18,第4節,,,,,3,
18,2026/04/25,4,15:00,山梨学院和戸サッカー場,山梨学院高校,ヴァンフォーレ甲府U-18,,19,第4節,,,,,4,
19,2026/04/25,4,15:00,流通経済大学付属柏高等学校,流通経済大学付属柏Ｂ,桐生第一高校,,20,第4節,,,,,5,
20,2026/05/02,5,11:00,太田市運動公園サッカー場,桐生第一高校,浦和レッズユース,,21,第5節,,,,,1,
21,2026/05/02,5,11:00,NACK5スタジアム,ＲＢ大宮アルディージャU18,市立船橋高校,,22,第5節,,,,,2,
22,2026/05/02,5,13:00,帝京科学大学千住総合グラウンド,帝京高校,流通経済大学付属柏Ｂ,,23,第5節,,,,,3,
23,2026/05/02,5,15:00,山梨学院和戸サッカー場,山梨学院高校,桐蔭学園高校,,24,第5節,,,,,4,
24,2026/05/03,5,14:00,ユナイテッドパーク,ジェフユナイテッド市原・千葉U-18,ヴァンフォーレ甲府U-18,,25,第5節,,,,,5,
25,2026/05/09,6,11:00,明野いこいの杜グラウンド,ヴァンフォーレ甲府U-18,桐蔭学園高校,,26,第6節,,,,,1,
26,2026/05/09,6,11:00,太田市運動公園サッカー場,桐生第一高校,帝京高校,,27,第6節,,,,,2,
27,2026/05/09,6,14:00,浦和駒場スタジアム,浦和レッズユース,ＲＢ大宮アルディージャU18,,28,第6節,,,,,3,
28,2026/05/09,6,14:00,流通経済大学付属柏高等学校,流通経済大学付属柏Ｂ,山梨学院高校,,29,第6節,,,,,4,
29,2026/05/10,6,11:00,グラスポ法典公園球技場,市立船橋高校,ジェフユナイテッド市原・千葉U-18,,30,第6節,,,,,5,
30,2026/05/16,7,11:00,明野いこいの杜グラウンド,ヴァンフォーレ甲府U-18,ＲＢ大宮アルディージャU18,,31,第7節,,,,,1,
31,2026/05/16,7,13:00,帝京科学大学千住総合グラウンド,帝京高校,浦和レッズユース,,32,第7節,,,,,2,
32,2026/05/16,7,15:00,山梨学院和戸サッカー場,山梨学院高校,ジェフユナイテッド市原・千葉U-18,,33,第7節,,,,,3,
33,2026/05/17,7,11:00,グラスポ法典公園球技場,市立船橋高校,桐生第一高校,,34,第7節,,,,,4,
34,2026/05/17,7,13:00,桐蔭学園多目的グラウンド,桐蔭学園高校,流通経済大学付属柏Ｂ,,35,第7節,,,,,5,
35,2026/06/20,8,11:00,帝京科学大学千住総合グラウンド,帝京高校,市立船橋高校,,36,第8節,,,,,1,
36,2026/06/20,8,11:00,川越陸上競技場,ＲＢ大宮アルディージャU18,山梨学院高校,,37,第8節,,,,,2,
37,2026/06/20,8,16:00,ユナイテッドパーク,ジェフユナイテッド市原・千葉U-18,桐蔭学園高校,,38,第8節,,,,,3,
38,2026/06/20,8,18:00,埼玉スタジアム2002第4グラウンド,浦和レッズユース,流通経済大学付属柏Ｂ,,39,第8節,,,,,4,
39,2026/06/21,8,11:00,太田市運動公園サッカー場,桐生第一高校,ヴァンフォーレ甲府U-18,,40,第8節,,,,,5,
40,2026/06/28,9,11:00,グラスポ法典公園球技場,市立船橋高校,浦和レッズユース,,41,第9節,,,,,1,
41,2026/06/28,9,11:00,明野いこいの杜グラウンド,ヴァンフォーレ甲府U-18,帝京高校,,42,第9節,,,,,2,
42,2026/06/28,9,16:00,桐蔭学園多目的グラウンド,桐蔭学園高校,ＲＢ大宮アルディージャU18,,43,第9節,,,,,3,
43,2026/06/28,9,16:00,流通経済大学付属柏高等学校,流通経済大学付属柏Ｂ,ジェフユナイテッド市原・千葉U-18,,44,第9節,,,,,4,
44,2026/06/28,9,17:30,山梨学院和戸サッカー場,山梨学院高校,桐生第一高校,,45,第9節,,,,,5,
45,2026/09/05,10,11:00,明野いこいの杜グラウンド,ヴァンフォーレ甲府U-18,浦和レッズユース,,46,第10節,,,,,1,
46,2026/09/05,10,17:30,桐蔭学園多目的グラウンド,桐蔭学園高校,桐生第一高校,,47,第10節,,,,,2,
47,2026/09/05,10,17:30,山梨学院和戸サッカー場,山梨学院高校,帝京高校,,48,第10節,,,,,3,
48,2026/09/06,10,16:00,流通経済大学付属柏高等学校,流通経済大学付属柏Ｂ,市立船橋高校,,49,第10節,,,,,4,
49,2026/09/06,10,16:00,フクダ電子フィールド,ジェフユナイテッド市原・千葉U-18,ＲＢ大宮アルディージャU18,,50,第10節,,,,,5,
50,2026/09/12,11,11:00,帝京科学大学千住総合グラウンド,帝京高校,桐蔭学園高校,,51,第11節,,,,,1,
51,2026/09/12,11,16:00,志木総合グラウンド,ＲＢ大宮アルディージャU18,流通経済大学付属柏Ｂ,,52,第11節,,,,,2,
52,2026/09/12,11,18:00,埼玉スタジアム2002第4グラウンド,浦和レッズユース,山梨学院高校,,53,第11節,,,,,3,
53,2026/09/13,11,11:00,グラスポ法典公園球技場,市立船橋高校,ヴァンフォーレ甲府U-18,,54,第11節,,,,,4,
54,2026/09/13,11,16:00,太田市運動公園サッカー場,桐生第一高校,ジェフユナイテッド市原・千葉U-18,,55,第11節,,,,,5,
55,2026/09/19,12,16:00,志木総合グラウンド,ＲＢ大宮アルディージャU18,桐生第一高校,,56,第12節,,,,,1,
56,2026/09/19,12,17:30,山梨学院和戸サッカー場,山梨学院高校,市立船橋高校,,57,第12節,,,,,2,
57,2026/09/20,12,16:00,流通経済大学付属柏高等学校,流通経済大学付属柏Ｂ,ヴァンフォーレ甲府U-18,,58,第12節,,,,,3,
58,2026/09/20,12,16:00,稲毛海浜公園球技場,ジェフユナイテッド市原・千葉U-18,帝京高校,,59,第12節,,,,,4,
59,2026/09/20,12,16:30,桐蔭学園多目的グラウンド,桐蔭学園高校,浦和レッズユース,,60,第12節,,,,,5,
60,2026/09/26,13,11:00,明野いこいの杜グラウンド,ヴァンフォーレ甲府U-18,山梨学院高校,,61,第13節,,,,,1,
61,2026/09/26,13,16:00,埼玉スタジアム2002第4グラウンド,浦和レッズユース,ジェフユナイテッド市原・千葉U-18,,62,第13節,,,,,2,
62,2026/09/26,13,18:30,駒沢オリンピック公園総合運動場補助競技場,帝京高校,ＲＢ大宮アルディージャU18,,63,第13節,,,,,3,
63,2026/09/27,13,11:00,グラスポ法典公園球技場,市立船橋高校,桐蔭学園高校,,64,第13節,,,,,4,
64,2026/09/27,13,16:00,あずまサッカースタジアム,桐生第一高校,流通経済大学付属柏Ｂ,,65,第13節,,,,,5,
65,2026/10/03,14,10:00,流通経済大学付属柏高等学校,流通経済大学付属柏Ｂ,帝京高校,,66,第14節,,,,,1,
66,2026/10/03,14,11:00,明野いこいの杜グラウンド,ヴァンフォーレ甲府U-18,ジェフユナイテッド市原・千葉U-18,,67,第14節,,,,,2,
67,2026/10/03,14,未定,埼玉スタジアム2002第3グラウンド,浦和レッズユース,桐生第一高校,,68,第14節,,,,,3,
68,2026/10/04,14,11:00,グラスポ法典公園球技場,市立船橋高校,ＲＢ大宮アルディージャU18,,69,第14節,,,,,4,
69,2026/10/04,14,13:00,桐蔭学園多目的グラウンド,桐蔭学園高校,山梨学院高校,,70,第14節,,,,,5,
70,2026/10/10,15,11:00,志木総合グラウンド,ＲＢ大宮アルディージャU18,浦和レッズユース,,71,第15節,,,,,1,
71,2026/10/10,15,14:00,フクダ電子フィールド,ジェフユナイテッド市原・千葉U-18,市立船橋高校,,72,第15節,,,,,2,
72,2026/10/10,15,15:00,山梨学院和戸サッカー場,山梨学院高校,流通経済大学付属柏Ｂ,,73,第15節,,,,,3,
73,2026/10/11,15,13:00,桐蔭学園多目的グラウンド,桐蔭学園高校,ヴァンフォーレ甲府U-18,,74,第15節,,,,,4,
74,2026/10/12,15,13:00,帝京科学大学千住総合グラウンド,帝京高校,桐生第一高校,,75,第15節,,,,,5,
75,2026/11/21,16,11:00,和光スポーツアイランド,ＲＢ大宮アルディージャU18,ヴァンフォーレ甲府U-18,,76,第16節,,,,,1,
76,2026/11/21,16,14:00,流通経済大学付属柏高等学校,流通経済大学付属柏Ｂ,桐蔭学園高校,,77,第16節,,,,,2,
77,2026/11/21,16,14:00,埼玉スタジアム2002第3グラウンド,浦和レッズユース,帝京高校,,78,第16節,,,,,3,
78,2026/11/22,16,14:00,フクダ電子フィールド,ジェフユナイテッド市原・千葉U-18,山梨学院高校,,79,第16節,,,,,4,
79,2026/11/23,16,16:00,太田市運動公園サッカー場,桐生第一高校,市立船橋高校,,80,第16節,,,,,5,
80,2026/11/28,17,11:00,明野いこいの杜グラウンド,ヴァンフォーレ甲府U-18,桐生第一高校,,81,第17節,,,,,1,
81,2026/11/28,17,15:00,山梨学院和戸サッカー場,山梨学院高校,ＲＢ大宮アルディージャU18,,82,第17節,,,,,2,
82,2026/11/29,17,11:00,グラスポ法典公園球技場,市立船橋高校,帝京高校,,83,第17節,,,,,3,
83,2026/11/29,17,11:00,流通経済大学付属柏高等学校,流通経済大学付属柏Ｂ,浦和レッズユース,,84,第17節,,,,,4,
84,2026/11/29,17,13:00,桐蔭学園多目的グラウンド,桐蔭学園高校,ジェフユナイテッド市原・千葉U-18,,85,第17節,,,,,5,
85,2026/12/05,18,13:30,埼玉スタジアム2002第3グラウンド,浦和レッズユース,市立船橋高校,,86,第18節,,,,,1,
86,2026/12/05,18,13:30,帝京科学大学千住総合グラウンド,帝京高校,ヴァンフォーレ甲府U-18,,87,第18節,,,,,2,
87,2026/12/05,18,13:30,太田市運動公園サッカー場,桐生第一高校,山梨学院高校,,88,第18節,,,,,3,
88,2026/12/05,18,13:30,志木総合グラウンド,ＲＢ大宮アルディージャU18,桐蔭学園高校,,89,第18節,,,,,4,
89,2026/12/05,18,13:30,フクダ電子フィールド,ジェフユナイテッド市原・千葉U-18,流通経済大学付属柏Ｂ,,90,第18節,,,,,5,
