,match_date,section_no,start_time,stadium,home_team,away_team,status,match_number,round,home_goal,away_goal,home_pk_score,away_pk_score,match_index_in_section,group
0,2026/04/04,1,11:00,昌平,昌平高校,東京ヴェルディユース,試合終了,101,第1節,3,0,,,1,
1,2026/04/04,1,15:00,武蔵野苑,FC東京U-18,青森山田高校,試合終了,102,第1節,3,0,,,2,
2,2026/04/05,1,11:00,メルスタ,鹿島アントラーズユース,柏レイソルU-18,試合終了,103,第1節,0,2,,,3,
3,2026/04/05,1,11:00,前橋育英,前橋育英高校,流通経済大学付属柏高校,試合終了,104,第1節,0,2,,,4,
4,2026/04/05,1,11:00,保土ヶ谷,横浜FCユース,帝京長岡高校,試合終了,105,第1節,0,1,,,5,
5,2026/04/05,1,12:00,ﾌﾛﾝﾀ生田,川崎フロンターレU-18,ベガルタ仙台ユース,試合終了,106,第1節,0,0,,,6,
6,2026/04/11,2,11:00,ｱｲﾘｽTF,ベガルタ仙台ユース,前橋育英高校,試合終了,201,第2節,1,4,,,1,
7,2026/04/11,2,11:00,ZWP柏,柏レイソルU-18,FC東京U-18,試合終了,202,第2節,0,0,,,2,
8,2026/04/11,2,14:00,流経柏Ｇ,流通経済大学付属柏高校,横浜FCユース,試合終了,203,第2節,2,0,,,3,
9,2026/04/11,2,17:00,ｳﾞｪﾙﾃﾞｨG,東京ヴェルディユース,川崎フロンターレU-18,試合終了,204,第2節,3,2,,,4,
10,2026/04/12,2,11:00,青森山田,青森山田高校,昌平高校,試合終了,205,第2節,1,0,,,5,
11,2026/04/12,2,13:00,長岡NT B,帝京長岡高校,鹿島アントラーズユース,試合終了,206,第2節,2,4,,,6,
12,2026/04/18,3,12:00,ニッパツ,横浜FCユース,ベガルタ仙台ユース,試合終了,301,第3節,0,1,,,1,
13,2026/04/18,3,14:00,ﾌﾛﾝﾀ生田,川崎フロンターレU-18,昌平高校,試合終了,302,第3節,3,1,,,2,
