,match_date,section_no,start_time,stadium,home_team,away_team,status,match_number,home_goal,away_goal,match_index_in_section,group
0,2024/09/05,1,,BUNYODKOR STADIUM (TASHKENT),ウズベキスタン,朝鮮民主主義人民共和国,試合終了,1,1,0,1,A
1,2024/09/05,1,,AHMAD BIN ALI STADIUM (AL RAYYAN),カタール,UAE,試合終了,2,1,3,2,A
2,2024/09/05,1,,FOOLĀD SHAHR STADIUM (FOOLADSHAHR),イラン,キルギス,試合終了,3,1,0,3,A
3,2024/09/10,2,,LAO NATIONAL STADIUM KM16 (VIENTIANE),朝鮮民主主義人民共和国,カタール,試合終了,4,2,2,1,A
4,2024/09/10,2,,DOLEN OMURZAKOV STADIUM (BISHKEK),キルギス,ウズベキスタン,試合終了,5,2,3,2,A
5,2024/09/10,2,,HAZZA BIN ZAYED STADIUM (AL AIN),UAE,イラン,試合終了,6,0,1,3,A
6,2024/10/10,3,,BUNYODKOR STADIUM (TASHKENT),ウズベキスタン,イラン,試合終了,7,0,0,1,A
7,2024/10/10,3,,HAZZA BIN ZAYED STADIUM (AL AIN),UAE,朝鮮民主主義人民共和国,試合終了,8,1,1,2,A
8,2024/10/10,3,,AHMAD BIN ALI STADIUM (AL RAYYAN),カタール,キルギス,試合終了,9,3,1,3,A
9,2024/10/15,4,,DOLEN OMURZAKOV STADIUM (BISHKEK),キルギス,朝鮮民主主義人民共和国,試合終了,10,1,0,1,A
10,2024/10/15,4,,BUNYODKOR STADIUM (TASHKENT),ウズベキスタン,UAE,試合終了,11,1,0,2,A
11,2024/10/15,4,,IMAM REZA STADIUM (MASHHAD),イラン,カタール,試合終了,12,4,1,3,A
12,2024/11/14,5,,AO NATIONAL STADIUM KM16 (VIENTIANE),朝鮮民主主義人民共和国,イラン,試合終了,13,2,3,1,A
13,2024/11/14,5,,MOHAMMED BIN ZAYED STADIUM (ABU DHABI),UAE,キルギス,試合終了,14,3,0,2,A
14,2024/11/14,5,,JASSIM BIN HAMAD STADIUM (DOHA),カタール,ウズベキスタン,試合終了,15,3,2,3,A
15,2024/11/19,6,,LAO NATIONAL STADIUM KM16 (VIENTIANE),朝鮮民主主義人民共和国,ウズベキスタン,試合終了,16,0,1,1,A
16,2024/11/19,6,,DOLEN OMURZAKOV STADIUM (BISHKEK),キルギス,イラン,試合終了,17,2,3,2,A
17,2024/11/19,6,,HAZZA BIN ZAYED STADIUM (AL AIN),UAE,カタール,試合終了,18,5,0,3,A
18,2025/03/20,7,,JASSIM BIN HAMAD STADIUM (DOHA),カタール,朝鮮民主主義人民共和国,試合終了,19,5,1,1,A
19,2025/03/20,7,,BUNYODKOR STADIUM (TASHKENT),ウズベキスタン,キルギス,試合終了,20,1,0,2,A
20,2025/03/20,7,,AZADI STADIUM (TEHRAN),イラン,UAE,試合終了,21,2,0,3,A
21,2025/03/25,8,,PRINCE FAISAL BIN FAHD STADIUM (RIYADH),朝鮮民主主義人民共和国,UAE,試合終了,22,1,2,1,A
22,2025/03/25,8,,AZADI STADIUM (TEHRAN),イラン,ウズベキスタン,試合終了,23,2,2,2,A
23,2025/03/25,8,,DOLEN OMURZAKOV STADIUM (BISHKEK),キルギス,カタール,試合終了,24,3,1,3,A
24,2025/06/05,9,,PRINCE FAISAL BIN FAHD STADIUM (RIYADH),朝鮮民主主義人民共和国,キルギス,試合終了,25,2,2,1,A
25,2025/06/05,9,,JASSIM BIN HAMAD STADIUM (DOHA),カタール,イラン,試合終了,26,1,0,2,A
26,2025/06/05,9,,AL NAHYAN STADIUM (ABU DHABI),UAE,ウズベキスタン,試合終了,27,0,0,3,A
27,2025/06/10,10,,BUNYODKOR STADIUM (TASHKENT),ウズベキスタン,カタール,試合終了,28,3,0,1,A
28,2025/06/10,10,,AZADI STADIUM (TEHRAN),イラン,朝鮮民主主義人民共和国,試合終了,29,3,0,2,A
29,2025/06/10,10,,DOLEN OMURZAKOV STADIUM (BISHKEK),キルギス,UAE,試合終了,30,1,1,3,A
30,2024/09/05,1,,SEOUL WORLD CUP STADIUM (SEOUL),韓国,パレスチナ,試合終了,1,0,0,1,B
31,2024/09/05,1,,BASRA INTERNATIONAL STADIUM (BASRA),イラク,オマーン,試合終了,2,1,0,2,B
32,2024/09/05,1,,AMMAN INTERNATIONAL STADIUM (AMMAN),ヨルダン,クウェート,試合終了,3,1,1,3,B
33,2024/09/10,2,,KUALA LUMPUR FOOTBALL STADIUM (KUALA LUMPUR),パレスチナ,ヨルダン,試合終了,4,1,3,1,B
34,2024/09/10,2,,SULTAN QABOOS SPORT COMPLEX (MUSCAT),オマーン,韓国,試合終了,5,1,3,2,B
35,2024/09/10,2,,JABER AL-AHMAD INTERNATIONAL STADIUM (ARDHIYAH),クウェート,イラク,試合終了,6,0,0,3,B
36,2024/10/10,3,,AMMAN INTERNATIONAL STADIUM (AMMAN),ヨルダン,韓国,試合終了,7,0,2,1,B
37,2024/10/10,3,,SULTAN QABOOS SPORT COMPLEX (MUSCAT),オマーン,クウェート,試合終了,8,4,0,2,B
38,2024/10/10,3,,BASRA INTERNATIONAL STADIUM (BASRA),イラク,パレスチナ,試合終了,9,1,0,3,B
39,2024/10/15,4,,YONGIN MIREU STADIUM (YONGIN),韓国,イラク,試合終了,10,3,2,1,B
40,2024/10/15,4,,AMMAN INTERNATIONAL STADIUM (AMMAN),ヨルダン,オマーン,試合終了,11,4,0,2,B
41,2024/10/15,4,,JASSIM BIN HAMAD STADIUM (DOHA),パレスチナ,クウェート,試合終了,12,2,2,3,B
42,2024/11/14,5,,JABER AL-AHMAD INTERNATIONAL STADIUM (ARDHIYAH),クウェート,韓国,試合終了,13,1,3,1,B
