,match_date,section_no,start_time,stadium,home_team,away_team,status,match_number,round,home_goal,away_goal,home_pk_score,away_pk_score,match_index_in_section,group
0,2026/06/11,1,13:00,メキシコシティ(メキシコ)／メキシコシティスタジアム,メキシコ,南アフリカ,試合終了,1,第1節,2,0,,,1,A
1,2026/06/11,1,20:00,グアダラハラ(メキシコ)／グアダラハラスタジアム,韓国,チェコ,試合終了,2,第1節,2,1,,,2,A
2,2026/06/18,2,12:00,アトランタ(アメリカ)／アトランタスタジアム,チェコ,南アフリカ,試合終了,25,第2節,1,1,,,1,A
3,2026/06/18,2,19:00,グアダラハラ(メキシコ)／グアダラハラスタジアム,メキシコ,韓国,試合終了,28,第2節,1,0,,,2,A
4,2026/06/24,3,19:00,メキシコシティ(メキシコ)／メキシコシティスタジアム,チェコ,メキシコ,試合終了,53,第3節,0,3,,,1,A
5,2026/06/24,3,19:00,モンテレイ(メキシコ)／モンテレイスタジアム,南アフリカ,韓国,試合終了,54,第3節,1,0,,,2,A
6,2026/06/12,1,15:00,トロント(カナダ)／トロントスタジアム,カナダ,ボスニア・ヘルツェゴビナ,試合終了,3,第1節,1,1,,,1,B
7,2026/06/13,1,12:00,サンフランシスコ・ベイエリア(アメリカ)／サンフランシスコベイエリアスタジアム,カタール,スイス,試合終了,8,第1節,1,1,,,2,B
8,2026/06/18,2,12:00,ロサンゼルス(アメリカ)／ロサンゼルススタジアム,スイス,ボスニア・ヘルツェゴビナ,試合終了,26,第2節,4,1,,,1,B
9,2026/06/18,2,15:00,バンクーバー(カナダ)／BCプレイスバンクーバー,カナダ,カタール,試合終了,27,第2節,6,0,,,2,B
10,2026/06/24,3,12:00,バンクーバー(カナダ)／BCプレイスバンクーバー,スイス,カナダ,試合終了,51,第3節,2,1,,,1,B
11,2026/06/24,3,12:00,シアトル(アメリカ)／シアトルスタジアム,ボスニア・ヘルツェゴビナ,カタール,試合終了,52,第3節,3,1,,,2,B
12,2026/06/13,1,21:00,ボストン(アメリカ)／ボストンスタジアム,ハイチ,スコットランド,試合終了,5,第1節,0,1,,,1,C
13,2026/06/13,1,18:00,ニューヨーク(アメリカ)／ニューヨークニュージャージースタジアム,ブラジル,モロッコ,試合終了,7,第1節,1,1,,,2,C
14,2026/06/19,2,20:30,フィラデルフィア(アメリカ)／フィラデルフィアスタジアム,ブラジル,ハイチ,試合終了,29,第2節,3,0,,,1,C
15,2026/06/19,2,18:00,ボストン(アメリカ)／ボストンスタジアム,スコットランド,モロッコ,試合終了,30,第2節,0,1,,,2,C
16,2026/06/24,3,18:00,マイアミ(アメリカ)／マイアミスタジアム,スコットランド,ブラジル,試合終了,49,第3節,0,3,,,1,C
17,2026/06/24,3,18:00,アトランタ(アメリカ)／アトランタスタジアム,モロッコ,ハイチ,試合終了,50,第3節,4,2,,,2,C
18,2026/06/12,1,18:00,ロサンゼルス(アメリカ)／ロサンゼルススタジアム,アメリカ,パラグアイ,試合終了,4,第1節,4,1,,,1,D
19,2026/06/13,1,21:00,バンクーバー(カナダ)／BCプレイスバンクーバー,オーストラリア,トルコ,試合終了,6,第1節,2,0,,,2,D
20,2026/06/19,2,20:00,サンフランシスコ・ベイエリア(アメリカ)／サンフランシスコベイエリアスタジアム,トルコ,パラグアイ,試合終了,31,第2節,0,1,,,1,D
21,2026/06/19,2,12:00,シアトル(アメリカ)／シアトルスタジアム,アメリカ,オーストラリア,試合終了,32,第2節,2,0,,,2,D
22,2026/06/25,3,19:00,ロサンゼルス(アメリカ)／ロサンゼルススタジアム,トルコ,アメリカ,,59,第3節,,,,,1,D
23,2026/06/25,3,19:00,サンフランシスコ・ベイエリア(アメリカ)／サンフランシスコベイエリアスタジアム,パラグアイ,オーストラリア,,60,第3節,,,,,2,D
24,2026/06/14,1,19:00,フィラデルフィア(アメリカ)／フィラデルフィアスタジアム,コートジボワール,エクアドル,試合終了,9,第1節,1,0,,,1,E
25,2026/06/14,1,12:00,ヒューストン(アメリカ)／ヒューストンスタジアム,ドイツ,キュラソー,試合終了,10,第1節,7,1,,,2,E
26,2026/06/20,2,16:00,トロント(カナダ)／トロントスタジアム,ドイツ,コートジボワール,試合終了,33,第2節,2,1,,,1,E
27,2026/06/20,2,19:00,カンザスシティ(アメリカ)／カンザスシティスタジアム,エクアドル,キュラソー,試合終了,34,第2節,0,0,,,2,E
28,2026/06/25,3,16:00,フィラデルフィア(アメリカ)／フィラデルフィアスタジアム,キュラソー,コートジボワール,試合終了,55,第3節,0,2,,,1,E
29,2026/06/25,3,16:00,ニューヨーク(アメリカ)／ニューヨークニュージャージースタジアム,エクアドル,ドイツ,試合終了,56,第3節,2,1,,,2,E
30,2026/06/14,1,15:00,ダラス(アメリカ)／ダラススタジアム,オランダ,日本,試合終了,11,第1節,2,2,,,1,F
31,2026/06/14,1,20:00,モンテレイ(メキシコ)／モンテレイスタジアム,スウェーデン,チュニジア,試合終了,12,第1節,5,1,,,2,F
32,2026/06/20,2,12:00,ヒューストン(アメリカ)／ヒューストンスタジアム,オランダ,スウェーデン,試合終了,35,第2節,5,1,,,1,F
33,2026/06/20,2,22:00,モンテレイ(メキシコ)／モンテレイスタジアム,チュニジア,日本,試合終了,36,第2節,0,4,,,2,F
34,2026/06/25,3,18:00,ダラス(アメリカ)／ダラススタジアム,日本,スウェーデン,,57,第3節,,,,,1,F
35,2026/06/25,3,18:00,カンザスシティ(アメリカ)／カンザスシティスタジアム,チュニジア,オランダ,,58,第3節,,,,,2,F
36,2026/06/15,1,18:00,ロサンゼルス(アメリカ)／ロサンゼルススタジアム,イラン,ニュージーランド,試合終了,15,第1節,2,2,,,1,G
37,2026/06/15,1,12:00,シアトル(アメリカ)／シアトルスタジアム,ベルギー,エジプト,試合終了,16,第1節,1,1,,,2,G
38,2026/06/21,2,12:00,ロサンゼルス(アメリカ)／ロサンゼルススタジアム,ベルギー,イラン,試合終了,39,第2節,0,0,,,1,G
39,2026/06/21,2,18:00,バンクーバー(カナダ)／BCプレイスバンクーバー,ニュージーランド,エジプト,試合終了,40,第2節,1,3,,,2,G
40,2026/06/26,3,20:00,シアトル(アメリカ)／シアトルスタジアム,エジプト,イラン,,63,第3節,,,,,1,G
41,2026/06/26,3,20:00,バンクーバー(カナダ)／BCプレイスバンクーバー,ニュージーランド,ベルギー,,64,第3節,,,,,2,G
42,2026/06/15,1,18:00,マイアミ(アメリカ)／マイアミスタジアム,サウジアラビア,ウルグアイ,試合終了,13,第1節,1,1,,,1,H
43,2026/06/15,1,12:00,アトランタ(アメリカ)／アトランタスタジアム,スペイン,カーボベルデ,試合終了,14,第1節,0,0,,,2,H
44,2026/06/21,2,18:00,マイアミ(アメリカ)／マイアミスタジアム,ウルグアイ,カーボベルデ,試合終了,37,第2節,2,2,,,1,H
45,2026/06/21,2,12:00,アトランタ(アメリカ)／アトランタスタジアム,スペイン,サウジアラビア,試合終了,38,第2節,4,0,,,2,H
46,2026/06/26,3,19:00,ヒューストン(アメリカ)／ヒューストンスタジアム,カーボベルデ,サウジアラビア,,65,第3節,,,,,1,H
47,2026/06/26,3,18:00,グアダラハラ(メキシコ)／グアダラハラスタジアム,ウルグアイ,スペイン,,66,第3節,,,,,2,H
48,2026/06/16,1,15:00,ニューヨーク(アメリカ)／ニューヨークニュージャージースタジアム,フランス,セネガル,試合終了,17,第1節,3,1,,,1,I
49,2026/06/16,1,18:00,ボストン(アメリカ)／ボストンスタジアム,イラク,ノルウェー,試合終了,18,第1節,1,4,,,2,I
50,2026/06/22,2,20:00,ニューヨーク(アメリカ)／ニューヨークニュージャージースタジアム,ノルウェー,セネガル,試合終了,41,第2節,3,2,,,1,I
51,2026/06/22,2,17:00,フィラデルフィア(アメリカ)／フィラデルフィアスタジアム,フランス,イラク,試合終了,42,第2節,3,0,,,2,I
52,2026/06/26,3,15:00,ボストン(アメリカ)／ボストンスタジアム,ノルウェー,フランス,,61,第3節,,,,,1,I
53,2026/06/26,3,15:00,トロント(カナダ)／トロントスタジアム,セネガル,イラク,,62,第3節,,,,,2,I
54,2026/06/16,1,20:00,カンザスシティ(アメリカ)／カンザスシティスタジアム,アルゼンチン,アルジェリア,試合終了,19,第1節,3,0,,,1,J
55,2026/06/16,1,21:00,サンフランシスコ・ベイエリア(アメリカ)／サンフランシスコベイエリアスタジアム,オーストリア,ヨルダン,試合終了,20,第1節,3,1,,,2,J
56,2026/06/22,2,12:00,ダラス(アメリカ)／ダラススタジアム,アルゼンチン,オーストリア,試合終了,43,第2節,2,0,,,1,J
57,2026/06/22,2,20:00,サンフランシスコ・ベイエリア(アメリカ)／サンフランシスコベイエリアスタジアム,ヨルダン,アルジェリア,試合終了,44,第2節,1,2,,,2,J
58,2026/06/27,3,21:00,カンザスシティ(アメリカ)／カンザスシティスタジアム,アルジェリア,オーストリア,,69,第3節,,,,,1,J
59,2026/06/27,3,21:00,ダラス(アメリカ)／ダラススタジアム,ヨルダン,アルゼンチン,,70,第3節,,,,,2,J
60,2026/06/17,1,12:00,ヒューストン(アメリカ)／ヒューストンスタジアム,ポルトガル,コンゴ,試合終了,23,第1節,1,1,,,1,K
61,2026/06/17,1,20:00,メキシコシティ(メキシコ)／メキシコシティスタジアム,ウズベキスタン,コロンビア,試合終了,24,第1節,1,3,,,2,K
62,2026/06/23,2,12:00,ヒューストン(アメリカ)／ヒューストンスタジアム,ポルトガル,ウズベキスタン,試合終了,47,第2節,5,0,,,1,K
63,2026/06/23,2,20:00,グアダラハラ(メキシコ)／グアダラハラスタジアム,コロンビア,コンゴ,試合終了,48,第2節,1,0,,,2,K
64,2026/06/27,3,19:30,マイアミ(アメリカ)／マイアミスタジアム,コロンビア,ポルトガル,,71,第3節,,,,,1,K
65,2026/06/27,3,19:30,アトランタ(アメリカ)／アトランタスタジアム,コンゴ,ウズベキスタン,,72,第3節,,,,,2,K
66,2026/06/17,1,19:00,トロント(カナダ)／トロントスタジアム,ガーナ,パナマ,試合終了,21,第1節,1,0,,,1,L
67,2026/06/17,1,15:00,ダラス(アメリカ)／ダラススタジアム,イングランド,クロアチア,試合終了,22,第1節,4,2,,,2,L
68,2026/06/23,2,16:00,ボストン(アメリカ)／ボストンスタジアム,イングランド,ガーナ,試合終了,45,第2節,0,0,,,1,L
69,2026/06/23,2,19:00,トロント(カナダ)／トロントスタジアム,パナマ,クロアチア,試合終了,46,第2節,0,1,,,2,L
70,2026/06/27,3,17:00,ニューヨーク(アメリカ)／ニューヨークニュージャージースタジアム,パナマ,イングランド,,67,第3節,,,,,1,L
71,2026/06/27,3,17:00,フィラデルフィア(アメリカ)／フィラデルフィアスタジアム,クロアチア,ガーナ,,68,第3節,,,,,2,L
