,match_date,section_no,start_time,stadium,home_team,away_team,status,match_number,round,home_goal,away_goal,home_pk_score,away_pk_score,match_index_in_section,home_score_ex,away_score_ex,group,timezone
0,2026/06/28,-6,12:00,ロサンゼルス(アメリカ)／ロサンゼルススタジアム,南アフリカ,カナダ,試合終了,73,ラウンド32,0,1,,,1,,,,America/Los_Angeles
1,2026/06/29,-6,16:30,ボストン(アメリカ)／ボストンスタジアム,ドイツ,パラグアイ,試合終了,74,ラウンド32,1,1,3,4,2,0,0,,America/New_York
2,2026/06/29,-6,19:00,モンテレイ(メキシコ)／モンテレイスタジアム,オランダ,モロッコ,試合終了,75,ラウンド32,1,1,2,3,3,0,0,,America/Monterrey
3,2026/06/29,-6,12:00,ヒューストン(アメリカ)／ヒューストンスタジアム,ブラジル,日本,試合終了,76,ラウンド32,2,1,,,4,,,,America/Chicago
4,2026/06/30,-6,17:00,ニューヨーク(アメリカ)／ニューヨークニュージャージースタジアム,フランス,スウェーデン,試合終了,77,ラウンド32,3,0,,,5,,,,America/New_York
5,2026/06/30,-6,12:00,ダラス(アメリカ)／ダラススタジアム,コートジボワール,ノルウェー,試合終了,78,ラウンド32,1,2,,,6,,,,America/Chicago
6,2026/06/30,-6,19:00,メキシコシティ(メキシコ)／メキシコシティスタジアム,メキシコ,エクアドル,試合終了,79,ラウンド32,2,0,,,7,,,,America/Mexico_City
7,2026/07/01,-6,12:00,アトランタ(アメリカ)／アトランタスタジアム,イングランド,コンゴ,試合終了,80,ラウンド32,2,1,,,8,,,,America/New_York
8,2026/07/01,-6,17:00,サンフランシスコ・ベイエリア(アメリカ)／サンフランシスコベイエリアスタジアム,アメリカ,ボスニア・ヘルツェゴビナ,試合終了,81,ラウンド32,2,0,,,9,,,,America/Los_Angeles
9,2026/07/01,-6,13:00,シアトル(アメリカ)／シアトルスタジアム,ベルギー,セネガル,試合終了,82,ラウンド32,3,2,,,10,1,0,,America/Los_Angeles
10,2026/07/02,-6,19:00,トロント(カナダ)／トロントスタジアム,ポルトガル,クロアチア,試合終了,83,ラウンド32,2,1,,,11,,,,America/Toronto
11,2026/07/02,-6,12:00,ロサンゼルス(アメリカ)／ロサンゼルススタジアム,スペイン,オーストリア,試合終了,84,ラウンド32,3,0,,,12,,,,America/Los_Angeles
12,2026/07/02,-6,20:00,バンクーバー(カナダ)／BCプレイスバンクーバー,スイス,アルジェリア,試合終了,85,ラウンド32,2,0,,,13,,,,America/Vancouver
13,2026/07/03,-6,18:00,マイアミ(アメリカ)／マイアミスタジアム,アルゼンチン,カーボベルデ,試合終了,86,ラウンド32,3,2,,,14,2,1,,America/New_York
14,2026/07/03,-6,20:30,カンザスシティ(アメリカ)／カンザスシティスタジアム,コロンビア,ガーナ,試合終了,87,ラウンド32,1,0,,,15,,,,America/Chicago
15,2026/07/03,-6,13:00,ダラス(アメリカ)／ダラススタジアム,オーストラリア,エジプト,試合終了,88,ラウンド32,1,1,2,4,16,0,0,,America/Chicago
16,2026/07/04,-5,17:00,フィラデルフィア(アメリカ)／フィラデルフィアスタジアム,パラグアイ,フランス,試合終了,89,ラウンド16,0,1,,,1,,,,America/New_York
17,2026/07/04,-5,12:00,ヒューストン(アメリカ)／ヒューストンスタジアム,カナダ,モロッコ,試合終了,90,ラウンド16,0,3,,,2,,,,America/Chicago
18,2026/07/05,-5,16:00,ニューヨーク(アメリカ)／ニューヨークニュージャージースタジアム,ブラジル,ノルウェー,試合終了,91,ラウンド16,1,2,,,3,,,,America/New_York
19,2026/07/05,-5,18:00,メキシコシティ(メキシコ)／メキシコシティスタジアム,メキシコ,イングランド,試合終了,92,ラウンド16,2,3,,,4,,,,America/Mexico_City
20,2026/07/06,-5,14:00,ダラス(アメリカ)／ダラススタジアム,ポルトガル,スペイン,試合終了,93,ラウンド16,0,1,,,5,,,,America/Chicago
21,2026/07/06,-5,17:00,シアトル(アメリカ)／シアトルスタジアム,アメリカ,ベルギー,試合終了,94,ラウンド16,1,4,,,6,,,,America/Los_Angeles
22,2026/07/07,-5,12:00,アトランタ(アメリカ)／アトランタスタジアム,アルゼンチン,エジプト,試合終了,95,ラウンド16,3,2,,,7,,,,America/New_York
23,2026/07/07,-5,13:00,バンクーバー(カナダ)／BCプレイスバンクーバー,スイス,コロンビア,試合終了,96,ラウンド16,0,0,4,3,8,0,0,,America/Vancouver
24,2026/07/09,-4,16:00,ボストン(アメリカ)／ボストンスタジアム,フランス,モロッコ,試合終了,97,準々決勝,2,0,,,1,,,,America/New_York
25,2026/07/10,-4,12:00,ロサンゼルス(アメリカ)／ロサンゼルススタジアム,スペイン,ベルギー,試合終了,98,準々決勝,2,1,,,2,,,,America/Los_Angeles
26,2026/07/11,-4,17:00,マイアミ(アメリカ)／マイアミスタジアム,ノルウェー,イングランド,試合終了,99,準々決勝,1,2,,,3,0,1,,America/New_York
27,2026/07/11,-4,20:00,カンザスシティ(アメリカ)／カンザスシティスタジアム,アルゼンチン,スイス,試合終了,100,準々決勝,3,1,,,4,2,0,,America/Chicago
28,2026/07/14,-3,14:00,ダラス(アメリカ)／ダラススタジアム,フランス,スペイン,,101,準決勝,,,,,1,,,,America/Chicago
29,2026/07/15,-3,15:00,アトランタ(アメリカ)／アトランタスタジアム,イングランド,アルゼンチン,,102,準決勝,,,,,2,,,,America/New_York
30,2026/07/18,-2,17:00,マイアミ(アメリカ)／マイアミスタジアム,No.101の敗者,No.102の敗者,,103,３位決定戦,,,,,1,,,,America/New_York
31,2026/07/19,-1,15:00,ニューヨーク(アメリカ)／ニューヨークニュージャージースタジアム,No.101の勝者,No.102の勝者,,104,決勝戦,,,,,1,,,,America/New_York
