,match_date,section_no,start_time,stadium,home_team,away_team,status,matchNumber,home_goal,away_goal,extraTime,match_index_in_section,group
0,2024/09/05,1,20:10,ゴールドコースト(オーストラリア)／Cbus Super Stadium,オーストラリア,バーレーン,試合終了,1,0,1,False,1,C
1,2024/09/05,1,19:35,埼玉／埼玉スタジアム2002,日本,中国,試合終了,2,7,0,False,2,C
2,2024/09/05,1,21:00,ジッダ(サウジアラビア)／King Abdullah Sports City Stadium,サウジアラビア,インドネシア,試合終了,3,1,1,False,3,C
3,2024/09/10,2,19:00,ジャカルタ(インドネシア)／Gelora Bung Karno Stadium,インドネシア,オーストラリア,,4,,,False,1,C
4,2024/09/10,2,20:00,大連(中国)／Dalian Suoyuwan Football Stadium,中国,サウジアラビア,,5,,,False,2,C
5,2024/09/10,2,19:00,リファー(バーレーン)／Bahrain National Stadium,バーレーン,日本,,6,,,False,3,C
6,2024/10/10,3,19:10,アデレード(オーストラリア)／Adelaide Oval,オーストラリア,中国,,7,,,False,1,C
7,2024/10/10,3,19:00,リファー(バーレーン)／Bahrain National Stadium,バーレーン,インドネシア,,8,,,False,2,C
8,2024/10/10,3,21:00,ジッダ(サウジアラビア)／King Abdullah Sports City Stadium,サウジアラビア,日本,,9,,,False,3,C
9,2024/10/15,4,19:35,埼玉／埼玉スタジアム2002,日本,オーストラリア,,10,,,False,1,C
10,2024/10/15,4,20:00,青島(中国)／Qingdao Youth Football Stadium,中国,インドネシア,,11,,,False,2,C
11,2024/10/15,4,21:00,ジッダ(サウジアラビア)／King Abdullah Sports City Stadium,サウジアラビア,バーレーン,,12,,,False,3,C
12,2024/11/14,5,未定,未定,バーレーン,中国,,13,,,False,1,C
13,2024/11/14,5,未定,未定,オーストラリア,サウジアラビア,,14,,,False,2,C
14,2024/11/15,5,未定,未定(アウェイ),インドネシア,日本,,15,,,False,3,C
15,2024/11/19,6,未定,未定,インドネシア,サウジアラビア,,16,,,False,1,C
16,2024/11/19,6,未定,未定,バーレーン,オーストラリア,,17,,,False,2,C
17,2024/11/19,6,未定,未定(アウェイ),中国,日本,,18,,,False,3,C
18,2025/03/20,7,未定,未定(ホーム),日本,バーレーン,,19,,,False,1,C
19,2025/03/20,7,未定,未定,サウジアラビア,中国,,20,,,False,2,C
20,2025/03/20,7,未定,未定,オーストラリア,インドネシア,,21,,,False,3,C
21,2025/03/25,8,未定,未定,中国,オーストラリア,,22,,,False,1,C
22,2025/03/25,8,未定,未定(ホーム),日本,サウジアラビア,,23,,,False,2,C
23,2025/03/25,8,未定,未定,インドネシア,バーレーン,,24,,,False,3,C
24,2025/06/05,9,未定,未定,インドネシア,中国,,25,,,False,1,C
25,2025/06/05,9,未定,未定,バーレーン,サウジアラビア,,26,,,False,2,C
26,2025/06/05,9,未定,未定(アウェイ),オーストラリア,日本,,27,,,False,3,C
27,2025/06/10,10,未定,未定,中国,バーレーン,,28,,,False,1,C
28,2025/06/10,10,未定,未定(ホーム),日本,インドネシア,,29,,,False,2,C
29,2025/06/10,10,未定,未定,サウジアラビア,オーストラリア,,30,,,False,3,C
