,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,group,home_pk_score,away_pk_score
0,2022/08/20,1,1,17:03,新発田市五十公野公園陸上競技場,新潟L,1,1,EL埼玉,試合終了,A,,
1,2022/08/20,1,2,18:00,長野Uスタジアム,AC長野,1,1,マイ仙台,試合終了,A,,
2,2022/08/20,1,3,19:03,J-GREEN堺S1メインフィールド,I神戸,3,2,千葉L,試合終了,B,,
3,2022/08/21,1,4,18:03,NACK5スタジアム大宮,大宮V,2,2,浦和,試合終了,A,,
4,2022/08/27,2,1,18:00,浦和駒場スタジアム,浦和,4,1,新潟L,試合終了,A,,
5,2022/08/27,2,2,18:00,フクダ電子アリーナ,千葉L,0,0,東京NB,試合終了,B,,
6,2022/08/27,2,3,18:00,長野Uスタジアム,AC長野,1,0,大宮V,試合終了,A,,
7,2022/08/28,2,4,18:00,相模原ギオンスタジアム,N相模原,0,0,I神戸,試合終了,B,,
8,2022/09/03,3,1,15:01,セイホクパーク石巻(石巻総合運動公園)石巻フットボール場,マイ仙台,0,2,新潟L,試合終了,A,,
9,2022/09/03,3,2,18:00,浦和駒場スタジアム,浦和,2,2,AC長野,試合終了,A,,
10,2022/09/03,3,3,18:03,NACK5スタジアム大宮,大宮V,1,2,EL埼玉,試合終了,A,,
11,2022/09/04,3,4,18:00,フクダ電子アリーナ,千葉L,2,1,N相模原,試合終了,B,,
12,2022/09/04,3,5,18:03,サンフレッチェビレッジ 広島第一球技場,S広島R,1,5,東京NB,試合終了,B,,
13,2022/09/10,4,1,15:00,AGFフィールド,東京NB,2,2,I神戸,試合終了,B,,
14,2022/09/10,4,2,15:33,相模原ギオンスタジアム,N相模原,2,2,S広島R,試合終了,B,,
15,2022/09/11,4,3,16:01,ユアテックスタジアム仙台,マイ仙台,3,3,EL埼玉,試合終了,A,,
16,2022/09/17,5,1,15:00,多摩市立陸上競技場,東京NB,2,0,N相模原,試合終了,B,,
17,2022/09/18,5,2,15:30,浦和駒場スタジアム,浦和,2,0,マイ仙台,試合終了,A,,
18,2022/09/19,5,3,16:01,新発田市五十公野公園陸上競技場,新潟L,0,1,大宮V,試合終了,A,,
19,2022/09/19,5,4,17:03,熊谷スポーツ文化公園陸上競技場,EL埼玉,0,1,AC長野,試合終了,A,,
20,2022/09/20,5,5,19:00,サンフレッチェビレッジ 広島第一球技場,S広島R,1,1,千葉L,試合終了,B,,
21,2022/09/24,6,1,13:00,女川スタジアム,マイ仙台,1,0,大宮V,試合終了,A,,
22,2022/09/24,6,2,18:03,長野Uスタジアム,AC長野,2,1,新潟L,試合終了,A,,
23,2022/09/25,6,3,15:30,J-GREEN堺S1メインフィールド,I神戸,2,1,S広島R,試合終了,B,,
24,2022/09/25,6,4,17:03,熊谷スポーツ文化公園陸上競技場,EL埼玉,0,2,浦和,試合終了,A,,
25,2022/10/01,99,1,16:03,味の素フィールド西が丘,浦和,3,3,東京NB,試合終了,,4,2
