,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,group
0,2023-09-19,1,0,23:00:00,ブニョドコル・スタジアム (タシュケント),パフタコール,0,3,アル・アイン,試合終了,A
1,2023-09-18,1,0,03:00:00,ジャシム・ビン・ハマド・スタジアム (ドーハ),アル・サッド,0,0,シャールジャ,試合終了,B
2,2023-09-18,1,0,01:00:00,キング・アブドゥッラー・スポーツシティ (ジッダ),アル・イテハド,3,0,AGMK,試合終了,C
3,2023-09-18,1,0,03:00:00,プリンス・ファイサル・ビン・ファハド・スタジアム (リヤド),アル・ヒラル,1,1,ナフバホール,試合終了,D
4,2023-09-19,1,0,03:00:00,アザディ・スタジアム (テヘラン),ペルセポリス,0,2,アル・ナスル,試合終了,E
5,2023-09-20,1,0,19:00:00,全州ワールドカップ競技場 (全州),全北現代モータース,2,1,傑志,試合終了,F
6,2023-09-19,1,0,19:00:00,横浜国際総合競技場 (横浜),横浜F・マリノス,2,4,仁川ユナイテッド,試合終了,G
7,2023-09-20,1,0,19:00:00,ブリーラム・スタジアム (ブリーラム),ブリーラム・ユナイテッド,4,1,浙江,試合終了,H
8,2023-09-19,1,0,19:00:00,蔚山文殊サッカー競技場 (蔚山),蔚山現代,3,1,BGパトゥム・ユナイテッド,試合終了,I
9,2023-09-20,1,0,21:00:00,武漢体育中心 (武漢),武漢三鎮,2,2,浦和レッズ,試合終了,J
10,2023-09-19,1,1,01:00:00,アシガバート・スタジアム (アシガバート),FKアハル,1,0,アル・フェイハ,試合終了,A
11,2023-09-18,1,1,23:00:00,アンマン国際スタジアム (アンマン),アル・ファイサリー,0,1,ナサフ,試合終了,B
12,2023-09-18,1,1,01:00:00,フランソ・ハリーリー・スタジアム (アルビール),アル・クウワ・アル・ジャウウィーヤ,2,2,セパハン,試合終了,C
13,2023-09-18,1,1,23:00:00,シュリー・シヴ・チャトラパティ・スポーツコンプレックス (プネー),ムンバイ・シティ,0,2,ナッサジ,試合終了,D
14,2023-09-19,1,1,01:00:00,セントラル・スタジアム (ドゥシャンベ),イスティクロル,0,0,アル・ドゥハイル,試合終了,E
15,2023-09-20,1,1,21:00:00,ジャラン・ベサール・スタジアム (シンガポール),ライオン・シティ・セーラーズ,1,2,バンコク・ユナイテッド,試合終了,F
16,2023-09-19,1,1,21:00:00,リサール記念スポーツコンプレックス (マニラ),カヤ・イロイロ,1,3,山東泰山,試合終了,G
17,2023-09-20,1,1,19:00:00,メルボルン・レクタンギュラー・スタジアム (メルボルン),メルボルン・シティ,0,0,ヴァンフォーレ甲府,試合終了,H
18,2023-09-19,1,1,21:00:00,スルタン・イブラヒム・スタジアム (ジョホール),ジョホール・ダルル・タクジム,0,1,川崎フロンターレ,試合終了,I
19,2023-09-20,1,1,21:00:00,ミーディン国立競技場 (ハノイ),ハノイ,2,4,浦項スティーラース,試合終了,J
