,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status
0,2024/09/14,1,1,18:03,ノエビアスタジアム神戸,I神戸,1,1,S広島R,試合終了
1,2024/09/15,1,2,17:03,ユアテックスタジアム仙台,マイ仙台,1,3,千葉L,試合終了
2,2024/09/15,1,3,18:03,NACK5スタジアム大宮,大宮V,1,2,EL埼玉,試合終了
3,2024/09/15,1,4,18:03,味の素フィールド西が丘,東京NB,0,2,浦和,試合終了
4,2024/09/15,1,5,18:03,長野Uスタジアム,AC長野,1,2,新潟L,試合終了
5,2024/09/15,1,6,18:03,ヨドコウ桜スタジアム,Ｃ大阪,3,1,N相模原,試合終了
6,2024/09/21,2,1,12:03,十日町市当間多目的グラウンド,新潟L,0,0,Ｃ大阪,試合終了
7,2024/09/21,2,2,14:03,熊谷スポーツ文化公園陸上競技場,EL埼玉,0,4,東京NB,試合終了
8,2024/09/21,2,3,14:33,フクダ電子アリーナ,千葉L,1,2,AC長野,試合終了
9,2024/09/21,2,4,18:03,エディオンピースウイング広島,S広島R,4,1,マイ仙台,試合終了
10,2024/09/22,2,5,14:05,相模原ギオンスタジアム,N相模原,0,0,大宮V,試合終了
11,2024/09/22,2,6,16:03,浦和駒場スタジアム,浦和,0,1,I神戸,試合終了
12,2024/09/29,3,1,12:03,フクダ電子アリーナ,千葉L,2,1,N相模原,試合終了
13,2024/09/29,3,2,13:03,ユアテックスタジアム仙台,マイ仙台,0,1,I神戸,試合終了
14,2024/09/29,3,3,14:03,NACK5スタジアム大宮,大宮V,0,4,Ｃ大阪,試合終了
15,2024/09/29,3,4,14:03,長野Uスタジアム,AC長野,0,1,浦和,試合終了
16,2024/09/29,3,5,16:05,エディオンピースウイング広島,S広島R,1,0,EL埼玉,試合終了
17,2024/09/29,3,6,17:05,味の素フィールド西が丘,東京NB,3,1,新潟L,試合終了
18,2024/10/05,4,1,13:03,ユアテックスタジアム仙台,マイ仙台,0,0,大宮V,試合終了
