,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,group
0,2024/08/31,1,1,18:03,熊谷スポーツ文化公園陸上競技場,EL埼玉,1,3,千葉L,試合終了,C
1,2024/08/31,1,2,18:03,長野Uスタジアム,AC長野,1,3,S広島R,試合終了,A
2,2024/09/01,1,3,18:03,NACK5スタジアム大宮,大宮V,0,0,東京NB,試合終了,A
3,2024/09/01,1,4,18:03,相模原ギオンスタジアム,N相模原,2,1,新潟L,試合終了,B
4,2024/09/01,1,5,18:03,ヨドコウ桜スタジアム,Ｃ大阪,0,2,I神戸,試合終了,C
5,2024/09/07,2,1,17:03,J-GREEN堺S1メインフィールド,I神戸,0,1,EL埼玉,試合終了,C
6,2024/09/07,2,2,18:03,味の素フィールド西が丘,東京NB,3,1,AC長野,試合終了,A
7,2024/09/07,2,3,18:03,デンカビッグスワンスタジアム,新潟L,1,0,マイ仙台,試合終了,B
8,2024/09/07,2,4,18:33,エディオンピースウイング広島,S広島R,0,0,大宮V,試合終了,A
9,2024/09/08,2,5,18:03,フクダ電子アリーナ,千葉L,1,1,Ｃ大阪,試合終了,C
10,2024/09/25,3,1,18:03,相模原ギオンスタジアム,N相模原,1,0,マイ仙台,試合終了,B
11,2024/09/25,3,2,18:03,ヨドコウ桜スタジアム,Ｃ大阪,0,2,EL埼玉,試合終了,C
12,2024/09/25,3,3,18:33,フクダ電子アリーナ,千葉L,2,2,I神戸,試合終了,C
13,2024/09/25,3,4,19:03,NACK5スタジアム大宮,大宮V,2,2,AC長野,試合終了,A
14,2024/09/25,3,5,19:03,エディオンピースウイング広島,S広島R,0,2,東京NB,試合終了,A
15,2024/10/09,4,1,13:03,熊谷スポーツ文化公園陸上競技場,EL埼玉,1,2,I神戸,試合終了,C
16,2024/10/09,4,2,18:03,ユアテックスタジアム仙台,マイ仙台,0,1,新潟L,試合終了,B
17,2024/10/09,4,3,18:03,ヤンマースタジアム長居,Ｃ大阪,5,2,千葉L,試合終了,C
18,2024/10/09,4,4,19:03,NACK5スタジアム大宮,大宮V,0,1,S広島R,試合終了,A
19,2024/10/09,4,5,19:03,長野Uスタジアム,AC長野,2,2,東京NB,試合終了,A
20,2024/10/26,5,1,13:03,川越運動公園陸上競技場,EL埼玉,1,1,Ｃ大阪,試合終了,C
21,2024/10/26,5,2,13:03,J-GREEN堺S1メインフィールド,I神戸,1,1,千葉L,試合終了,C
22,2024/10/26,5,3,13:04,ユアテックスタジアム仙台,マイ仙台,0,1,N相模原,試合終了,B
23,2024/10/26,5,4,14:04,エディオンピースウイング広島,S広島R,2,1,AC長野,試合終了,A
24,2024/10/27,5,5,15:03,味の素フィールド西が丘,東京NB,1,1,大宮V,試合終了,A
25,2024/11/06,6,1,18:03,フクダ電子アリーナ,千葉L,1,1,EL埼玉,試合終了,C
26,2024/11/06,6,2,18:03,味の素フィールド西が丘,東京NB,1,1,S広島R,試合終了,A
27,2024/11/06,6,3,18:03,長野Uスタジアム,AC長野,2,0,大宮V,試合終了,A
28,2024/11/06,6,4,18:03,デンカビッグスワンスタジアム,新潟L,2,0,N相模原,試合終了,B
29,2024/11/06,6,5,18:03,神戸総合運動公園ユニバー記念競技場,I神戸,0,0,Ｃ大阪,試合終了,C
30,2024/12/08,98,1,12:05,PEACE STADIUM Connected by SoftBank,S広島R,3,2,浦和,試合終了,
31,2024/12/08,98,2,15:49,PEACE STADIUM Connected by SoftBank,I神戸,1,0,新潟L,試合終了,
32,2024/12/29,99,1,13:04,MUFGスタジアム,S広島R,1,0,I神戸,試合終了,
