,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,group
0,2025-09-16,1,0,16:45:00,メルボルン・レクタンギュラー,メルボルン・シティ,0,2,広島,試合終了,EAST
1,2025-09-15,1,0,22:45:00,シャールジャ,シャールジャ,4,3,アル・ガラファ,試合終了,WEST
2,2025-09-16,1,1,19:00:00,春川,江原,2,1,上海申花,試合終了,EAST
3,2025-09-15,1,1,00:00:00,アル・ナヒヤーン,アル・ワフダ,2,1,アル・イテハド,試合終了,WEST
4,2025-09-16,1,2,19:00:00,町田,町田,1,1,FCソウル,試合終了,EAST
5,2025-09-15,1,2,00:00:00,KASC,アル・アハリ・サウジ,4,2,ナサフ,試合終了,WEST
6,2025-09-16,1,3,21:15:00,ブリーラム,ブリーラム,2,1,ジョホール,試合終了,EAST
7,2025-09-15,1,3,00:00:00,アル・ザウラー,アル・ショルタ,1,1,アル・サッド,試合終了,WEST
8,2025-09-17,1,4,19:00:00,蔚山文殊,蔚山,2,1,成都蓉城,試合終了,EAST
9,2025-09-16,1,4,00:00:00,ラシド,アル・アハリ,1,1,トラークトゥール,試合終了,WEST
10,2025-09-17,1,5,21:15:00,浦東,上海海港,0,3,神戸,試合終了,EAST
11,2025-09-16,1,5,00:00:00,キングダム・アリーナ,アル・ヒラル,2,1,アル・ドゥハイル,試合終了,WEST
12,2025-09-30,2,0,19:00:00,広島SS,広島,1,1,上海海港,試合終了,EAST
13,2025-09-29,2,0,22:45:00,カルシ,ナサフ,2,3,アル・ヒラル,試合終了,WEST
14,2025-09-30,2,1,19:00:00,ソウル,FCソウル,3,0,ブリーラム,試合終了,EAST
15,2025-09-29,2,1,00:00:00,ハリファ,アル・ガラファ,2,0,アル・ショルタ,試合終了,WEST
16,2025-09-30,2,2,21:15:00,鳳凰山,成都蓉城,1,0,江原,試合終了,EAST
17,2025-09-29,2,2,00:00:00,ヤーデガーレ・エマーム,トラークトゥール,0,0,アル・ワフダ,試合終了,WEST
18,2025-09-30,2,3,21:15:00,スルタン・イブラヒム,ジョホール,0,0,町田,試合終了,EAST
19,2025-09-29,2,3,00:00:00,アブドゥラー・ビン・ハリファ,アル・ドゥハイル,2,2,アル・アハリ・サウジ,試合終了,WEST
20,2025-10-01,2,4,19:00:00,御崎公園,神戸,1,0,メルボルン・シティ,試合終了,EAST
21,2025-09-30,2,4,00:00:00,ジャシム・ビン・ハマド,アル・サッド,1,1,シャールジャ,試合終了,WEST
22,2025-10-01,2,5,21:15:00,上海,上海申花,1,1,蔚山,試合終了,EAST
23,2025-09-30,2,5,00:00:00,KASC,アル・イテハド,0,1,アル・アハリ,試合終了,WEST
24,2025-10-21,3,0,16:45:00,メルボルン・レクタンギュラー,メルボルン・シティ,2,1,ブリーラム,試合終了,EAST
25,2025-10-20,3,0,22:45:00,アル・ナヒヤーン,アル・ワフダ,3,1,アル・ドゥハイル,試合終了,WEST
26,2025-10-21,3,1,19:00:00,蔚山文殊,蔚山,1,0,広島,試合終了,EAST
27,2025-10-20,3,1,00:00:00,シャールジャ,シャールジャ,0,5,トラークトゥール,試合終了,WEST
28,2025-10-21,3,2,19:00:00,鳳凰山,成都蓉城,0,2,ジョホール,試合終了,EAST
29,2025-10-20,3,2,00:00:00,アル・マディーナ,アル・ショルタ,1,4,アル・イテハド,試合終了,WEST
30,2025-10-21,3,3,21:15:00,浦東,上海海港,0,2,町田,試合終了,EAST
31,2025-10-20,3,3,00:00:00,KASC,アル・アハリ・サウジ,4,0,アル・ガラファ,試合終了,WEST
32,2025-10-22,3,4,19:00:00,春川,江原,4,3,神戸,試合終了,EAST
33,2025-10-21,3,4,00:00:00,ラシド,アル・アハリ,4,1,ナサフ,試合終了,WEST
34,2025-10-22,3,5,21:15:00,上海,上海申花,2,0,FCソウル,試合終了,EAST
35,2025-10-21,3,5,00:00:00,キングダム・アリーナ,アル・ヒラル,3,1,アル・サッド,試合終了,WEST
