,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round
0,2025/08/09,1,1,18:03,長野Uスタジアム,AC長野,0,2,新潟L,試合終了,
1,2025/08/09,1,2,18:03,ヨドコウ桜スタジアム,Ｃ大阪,0,0,マイ仙台,試合終了,
2,2025/08/10,1,3,18:03,浦和駒場スタジアム,浦和,0,0,広島,試合終了,
3,2025/08/10,1,4,18:04,NACK5スタジアム大宮,大宮,0,0,EL埼玉,試合終了,
4,2025/08/10,1,5,18:04,神戸総合運動公園ユニバー記念競技場,I神戸,2,0,東京NB,試合終了,
5,2025/08/16,2,1,18:03,ユアテックスタジアム仙台,マイ仙台,0,0,AC長野,試合終了,
6,2025/08/16,2,2,18:03,熊谷スポーツ文化公園ラグビー場,EL埼玉,0,0,Ｃ大阪,試合終了,
7,2025/08/17,2,3,18:03,味の素フィールド西が丘,東京NB,5,0,N相模原,試合終了,
8,2025/08/17,2,4,18:03,デンカビッグスワンスタジアム,新潟L,0,5,浦和,試合終了,
9,2025/08/17,2,5,18:33,フクダ電子アリーナ,千葉L,1,1,大宮,試合終了,
10,2025/08/17,2,6,18:33,エディオンピースウイング広島,広島,2,1,I神戸,試合終了,
11,2025/08/23,3,1,18:03,ノエビアスタジアム神戸,I神戸,2,1,EL埼玉,試合終了,
12,2025/08/23,3,2,18:33,フクダ電子アリーナ,千葉L,2,1,マイ仙台,試合終了,
13,2025/08/23,3,3,19:03,エディオンピースウイング広島,広島,0,1,新潟L,試合終了,
14,2025/08/24,3,4,18:03,NACK5スタジアム大宮,大宮,2,3,AC長野,試合終了,
15,2025/08/24,3,5,18:03,味の素フィールド西が丘,東京NB,0,1,浦和,試合終了,
16,2025/08/24,3,6,18:03,ヨドコウ桜スタジアム,Ｃ大阪,2,0,N相模原,試合終了,
17,2025/08/30,4,1,18:03,浦和駒場スタジアム,浦和,4,0,千葉L,試合終了,
18,2025/08/30,4,2,18:03,NACK5スタジアム大宮,大宮,0,1,I神戸,試合終了,
19,2025/08/31,4,3,17:03,相模原ギオンスタジアム,N相模原,0,2,広島,試合終了,
20,2025/08/31,4,4,17:03,デンカビッグスワンスタジアム,新潟L,0,1,マイ仙台,試合終了,
21,2025/08/31,4,5,18:03,熊谷スポーツ文化公園陸上競技場,EL埼玉,1,4,東京NB,試合終了,
22,2025/08/31,4,6,18:03,長野Uスタジアム,AC長野,2,1,Ｃ大阪,試合終了,
23,2025/09/06,5,1,18:04,ユアテックスタジアム仙台,マイ仙台,2,1,浦和,試合終了,
24,2025/09/06,5,2,18:04,熊谷スポーツ文化公園陸上競技場,EL埼玉,1,3,N相模原,試合終了,
25,2025/09/06,5,3,18:04,味の素フィールド西が丘,東京NB,6,1,AC長野,試合終了,
26,2025/09/06,5,4,18:04,ノエビアスタジアム神戸,I神戸,5,0,Ｃ大阪,試合終了,
27,2025/09/06,5,5,18:34,フクダ電子アリーナ,千葉L,0,1,新潟L,試合終了,
28,2025/09/06,5,6,19:05,エディオンピースウイング広島,広島,3,4,大宮,試合終了,
29,2025/09/14,6,1,18:03,ユアテックスタジアム仙台,マイ仙台,1,1,広島,試合終了,
30,2025/09/14,6,2,18:03,浦和駒場スタジアム,浦和,5,0,EL埼玉,試合終了,
31,2025/09/14,6,3,18:03,NACK5スタジアム大宮,大宮,0,0,新潟L,試合終了,
32,2025/09/14,6,4,18:03,長野Uスタジアム,AC長野,1,1,千葉L,試合終了,
33,2025/09/15,6,5,14:03,相模原ギオンスタジアム,N相模原,1,5,I神戸,試合終了,
34,2025/09/15,6,6,17:03,ヨドコウ桜スタジアム,Ｃ大阪,2,3,東京NB,試合終了,
35,2025/09/20,7,1,14:03,相模原ギオンスタジアム,N相模原,3,0,AC長野,試合終了,
36,2025/09/20,7,2,14:03,新発田市五十公野公園陸上競技場,新潟L,3,1,Ｃ大阪,試合終了,
37,2025/09/20,7,3,15:03,熊谷スポーツ文化公園陸上競技場,EL埼玉,2,2,広島,試合終了,
38,2025/09/20,7,4,15:03,味の素フィールド西が丘,東京NB,7,0,千葉L,試合終了,
39,2025/09/21,7,5,16:03,NACK5スタジアム大宮,大宮,1,1,マイ仙台,試合終了,
40,2025/09/21,7,6,16:03,ノエビアスタジアム神戸,I神戸,1,1,浦和,試合終了,
41,2025/09/23,13,1,14:03,相模原ギオンスタジアム,N相模原,0,2,東京NB,試合終了,
42,2025/09/27,8,1,13:03,デンカビッグスワンスタジアム,新潟L,0,1,東京NB,試合終了,
43,2025/09/27,8,2,13:33,フクダ電子アリーナ,千葉L,2,1,EL埼玉,試合終了,
44,2025/09/27,8,3,14:03,ユアテックスタジアム仙台,マイ仙台,0,0,N相模原,試合終了,
45,2025/09/27,8,4,16:04,エディオンピースウイング広島,広島,1,0,Ｃ大阪,試合終了,
46,2025/09/27,8,5,18:03,長野Uスタジアム,AC長野,0,1,I神戸,試合終了,
47,2025/09/28,8,6,16:03,浦和駒場スタジアム,浦和,2,0,大宮,試合終了,
48,2025/10/04,9,1,14:03,熊谷スポーツ文化公園陸上競技場,EL埼玉,1,3,マイ仙台,試合終了,
49,2025/10/04,9,2,15:04,味の素フィールド西が丘,東京NB,1,1,広島,試合終了,
50,2025/10/05,9,3,13:03,フクダ電子アリーナ,千葉L,0,1,I神戸,試合終了,
51,2025/10/05,9,4,13:03,ヨドコウ桜スタジアム,Ｃ大阪,2,1,大宮,試合終了,
52,2025/10/05,9,5,14:03,相模原ギオンスタジアム,N相模原,1,0,新潟L,試合終了,
53,2025/10/05,9,6,18:03,長野Uスタジアム,AC長野,0,2,浦和,試合終了,
54,2025/10/11,10,1,14:03,浦和駒場スタジアム,浦和,2,1,N相模原,試合終了,
55,2025/10/11,10,2,14:03,NACK5スタジアム大宮,大宮,2,2,東京NB,試合終了,
56,2025/10/12,10,3,14:03,ヨドコウ桜スタジアム,Ｃ大阪,3,0,千葉L,試合終了,
57,2025/10/13,10,4,13:03,デンカビッグスワンスタジアム,新潟L,3,0,EL埼玉,試合終了,
58,2025/10/13,10,5,14:04,エディオンピースウイング広島,広島,1,0,AC長野,試合終了,
59,2025/10/13,10,6,15:03,ノエビアスタジアム神戸,I神戸,2,0,マイ仙台,試合終了,
60,2025/10/18,11,1,13:03,ユアテックスタジアム仙台,マイ仙台,2,1,東京NB,試合終了,
61,2025/10/18,11,2,13:03,ゼットエーオリプリスタジアム,千葉L,0,0,広島,試合終了,
62,2025/10/18,11,3,13:03,デンカビッグスワンスタジアム,新潟L,0,4,I神戸,試合終了,
63,2025/10/18,11,4,14:03,浦和駒場スタジアム,浦和,4,0,Ｃ大阪,試合終了,
64,2025/10/18,11,5,14:03,相模原ギオンスタジアム,N相模原,1,2,大宮,試合終了,
65,2025/10/18,11,6,14:03,長野Uスタジアム,AC長野,0,2,EL埼玉,試合終了,
66,2025/10/22,1,6,18:03,相模原ギオンスタジアム,N相模原,0,0,千葉L,試合終了,
67,2025/11/02,12,1,12:03,川越運動公園陸上競技場,EL埼玉,0,3,浦和,試合終了,
68,2025/11/02,12,2,14:04,ノエビアスタジアム神戸,I神戸,5,0,N相模原,試合終了,
69,2025/11/02,12,3,15:04,味の素フィールド西が丘,東京NB,2,1,Ｃ大阪,試合終了,
70,2025/11/03,12,4,13:03,フクダ電子アリーナ,千葉L,4,1,AC長野,試合終了,
71,2025/11/03,12,5,14:03,NACK5スタジアム大宮,大宮,2,2,広島,試合終了,
72,2025/11/03,12,6,14:04,ユアテックスタジアム仙台,マイ仙台,2,1,新潟L,試合終了,
73,2025/11/08,13,2,13:04,デンカビッグスワンスタジアム,新潟L,1,0,千葉L,試合終了,
74,2025/11/08,13,3,14:03,浦和駒場スタジアム,浦和,1,2,I神戸,試合終了,
75,2025/11/08,13,4,14:03,エディオンピースウイング広島,広島,0,2,マイ仙台,試合終了,
76,2025/11/09,13,5,13:03,ヨドコウ桜スタジアム,Ｃ大阪,1,0,EL埼玉,試合終了,
77,2025/11/09,13,6,14:03,長野Uスタジアム,AC長野,1,2,大宮,試合終了,
78,2025/12/20,14,1,14:03,ユアテックスタジアム仙台,マイ仙台,0,0,大宮,試合終了,
79,2025/12/20,14,2,14:03,浦和駒場スタジアム,浦和,3,1,新潟L,試合終了,
80,2025/12/20,14,3,14:03,長野Uスタジアム,AC長野,2,3,東京NB,試合終了,
81,2025/12/20,14,4,14:04,ヨドコウ桜スタジアム,Ｃ大阪,2,2,I神戸,試合終了,
82,2025/12/20,14,5,14:04,エディオンピースウイング広島,広島,0,3,N相模原,試合終了,
83,2025/12/20,14,6,14:05,熊谷スポーツ文化公園陸上競技場,EL埼玉,0,1,千葉L,試合終了,
84,2026/02/14,15,1,13:03,フクダ電子アリーナ,千葉L,2,2,N相模原,試合終了,
85,2026/02/14,15,2,14:03,熊谷スポーツ文化公園陸上競技場,EL埼玉,4,0,AC長野,試合終了,
86,2026/02/14,15,3,15:03,味の素フィールド西が丘,東京NB,2,0,マイ仙台,試合終了,
87,2026/02/15,15,4,13:03,NACK5スタジアム大宮,大宮,1,0,Ｃ大阪,試合終了,
88,2026/02/15,15,5,13:33,エディオンピースウイング広島,広島,2,1,浦和,試合終了,
89,2026/02/15,15,6,14:03,ノエビアスタジアム神戸,I神戸,0,1,新潟L,試合終了,
90,2026/02/18,17,1,18:03,味の素フィールド西が丘,東京NB,2,1,大宮,試合終了,
91,2026/02/21,16,1,14:03,ヨドコウ桜スタジアム,Ｃ大阪,1,3,新潟L,試合終了,
92,2026/02/21,16,2,14:03,エディオンピースウイング広島,広島,3,0,千葉L,試合終了,
93,2026/02/22,16,3,13:03,相模原ギオンスタジアム,N相模原,1,2,マイ仙台,試合終了,
94,2026/02/22,16,4,14:03,浦和駒場スタジアム,浦和,5,0,AC長野,試合終了,
95,2026/02/22,16,5,14:03,熊谷スポーツ文化公園陸上競技場,EL埼玉,0,1,大宮,試合終了,
96,2026/02/22,16,6,14:03,味の素フィールド西が丘,東京NB,0,2,I神戸,試合終了,
97,2026/03/28,17,2,13:00,デンカビッグスワンスタジアム,新潟L,,,AC長野,ＶＳ,
98,2026/03/28,17,3,14:00,ユアテックスタジアム仙台,マイ仙台,,,Ｃ大阪,ＶＳ,
99,2026/03/28,17,4,14:00,エディオンピースウイング広島,広島,,,EL埼玉,ＶＳ,
100,2026/03/28,97,1,14:00,味の素スタジアム,東京NB,,,スタリオン,ＶＳ,準々決勝
101,2026/03/29,17,5,14:00,相模原ギオンスタジアム,N相模原,,,浦和,ＶＳ,
102,2026/03/29,17,6,14:00,ノエビアスタジアム神戸,I神戸,,,千葉L,ＶＳ,
103,2026/04/04,18,1,14:00,長野Uスタジアム,AC長野,,,N相模原,ＶＳ,
104,2026/04/04,18,2,14:00,平和堂HATOスタジアム,Ｃ大阪,,,浦和,ＶＳ,
105,2026/04/05,18,3,13:00,デンカビッグスワンスタジアム,新潟L,,,広島,ＶＳ,
106,2026/04/05,18,4,14:00,ユアテックスタジアム仙台,マイ仙台,,,千葉L,ＶＳ,
107,2026/04/05,18,5,14:00,味の素フィールド西が丘,東京NB,,,EL埼玉,ＶＳ,
108,2026/04/05,18,6,14:00,神戸総合運動公園ユニバー記念競技場,I神戸,,,大宮,ＶＳ,
109,2026/04/25,19,1,12:00,フクダ電子アリーナ,千葉L,,,東京NB,ＶＳ,
110,2026/04/25,19,2,14:00,味の素フィールド西が丘,マイ仙台,,,I神戸,ＶＳ,
111,2026/04/25,19,3,14:00,長野Uスタジアム,AC長野,,,広島,ＶＳ,
112,2026/04/26,19,4,13:00,NACK5スタジアム大宮,大宮,,,浦和,ＶＳ,
113,2026/04/26,19,5,14:00,熊谷スポーツ文化公園陸上競技場,EL埼玉,,,新潟L,ＶＳ,
114,2026/04/26,19,6,14:00,相模原ギオンスタジアム,N相模原,,,Ｃ大阪,ＶＳ,
115,2026/05/02,20,1,13:00,デンカビッグスワンスタジアム,新潟L,,,大宮,ＶＳ,
116,2026/05/02,20,2,14:00,相模原ギオンスタジアム,N相模原,,,EL埼玉,ＶＳ,
117,2026/05/03,20,3,13:00,ゼットエーオリプリスタジアム,千葉L,,,Ｃ大阪,ＶＳ,
118,2026/05/03,20,4,13:05,エディオンピースウイング広島,広島,,,東京NB,ＶＳ,
119,2026/05/03,20,5,14:00,浦和駒場スタジアム,浦和,,,マイ仙台,ＶＳ,
120,2026/05/03,20,6,14:00,ノエビアスタジアム神戸,I神戸,,,AC長野,ＶＳ,
121,2026/05/09,21,1,13:00,デンカビッグスワンスタジアム,新潟L,,,N相模原,ＶＳ,
122,2026/05/10,21,2,13:00,NACK5スタジアム大宮,大宮,,,千葉L,ＶＳ,
123,2026/05/10,21,3,14:00,埼玉スタジアム2002,浦和,,,東京NB,ＶＳ,
124,2026/05/10,21,4,14:00,熊谷スポーツ文化公園陸上競技場,EL埼玉,,,I神戸,ＶＳ,
125,2026/05/10,21,5,14:00,ヨドコウ桜スタジアム,Ｃ大阪,,,広島,ＶＳ,
126,2026/05/10,21,6,16:00,長野Uスタジアム,AC長野,,,マイ仙台,ＶＳ,
127,2026/05/16,22,1,13:00,ユアテックスタジアム仙台,マイ仙台,,,EL埼玉,ＶＳ,
128,2026/05/16,22,2,13:00,NACK5スタジアム大宮,大宮,,,N相模原,ＶＳ,
129,2026/05/16,22,3,13:00,フクダ電子アリーナ,千葉L,,,浦和,ＶＳ,
130,2026/05/16,22,4,13:00,味の素フィールド西が丘,東京NB,,,新潟L,ＶＳ,
131,2026/05/16,22,5,13:00,ヨドコウ桜スタジアム,Ｃ大阪,,,AC長野,ＶＳ,
132,2026/05/16,22,6,13:00,ノエビアスタジアム神戸,I神戸,,,広島,ＶＳ,
