,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,round
0,2026/09/12,1,1,16:00,新発田市五十公野陸上競技場,新潟Ｌ,,,広島,ＶＳ,
1,2026/09/12,1,2,17:00,ゼットエーオリプリスタジアム,千葉Ｌ,,,浦和,ＶＳ,
2,2026/09/12,1,3,17:00,相模原ギオンスタジアム,Ｎ相模原,,,マイ仙台,ＶＳ,
3,2026/09/12,1,4,18:00,味の素フィールド西が丘,東京NB,,,Ⅰ神戸,ＶＳ,
4,2026/09/13,1,5,18:00,ＮＡＣＫ５スタジアム大宮,大宮,,,AC長野,ＶＳ,
5,2026/09/13,1,6,18:00,YANMAR HANASAKA STADIUM,Ｃ大阪,,,EL埼玉,ＶＳ,
6,2026/09/19,2,1,16:00,熊谷スポーツ文化公園陸上競技場,EL埼玉,,,東京NB,ＶＳ,
7,2026/09/19,2,2,18:00,ユアテックスタジアム仙台,マイ仙台,,,新潟Ｌ,ＶＳ,
8,2026/09/19,2,3,18:00,長野Ｕスタジアム,AC長野,,,Ｃ大阪,ＶＳ,
9,2026/09/19,2,4,18:00,神戸総合運動公園ユニバー記念競技場,Ⅰ神戸,,,Ｎ相模原,ＶＳ,
10,2026/09/19,2,5,19:00,エディオンピースウイング広島,広島,,,千葉Ｌ,ＶＳ,
11,2026/09/20,2,6,16:00,浦和駒場スタジアム,浦和,,,大宮,ＶＳ,
12,2026/09/23,3,1,14:00,多摩市立陸上競技場,東京NB,,,新潟Ｌ,ＶＳ,
13,2026/09/23,3,2,14:00,相模原ギオンスタジアム,Ｎ相模原,,,EL埼玉,ＶＳ,
14,2026/09/23,3,3,16:00,浦和駒場スタジアム,浦和,,,AC長野,ＶＳ,
15,2026/09/23,3,4,16:00,ＮＡＣＫ５スタジアム大宮,大宮,,,マイ仙台,ＶＳ,
16,2026/09/23,3,5,16:00,ゼットエーオリプリスタジアム,千葉Ｌ,,,Ⅰ神戸,ＶＳ,
17,2026/09/23,3,6,18:00,YANMAR HANASAKA STADIUM,Ｃ大阪,,,広島,ＶＳ,
18,2026/09/27,4,1,13:00,新潟市陸上競技場,新潟Ｌ,,,浦和,ＶＳ,
19,2026/09/27,4,2,14:00,ユアテックスタジアム仙台,マイ仙台,,,EL埼玉,ＶＳ,
20,2026/09/27,4,3,16:00,ＮＡＣＫ５スタジアム大宮,大宮,,,千葉Ｌ,ＶＳ,
21,2026/09/27,4,4,17:00,ノエビアスタジアム神戸,Ⅰ神戸,,,広島,ＶＳ,
22,2026/09/27,4,5,18:00,長野Ｕスタジアム,AC長野,,,Ｎ相模原,ＶＳ,
23,2026/09/27,4,6,18:00,YANMAR HANASAKA STADIUM,Ｃ大阪,,,東京NB,ＶＳ,
24,2026/10/03,5,1,14:00,ユアテックスタジアム仙台,マイ仙台,,,Ⅰ神戸,ＶＳ,
25,2026/10/03,5,2,14:00,浦和駒場スタジアム,浦和,,,東京NB,ＶＳ,
26,2026/10/03,5,3,14:00,エディオンピースウイング広島,広島,,,AC長野,ＶＳ,
27,2026/10/04,5,4,13:00,川越運動公園陸上競技場,EL埼玉,,,千葉Ｌ,ＶＳ,
28,2026/10/04,5,5,13:00,デンカビッグスワンスタジアム,新潟Ｌ,,,Ｃ大阪,ＶＳ,
29,2026/10/04,5,6,14:00,相模原ギオンスタジアム,Ｎ相模原,,,大宮,ＶＳ,
30,2026/10/10,6,1,13:00,フクダ電子アリーナ,千葉Ｌ,,,Ｎ相模原,ＶＳ,
31,2026/10/10,6,2,14:00,浦和駒場スタジアム,浦和,,,マイ仙台,ＶＳ,
32,2026/10/10,6,3,,,EL埼玉,,,新潟Ｌ,ＶＳ,
33,2026/10/11,6,4,12:00,ＡＧＦフィールド,東京NB,,,広島,ＶＳ,
34,2026/10/11,6,5,14:00,長野Ｕスタジアム,AC長野,,,Ⅰ神戸,ＶＳ,
35,2026/10/11,6,6,14:00,YANMAR HANASAKA STADIUM,Ｃ大阪,,,大宮,ＶＳ,
36,2027/02/27,7,1,,,大宮,,,新潟Ｌ,ＶＳ,
37,2027/02/27,7,2,,,千葉Ｌ,,,Ｃ大阪,ＶＳ,
38,2027/02/27,7,3,,,Ｎ相模原,,,東京NB,ＶＳ,
39,2027/02/27,7,4,,,AC長野,,,EL埼玉,ＶＳ,
40,2027/02/27,7,5,,,Ⅰ神戸,,,浦和,ＶＳ,
41,2027/02/27,7,6,,,広島,,,マイ仙台,ＶＳ,
42,2027/03/07,8,1,,,マイ仙台,,,AC長野,ＶＳ,
43,2027/03/07,8,2,,,EL埼玉,,,浦和,ＶＳ,
44,2027/03/07,8,3,,,東京NB,,,大宮,ＶＳ,
45,2027/03/07,8,4,,,新潟Ｌ,,,千葉Ｌ,ＶＳ,
46,2027/03/07,8,5,,,Ⅰ神戸,,,Ｃ大阪,ＶＳ,
47,2027/03/07,8,6,,,広島,,,Ｎ相模原,ＶＳ,
