,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team
0,2021-03-14,1,1,13:03,とうスタ,藤枝,0,0,福島
1,2021-03-14,1,2,13:03,ニッパツ,富山,1,0,YS横浜
2,2021-03-14,1,3,13:03,夢スタ,熊本,1,0,今治
3,2021-03-14,1,4,13:03,ユニスタ,岩手,1,0,宮崎
4,2021-03-14,1,5,14:03,長良川,八戸,0,0,岐阜
5,2021-03-14,1,6,14:03,ピカスタ,長野,2,0,讃岐
6,2021-03-14,1,7,14:03,白波スタ,鳥取,3,2,鹿児島
7,2021-03-20,2,1,13:03,とうスタ,YS横浜,1,2,福島
8,2021-03-20,2,2,13:03,愛鷹,今治,0,1,沼津
9,2021-03-20,2,3,14:03,えがおＳ,鹿児島,2,2,熊本
10,2021-03-21,2,4,13:03,藤枝サ,岐阜,3,1,藤枝
11,2021-03-21,2,5,13:03,Ａｘｉｓ,岩手,1,1,鳥取
12,2021-03-21,2,6,14:03,長野Ｕ,宮崎,1,1,長野
13,2021-03-21,2,7,14:03,富山,八戸,1,2,富山
14,2021-03-28,3,1,13:03,プラスタ,沼津,0,1,八戸
15,2021-03-28,3,2,13:03,いわスタ,長野,0,0,岩手
16,2021-03-28,3,3,13:03,ニッパツ,熊本,0,0,YS横浜
17,2021-03-28,3,4,13:03,夢スタ,鳥取,0,2,今治
18,2021-03-28,3,5,13:03,白波スタ,福島,0,2,鹿児島
19,2021-03-28,3,6,14:03,長良川,讃岐,0,4,岐阜
20,2021-03-28,3,7,14:03,ユニスタ,富山,1,2,宮崎
21,2021-04-03,4,1,13:03,いわスタ,今治,2,3,岩手
22,2021-04-04,4,2,13:03,愛鷹,YS横浜,0,1,沼津
23,2021-04-04,4,3,14:03,長野Ｕ,八戸,1,1,長野
24,2021-04-04,4,4,14:03,富山,福島,2,2,富山
25,2021-04-04,4,5,14:03,ピカスタ,藤枝,1,0,讃岐
26,2021-04-04,4,6,14:03,えがおＳ,宮崎,2,1,熊本
27,2021-04-21,4,7,19:03,Ａｘｉｓ,岐阜,1,0,鳥取
28,2021-04-10,5,1,13:03,藤枝サ,長野,1,1,藤枝
29,2021-04-11,5,2,13:03,プラスタ,岩手,3,0,八戸
30,2021-04-11,5,3,13:03,とうスタ,熊本,2,1,福島
31,2021-04-11,5,4,13:03,ニッパツ,鹿児島,0,0,YS横浜
32,2021-04-11,5,5,14:03,ピカスタ,富山,3,2,讃岐
33,2021-04-11,5,6,14:03,ユニスタ,鳥取,1,2,宮崎
34,2021-05-05,5,7,16:03,長良川,沼津,1,3,岐阜
35,2021-04-25,6,1,13:03,愛鷹,藤枝,1,1,沼津
36,2021-04-25,6,2,13:03,Ａｘｉｓ,讃岐,0,1,鳥取
37,2021-04-25,6,3,13:03,夢スタ,YS横浜,1,1,今治
38,2021-04-25,6,4,13:05,白波スタ,宮崎,0,1,鹿児島
39,2021-04-25,6,5,14:03,富山,岐阜,0,1,富山
40,2021-04-25,6,6,14:03,えがおＳ,八戸,2,2,熊本
41,2021-05-26,6,7,13:03,とうスタ,岩手,1,2,福島
42,2021-05-01,7,1,13:03,藤枝サ,富山,1,1,藤枝
43,2021-05-01,7,2,15:04,ピカスタ,沼津,0,1,讃岐
44,2021-05-02,7,3,13:03,プラスタ,鳥取,0,2,八戸
45,2021-05-02,7,4,13:03,いわスタ,鹿児島,1,2,岩手
46,2021-05-02,7,5,13:03,ユニスタ,今治,1,2,宮崎
47,2021-05-02,7,6,17:03,長野Ｕ,福島,1,0,長野
48,2021-05-02,7,7,19:03,長良川,熊本,1,0,岐阜
49,2021-05-15,8,1,13:03,白波スタ,藤枝,3,0,鹿児島
50,2021-05-16,8,2,13:03,いわスタ,岐阜,2,0,岩手
51,2021-05-16,8,3,13:03,ニッパツ,宮崎,2,0,YS横浜
52,2021-05-16,8,4,13:03,夢スタ,讃岐,1,1,今治
53,2021-05-16,8,5,14:03,富山,沼津,0,3,富山
54,2021-05-16,8,6,14:03,えがおＳ,長野,0,2,熊本
55,2021-05-16,8,7,14:03,郡山西部,八戸,0,2,福島
56,2021-05-29,9,1,13:03,藤枝サ,熊本,1,0,藤枝
57,2021-05-30,9,2,13:03,プラスタ,今治,1,2,八戸
58,2021-05-30,9,3,13:03,愛鷹,福島,1,0,沼津
59,2021-05-30,9,4,13:03,Ａｘｉｓ,富山,3,0,鳥取
60,2021-05-30,9,5,14:03,ピカスタ,岩手,1,1,讃岐
61,2021-05-30,9,6,16:03,長野Ｕ,鹿児島,2,1,長野
62,2021-05-30,9,7,16:03,長良川,YS横浜,2,1,岐阜
63,2021-06-05,10,1,13:03,ニッパツ,鳥取,1,2,YS横浜
64,2021-06-05,10,2,15:03,夢スタ,長野,0,0,今治
65,2021-06-06,10,3,13:03,とうスタ,岐阜,2,1,福島
66,2021-06-06,10,4,13:03,白波スタ,讃岐,2,1,鹿児島
67,2021-06-06,10,5,13:03,ユニスタ,八戸,0,2,宮崎
68,2021-06-06,10,6,14:03,えがおＳ,沼津,1,0,熊本
69,2021-06-06,10,7,17:03,いわスタ,藤枝,0,4,岩手
70,2021-06-12,11,1,15:03,長良川,宮崎,1,3,岐阜
71,2021-06-13,11,2,13:03,プラスタ,YS横浜,0,3,八戸
72,2021-06-13,11,3,13:03,藤枝サ,今治,1,1,藤枝
73,2021-06-13,11,4,13:03,愛鷹,鹿児島,2,0,沼津
74,2021-06-13,11,5,13:03,チュスタ,長野,8,1,鳥取
75,2021-06-13,11,6,14:03,富山,熊本,1,1,富山
76,2021-06-13,11,7,14:03,ピカスタ,福島,2,1,讃岐
77,2021-06-19,12,1,17:03,いわスタ,沼津,2,3,岩手
78,2021-06-19,12,2,19:03,白波スタ,八戸,0,0,鹿児島
79,2021-06-20,12,3,13:03,ニッパツ,藤枝,3,4,YS横浜
80,2021-06-20,12,4,14:03,長野Ｕ,富山,0,4,長野
81,2021-06-20,12,5,15:03,ユニスタ,讃岐,2,2,宮崎
82,2021-06-20,12,6,16:03,夢スタ,岐阜,0,3,今治
83,2021-06-20,12,7,19:33,えがおＳ,鳥取,1,1,熊本
84,2021-06-26,13,1,17:03,いわスタ,YS横浜,2,0,岩手
85,2021-06-26,13,2,17:03,藤枝サ,宮崎,1,2,藤枝
86,2021-06-26,13,3,18:03,富山,今治,1,1,富山
87,2021-06-26,13,4,18:03,ピカスタ,熊本,2,1,讃岐
88,2021-06-26,13,5,19:03,Ａｘｉｓ,福島,1,0,鳥取
89,2021-06-27,13,6,16:03,愛鷹,長野,1,0,沼津
90,2021-06-27,13,7,19:03,長良川,鹿児島,0,1,岐阜
91,2021-07-03,14,1,16:03,夢スタ,鹿児島,2,1,今治
92,2021-07-03,14,2,18:03,富山,岩手,0,1,富山
93,2021-07-03,14,3,19:03,Ａｘｉｓ,沼津,4,1,鳥取
94,2021-07-04,14,4,13:03,プラスタ,藤枝,0,1,八戸
95,2021-07-04,14,5,15:03,ニッパツ,讃岐,2,1,YS横浜
96,2021-07-04,14,6,15:03,ユニスタ,福島,2,3,宮崎
97,2021-07-04,14,7,19:03,長野Ｕ,岐阜,1,2,長野
98,2021-07-10,15,1,17:03,藤枝サ,鳥取,2,0,藤枝
99,2021-07-10,15,2,19:03,プラスタ,讃岐,1,1,八戸
100,2021-07-10,15,3,19:03,白波スタ,富山,2,2,鹿児島
101,2021-07-11,15,4,15:03,あいづ,今治,1,4,福島
102,2021-07-11,15,5,16:03,愛鷹,宮崎,1,1,沼津
103,2021-07-11,15,6,19:03,長野Ｕ,YS横浜,2,2,長野
104,2021-07-11,15,7,19:03,えがおＳ,岩手,1,1,熊本
105,2021-08-28,16,1,17:00,いわスタ,八戸,,,岩手
106,2021-08-28,16,2,18:00,長良川,福島,,,岐阜
107,2021-08-28,16,3,18:00,ピカスタ,鹿児島,,,讃岐
108,2021-08-28,16,4,18:30,富山,藤枝,,,富山
109,2021-08-28,16,5,19:00,Ａｘｉｓ,熊本,,,鳥取
110,2021-08-29,16,6,15:00,ユニスタ,長野,,,宮崎
111,2021-08-29,16,7,16:00,夢スタ,沼津,,,今治
112,2021-09-04,17,1,15:00,ニッパツ,岐阜,,,YS横浜
113,2021-09-04,17,2,17:00,藤枝サ,讃岐,,,藤枝
114,2021-09-04,17,3,19:00,プラスタ,宮崎,,,八戸
115,2021-09-05,17,4,15:00,とうスタ,鳥取,,,福島
116,2021-09-05,17,5,16:00,愛鷹,富山,,,沼津
117,2021-09-05,17,6,17:00,えがおＳ,今治,,,熊本
