,J1_all,J1_ACL/CS,J1_relegated,J2_all,J2_promoted,j2_relegated,J3_all,J3_promoted,J3_relegated
1993,10,1,0,,,,,,
1994,12,1,0,,,,,,
1995,14,1,0,,,,,,
1996,16,1,0,,,,,,
1997,17,1,0,,,,,,
1998,18,1,0,,,,,,
1999,16,1,2,10,2,0,,,
2000,16,1,2,11,2,0,,,
2001,16,1,2,12,2,0,,,
2002,16,1,2,12,2,0,,,
2003,16,1,2,12,2,0,,,
2004,16,1,1,12,3,0,,,
2005,18,1,3,12,3,0,,,
2006,18,2,3,13,3,0,,,
2007,18,1,3,13,3,0,,,
2008,18,3,3,15,3,0,,,
2009,18,4,3,18,3,0,,,
2010,18,3,3,19,3,0,,,
2011,18,3,3,20,3,0,,,
2012,18,3,3,22,6,1,,,
2013,18,4,3,22,6,1,,,
2014,18,4,3,22,6,2,12,2,0
2015,18,4,3,22,6,2,13,2,0
2016,18,4,3,22,6,2,16,2,0
2017,18,4,3,22,6,2,17,2,0
2018,18,3,3,22,6,2,17,2,0
2019,18,3,3,22,6,2,18,2,0
2020,18,4,0,22,2,0,18,2,0
2021,20,3,4,22,2,4,15,2,0
